Grantee,Disaster_Type,Program_Type,N_Quarters,Total_Obligated,Total_Disbursed,Total_Expended,Ratio_disbursed_to_obligated,Ratio_expended_to_obligated,Ratio_expended_to_disbursed
"Houston, TX",2015 Hurricane Joaquin and Patricia and Other Events,Housing,30,6300000.0,5600418.539999999,5572223.8999999985,0.8889553238095237,0.8844799841269839,0.9949656191231736
"San Marcos, TX",2015 Hurricane Joaquin and Patricia and Other Events,Housing,30,6314902.21,4655889.21,4655889.21,0.7372860347112169,0.7372860347112169,1.0
Texas - GLO,2008 Hurricane Ike and Other Events,Housing,62,1574377508.47,1525914743.08,1520661144.96,0.9692178241055432,0.965880887385007,0.996557082796516
Texas - GLO,2011 Multiple Disasters,Housing,14,4692816.029999999,4692816.03,4692816.03,1.0000000000000002,1.0000000000000002,1.0
Texas - GLO,2015 Hurricane Joaquin and Patricia and Other Events,Housing,25,16112738.24,14928806.240000002,14928806.240000002,0.9265219863709524,0.9265219863709524,1.0
Texas - GLO,2015-2018 Mitigation,Housing,17,500000000.0,315589835.5,282031910.68,0.631179671,0.56406382136,0.8936660150450252
Texas - GLO,2016 Louisiana Floods and Other Events,Housing,26,75181949.25,62298969.68000001,62217323.44,0.8286426502835055,0.8275566683315277,0.9986894447786314
Texas - GLO,"2017 Hurricanes Harvey, Irma and Maria",Housing,25,3672847375.48,3429649012.06,3434018383.94,0.9337847891410906,0.9349744307007072,1.0012739997196902
Texas - GLO,2018 Disasters,Housing,15,45279350.0,34420724.13,34175633.19,0.7601859154338567,0.7547730519541468,0.9928795530543068
Texas - GLO,2019 Disasters,Housing,15,141338336.7,106348484.58,105552357.11,0.7524390555531422,0.7468062775780495,0.9925139744760434
