Grantee,Disaster_Type,Program_Type,N_Quarters,Total_Obligated,Total_Disbursed,Total_Expended,Ratio_disbursed_to_obligated,Ratio_expended_to_obligated,Ratio_expended_to_disbursed
"Houston, TX",2015 Hurricane Joaquin and Patricia and Other Events,Infrastructure,29,66623793.93,49891939.3,47714380.51,0.7488606750978524,0.7161762742021617,0.9563544969277232
"Houston, TX",2015-2018 Mitigation,Infrastructure,6,6922182.0,2101019.7199999997,2020186.15,0.3035198612229496,0.2918423916042658,0.9615265058054764
"San Marcos, TX",2015 Hurricane Joaquin and Patricia and Other Events,Infrastructure,28,22722897.17,22722897.17,22722597.17,1.0,0.999986797458187,0.999986797458187
"San Marcos, TX",2015-2018 Mitigation,Infrastructure,12,21012687.0,16118296.1,14954192.5,0.7670744869516212,0.7116744517252839,0.9277775024867548
Texas - GLO,2008 Hurricane Ike and Other Events,Infrastructure,62,1246638346.66,1233584539.99,1234111886.0299995,0.9895287942128734,0.989951808667236,1.0004274907984856
Texas - GLO,2011 Multiple Disasters,Infrastructure,44,24662694.17000001,23853730.81,23853809.99,0.9671989055849366,0.9672021161019811,1.0000033193968956
Texas - GLO,2015 Hurricane Joaquin and Patricia and Other Events,Infrastructure,27,45285532.08,44011572.4,43686647.56999999,0.9718682850463264,0.964693259931771,0.9926172864934948
Texas - GLO,2015-2018 Mitigation,Infrastructure,14,1959546866.06,323919542.46000004,289285740.57,0.1653032892810035,0.1476288960374078,0.8930789984853202
Texas - GLO,2016 Louisiana Floods and Other Events,Infrastructure,27,136281269.36,122938743.91,120943323.44,0.902095676737832,0.8874537492053779,0.9837689860288406
Texas - GLO,"2017 Hurricanes Harvey, Irma and Maria",Infrastructure,24,959341868.83,430574194.73,419896925.4,0.448822477908863,0.4376926922955009,0.9752022544298192
Texas - GLO,2018 Disasters,Infrastructure,6,12707897.36,1065277.93,672312.7899999999,0.0838280244026144,0.0529051164763263,0.6311149147715845
Texas - GLO,2019 Disasters,Infrastructure,7,44725805.59,4025056.97,3203073.52,0.0899940630896079,0.0716157814878164,0.7957833998061399
