category,year,quarter,heading_text,section_count,total_lines,total_chars
Hurricane_Ike,2009,3,Responsible Organization,16,96,1612
Hurricane_Ike,2009,3,Projected Start Date,16,224,3278
Hurricane_Ike,2009,3,Projected End Date,16,112,1562
Hurricane_Ike,2009,3,National Objective,16,80,1648
Hurricane_Ike,2009,3,Location Description,16,67,4814
Hurricane_Ike,2009,3,Activity Progress Narrative,16,241,4953
Hurricane_Ike,2009,3,Activity Description,16,30,909
Hurricane_Ike,2009,3,Activitiy Category,16,160,1560
Hurricane_Ike,2009,3,No Other Funding Sources Found,3,14,300
Hurricane_Ike,2009,3,Submitted By,1,2,31
Hurricane_Ike,2009,3,Review By HUD,1,1,14
Hurricane_Ike,2009,3,Recovery Needs,1,46,2064
Hurricane_Ike,2009,3,Project Summary,1,41,521
Hurricane_Ike,2009,3,Plan Description,1,32,2649
Hurricane_Ike,2009,3,Overall Progress Narrative,1,58,3100
Hurricane_Ike,2009,3,Obligation Date,1,2,26
Hurricane_Ike,2009,3,Grantee Name,1,2,34
Hurricane_Ike,2009,3,Grantee,1,3,36
Hurricane_Ike,2009,3,Grant Status,1,2,19
Hurricane_Ike,2009,3,Grant Amount,1,2,30
Hurricane_Ike,2009,3,Grant,1,2,27
Hurricane_Ike,2009,3,Document,1,2,70
Hurricane_Ike,2009,3,Disasters,1,1,10
Hurricane_Ike,2009,3,Contract End Date,1,2,39
Hurricane_Ike,2009,3,Award Date,1,1,11
Hurricane_Ike,2009,4,Responsible Organization,356,6045,74462
Hurricane_Ike,2009,4,Projected Start Date,356,4984,69534
Hurricane_Ike,2009,4,Projected End Date,356,2492,34728
Hurricane_Ike,2009,4,National Objective,356,1780,36668
Hurricane_Ike,2009,4,Location Description,356,1505,89469
Hurricane_Ike,2009,4,Activity Progress Narrative,356,4514,89202
Hurricane_Ike,2009,4,Activity Description,356,1403,115401
Hurricane_Ike,2009,4,Activitiy Category,356,3560,34296
Hurricane_Ike,2009,4,No Other Funding Sources Found,165,995,24195
Hurricane_Ike,2009,4,Performance Measures,24,614,10563
Hurricane_Ike,2009,4,Submitted By,1,2,31
Hurricane_Ike,2009,4,Review By HUD,1,1,14
Hurricane_Ike,2009,4,Recovery Needs,1,50,2281
Hurricane_Ike,2009,4,Project Summary,1,41,537
Hurricane_Ike,2009,4,Plan Description,1,32,2649
Hurricane_Ike,2009,4,Overall Progress Narrative,1,53,2350
Hurricane_Ike,2009,4,Obligation Date,1,2,26
Hurricane_Ike,2009,4,Grantee Name,1,2,34
Hurricane_Ike,2009,4,Grantee,1,3,36
Hurricane_Ike,2009,4,Grant Status,1,2,19
Hurricane_Ike,2009,4,Grant Amount,1,2,30
Hurricane_Ike,2009,4,Grant,1,2,27
Hurricane_Ike,2009,4,Document,1,2,72
Hurricane_Ike,2009,4,Disasters,1,1,10
Hurricane_Ike,2009,4,Contract End Date,1,2,39
Hurricane_Ike,2009,4,Award Date,1,1,11
Hurricane_Ike,2010,1,Responsible Organization,458,8241,99744
Hurricane_Ike,2010,1,Projected Start Date,458,6412,88193
Hurricane_Ike,2010,1,Projected End Date,458,3206,45168
Hurricane_Ike,2010,1,National Objective,458,2290,47174
Hurricane_Ike,2010,1,Location Description,458,1534,68119
Hurricane_Ike,2010,1,Activity Progress Narrative,458,6593,112943
Hurricane_Ike,2010,1,Activity Description,458,2241,189114
Hurricane_Ike,2010,1,Activitiy Category,458,4580,43869
Hurricane_Ike,2010,1,No Other Funding Sources Found,356,2089,50049
Hurricane_Ike,2010,1,Performance Measures,26,615,9277
Hurricane_Ike,2010,1,Review By HUD,1,1,14
Hurricane_Ike,2010,1,Recovery Needs,1,47,2140
Hurricane_Ike,2010,1,QPR Contact,1,2,32
Hurricane_Ike,2010,1,Plan Description,1,32,2649
Hurricane_Ike,2010,1,Overall Progress Narrative,1,43,1188
Hurricane_Ike,2010,1,Obligation Date,1,2,26
Hurricane_Ike,2010,1,Housing Activities,1,47,1478
Hurricane_Ike,2010,1,Grantee Name,1,2,34
Hurricane_Ike,2010,1,Grantee,1,3,36
Hurricane_Ike,2010,1,Grant Status,1,2,19
Hurricane_Ike,2010,1,Grant Amount,1,2,30
Hurricane_Ike,2010,1,Grant,1,2,27
Hurricane_Ike,2010,1,Document,1,2,69
Hurricane_Ike,2010,1,Disasters,1,1,10
Hurricane_Ike,2010,1,Contractor Shall Make The Following Water System Improvements Throughout The City,1,5,473
Hurricane_Ike,2010,1,Contractor Shall Make The Following Drainage Improvements,1,5,381
Hurricane_Ike,2010,1,Contract End Date,1,2,39
Hurricane_Ike,2010,1,Award Date,1,1,11
Hurricane_Ike,2010,2,Responsible Organization,553,2212,51508
Hurricane_Ike,2010,2,Projected Start Date,553,7742,107594
Hurricane_Ike,2010,2,Projected End Date,553,553,10507
Hurricane_Ike,2010,2,National Objective,553,2765,56959
Hurricane_Ike,2010,2,Location Description,553,1881,83000
Hurricane_Ike,2010,2,Completed Activity Actual End Date,553,3871,65570
Hurricane_Ike,2010,2,Activity Progress Narrative,553,21001,332283
Hurricane_Ike,2010,2,Activity Description,553,3389,302058
