subject_type,subject_text,object_type,object_text,relation,context_window,weight
ORG,Area Benefit (Survey,DISASTER,Hurricane Ike,cooccurs,sentence,1048
ORG,AMI,DISASTER,Ike,cooccurs,sentence,664
ORG,Texas GLO,PROGRAM,Homeowner Assistance Program,cooccurs,sentence,632
ORG,Substantially Rehabilitated,DISASTER,Ike,cooccurs,sentence,580
ORG,County Total Projected Budget,TX_COUNTY,Harris County,cooccurs,sentence,540
ORG,Targeted Section 3 Labor Hours,DISASTER,Ike,cooccurs,sentence,467
ORG,DRS,DISASTER,Hurricane Ike,cooccurs,sentence,446
ORG,UN,TX_COUNTY,Harris County,cooccurs,sentence,437
ORG,State Agency,DISASTER,Ike,cooccurs,sentence,433
PROGRAM,Homeowner Assistance Program,DISASTER,Hurricane Harvey,cooccurs,sentence,431
ORG,HUD,PROGRAM,Homeowner Assistance Program,cooccurs,sentence,422
ORG,SBA,PROGRAM,Homeowner Reimbursement Program,cooccurs,sentence,392
ORG,Small Business Administration,PROGRAM,Homeowner Reimbursement Program,cooccurs,sentence,392
ORG,RHP,DISASTER,Hurricane Harvey,cooccurs,sentence,390
ORG,The Resilient Housing Program,DISASTER,Hurricane Harvey,cooccurs,sentence,390
PROGRAM,Homeowner Assistance Program,TX_COUNTY,Harris County,cooccurs,sentence,380
ORG,HUD,DISASTER,Hurricane Harvey,cooccurs,sentence,356
ORG,Sewer Facilities,TX_COUNTY,San Augustine County,cooccurs,sentence,353
ORG,Sewer Facilities,TX_COUNTY,Sabine County,cooccurs,sentence,344
ORG,GLO,TX_COUNTY,Harris County,cooccurs,sentence,339
ORG,Sewer Facilities,TX_COUNTY,Matagorda County,cooccurs,sentence,336
ORG,SF 0005,TX_COUNTY,San Augustine County,cooccurs,sentence,327
ORG,Texas GLO,TX_COUNTY,Jasper County,cooccurs,sentence,327
ORG,MIT - Rehabilitation,DISASTER,Hurricane Harvey,cooccurs,sentence,320
ORG,SF 0005,TX_COUNTY,Sabine County,cooccurs,sentence,317
ORG,Public Facilities,TX_COUNTY,Harris County,cooccurs,sentence,306
ORG,Texas GLO,TX_COUNTY,Waller County,cooccurs,sentence,291
ORG,Completed Activity Description,DISASTER,Hurricane Ike,cooccurs,sentence,289
DISASTER,Hurricane Harvey,TX_COUNTY,Harris County,cooccurs,sentence,287
ORG,MIT - Public Facilities,TX_COUNTY,San Augustine County,cooccurs,sentence,281
ORG,DRS,TX_COUNTY,Galveston County,cooccurs,sentence,271
ORG,Texas GLO,TX_COUNTY,Walker County,cooccurs,sentence,270
ORG,Improvements- Non Covered Projects Palacios,TX_COUNTY,Matagorda County,cooccurs,sentence,268
ORG,Improvements- Non Covered Projects Palacios,TX_COUNTY,San Augustine County,cooccurs,sentence,268
ORG,MIT - Public Facilities,TX_COUNTY,Sabine County,cooccurs,sentence,263
ORG,Texas GLO,DISASTER,Ike,cooccurs,sentence,263
ORG,Improvements- Non Covered Projects Palacios,TX_COUNTY,Sabine County,cooccurs,sentence,261
ORG,SF 0005,TX_COUNTY,Matagorda County,cooccurs,sentence,256
ORG,UN,TX_COUNTY,Jefferson County,cooccurs,sentence,256
ORG,KRW,DISASTER,Ike,cooccurs,sentence,256
ORG,Non Covered Projects,TX_COUNTY,San Augustine County,cooccurs,sentence,255
ORG,Non Covered Projects,TX_COUNTY,Sabine County,cooccurs,sentence,255
ORG,HUD,TX_COUNTY,Harris County,cooccurs,sentence,254
ORG,Date 03/31/2020 Direct,DISASTER,Hurricane Harvey,cooccurs,sentence,252
DISASTER,Hurricane Harvey,TX_COUNTY,Montgomery County,cooccurs,sentence,250
ORG,Texas GLO,TX_COUNTY,Polk County,cooccurs,sentence,246
ORG,Texas GLO,TX_COUNTY,Matagorda County,cooccurs,sentence,240
ORG,SI 0006 Construction,TX_COUNTY,Waller County,cooccurs,sentence,236
ORG,SI 0006 Construction,TX_COUNTY,Jasper County,cooccurs,sentence,236
ORG,SI 0006 Construction,TX_COUNTY,Polk County,cooccurs,sentence,236
ORG,UN,DISASTER,Hurricane Ike,cooccurs,sentence,234
ORG,Area Benefit (Survey,TX_COUNTY,Brazoria County,cooccurs,sentence,231
ORG,Affordable Rental Housing,DISASTER,Ike,cooccurs,sentence,228
ORG,Local Government,DISASTER,Ike,cooccurs,sentence,226
PROGRAM,Affordable Rental Program,TX_COUNTY,Harris County,cooccurs,sentence,222
ORG,Area Benefit (Survey,DISASTER,Hurricane Dolly,cooccurs,sentence,218
ORG,Urgent Need,TX_COUNTY,Jefferson County,cooccurs,sentence,216
ORG,Texas GLO,TX_COUNTY,Refugio County,cooccurs,sentence,215
ORG,MIT - Rehabilitation,PROGRAM,Homeowner Assistance Program,cooccurs,sentence,214
ORG,Public Improvement,DISASTER,Ike,cooccurs,sentence,213
ORG,GLO,TX_COUNTY,Bastrop County,cooccurs,sentence,203
ORG,Non Covered Projects,TX_COUNTY,Matagorda County,cooccurs,sentence,200
ORG,MIT - Public Facilities,TX_COUNTY,Matagorda County,cooccurs,sentence,199
ORG,Urgent Need,TX_COUNTY,Chambers County,cooccurs,sentence,192
ORG,Texas GLO,TX_COUNTY,Austin County,cooccurs,sentence,186
ORG,Date 03/31/2020 Direct,PROGRAM,Homeowner Assistance Program,cooccurs,sentence,183
ORG,GLO,PROGRAM,Homeowner Reimbursement Program,cooccurs,sentence,182
DISASTER,Hurricane Harvey,TX_COUNTY,Orange County,cooccurs,sentence,178
ORG,DRS,TX_COUNTY,Jasper County,cooccurs,sentence,176
ORG,UN,TX_COUNTY,Polk County,cooccurs,sentence,175
ORG,Targeted Section 3 Labor Hours 1 #,DISASTER,Ike,cooccurs,sentence,174
ORG,SI 0006 Construction,TX_COUNTY,Matagorda County,cooccurs,sentence,170
ORG,UN,TX_COUNTY,Galveston County,cooccurs,sentence,168
ORG,Public Facilities,TX_COUNTY,Galveston County,cooccurs,sentence,167
ORG,Urgent Need,TX_COUNTY,Galveston County,cooccurs,sentence,157
ORG,UN,TX_COUNTY,Jasper County,cooccurs,sentence,157
PROGRAM,Homeowner Assistance Program,DISASTER,Tropical Storm Imelda,cooccurs,sentence,156
ORG,GLO,DISASTER,Hurricane Harvey,cooccurs,sentence,156
ORG,Sewer Facilities,DISASTER,Hurricane Harvey,cooccurs,sentence,154
ORG,FEMA,TX_COUNTY,Bastrop County,cooccurs,sentence,154
ORG,Texas GLO,PROGRAM,Homeowner Reimbursement Program,cooccurs,sentence,154
DISASTER,Hurricane Harvey,TX_COUNTY,Jefferson County,cooccurs,sentence,152
ORG,Date 01/01/2010 Area Benefit (Survey,DISASTER,Hurricane Ike,cooccurs,sentence,148
DISASTER,Hurricane Harvey,TX_COUNTY,Austin County,cooccurs,sentence,148
ORG,Area Benefit (Survey,TX_COUNTY,Harris County,cooccurs,sentence,147
ORG,Texas GLO,PROGRAM,Local Infrastructure Program,cooccurs,sentence,147
ORG,Hot Mix Asphalt Concrete,TX_COUNTY,Willacy County,cooccurs,sentence,144
ORG,Area Benefit (Survey,TX_COUNTY,Chambers County,cooccurs,sentence,144
DISASTER,Hurricane Harvey,TX_COUNTY,Fayette County,cooccurs,sentence,143
ORG,Urgent Need,TX_COUNTY,Harris County,cooccurs,sentence,142
ORG,HMAC,TX_COUNTY,Willacy County,cooccurs,sentence,141
ORG,DRS,TX_COUNTY,Newton County,cooccurs,sentence,137
ORG,Sewer Facilities,PROGRAM,Local Infrastructure Program,cooccurs,sentence,137
DISASTER,Hurricane Ike,TX_COUNTY,Harris County,cooccurs,sentence,132
DISASTER,Hurricane Harvey,TX_COUNTY,Jasper County,cooccurs,sentence,132
DISASTER,Hurricane Harvey,TX_COUNTY,Fort Bend County,cooccurs,sentence,129
ORG,HMAC,TX_COUNTY,Orange County,cooccurs,sentence,128
ORG,UN,TX_COUNTY,Tyler County,cooccurs,sentence,128
ORG,HMAC,TX_COUNTY,Tyler County,cooccurs,sentence,127
ORG,Texas GLO,TX_COUNTY,Bastrop County,cooccurs,sentence,127
ORG,Urgent Need,DISASTER,Hurricane Ike,cooccurs,sentence,126
ORG,Lower Rio Grande Valley Floods,PROGRAM,Homeowner Assistance Program,cooccurs,sentence,126
ORG,Direct Benefit,DISASTER,Ike,cooccurs,sentence,124
ORG,Public Improvement,TX_COUNTY,Matagorda County,cooccurs,sentence,124
ORG,GLO,PROGRAM,Homeowner Assistance Program,cooccurs,sentence,124
ORG,Public Facilities,TX_COUNTY,Brazoria County,cooccurs,sentence,123
ORG,DRS,TX_COUNTY,Tyler County,cooccurs,sentence,123
DISASTER,Hurricane Harvey,TX_COUNTY,Waller County,cooccurs,sentence,123
ORG,Texas GLO,TX_COUNTY,Victoria County,cooccurs,sentence,122
ORG,GLO,PROGRAM,Local Infrastructure Program,cooccurs,sentence,122
DISASTER,Hurricane Harvey,TX_COUNTY,Liberty County,cooccurs,sentence,121
ORG,Flood and Drainage,DISASTER,Ike,cooccurs,sentence,121
ORG,SI 0006 Construction,TX_COUNTY,Walker County,cooccurs,sentence,120
ORG,SI 0006 Construction,TX_COUNTY,Austin County,cooccurs,sentence,120
DISASTER,Hurricane Harvey,TX_COUNTY,Bastrop County,cooccurs,sentence,120
ORG,Area Benefit (Census,TX_COUNTY,Brazoria County,cooccurs,sentence,119
DISASTER,Hurricane Harvey,TX_COUNTY,Newton County,cooccurs,sentence,119
ORG,Texas Activity Progress Narrative,TX_COUNTY,Harris County,cooccurs,sentence,117
ORG,Urgent Need,TX_COUNTY,Orange County,cooccurs,sentence,114
ORG,NCP 0005,TX_COUNTY,San Augustine County,cooccurs,sentence,112
ORG,Area Benefit (Survey,TX_COUNTY,Cameron County,cooccurs,sentence,112
ORG,Texas GLO,TX_COUNTY,CALHOUN COUNTY,cooccurs,sentence,112
DISASTER,Hurricane Harvey,TX_COUNTY,Gonzales County,cooccurs,sentence,112
ORG,Local Government,TX_COUNTY,Newton County,cooccurs,sentence,112
ORG,Urgent Need,TX_COUNTY,Brazoria County,cooccurs,sentence,112
ORG,DRS,TX_COUNTY,Harris County,cooccurs,sentence,111
ORG,Non-Match Funds,PROGRAM,Local Infrastructure Program,cooccurs,sentence,109
PROGRAM,Homeowner Assistance Program,TX_COUNTY,Newton County,cooccurs,sentence,109
DISASTER,Hurricane Harvey,TX_COUNTY,San Jacinto County,cooccurs,sentence,108
ORG,Local Government,TX_COUNTY,Fort Bend County,cooccurs,sentence,108
ORG,Texas GLO,PROGRAM,Affordable Rental Program,cooccurs,sentence,106
ORG,Local Government Houston,DISASTER,Ike,cooccurs,sentence,105
DISASTER,Hurricane Harvey,TX_COUNTY,Aransas County,cooccurs,sentence,105
ORG,Direct Benefit,DISASTER,Hurricane Ike,cooccurs,sentence,103
ORG,Local Government,TX_COUNTY,Harris County,cooccurs,sentence,103
ORG,NCP 0005,TX_COUNTY,Sabine County,cooccurs,sentence,102
ORG,SI 0006 Construction,TX_COUNTY,Victoria County,cooccurs,sentence,101
ORG,Countywide &,TX_COUNTY,Harris County,cooccurs,sentence,100
DISASTER,Hurricane Harvey,TX_COUNTY,Victoria County,cooccurs,sentence,98
DISASTER,Hurricane Ike,TX_COUNTY,Chambers County,cooccurs,sentence,97
DISASTER,Hurricane Harvey,TX_COUNTY,Polk County,cooccurs,sentence,96
DISASTER,Hurricane Harvey,TX_COUNTY,Wharton County,cooccurs,sentence,96
ORG,HMAC,TX_COUNTY,San Jacinto County,cooccurs,sentence,96
ORG,Area Benefit (Survey,TX_COUNTY,Newton County,cooccurs,sentence,95
ORG,Texas GLO,TX_COUNTY,Milam County,cooccurs,sentence,95
DISASTER,Hurricane Harvey,TX_COUNTY,Galveston County,cooccurs,sentence,95
ORG,Completed Activity Description,TX_COUNTY,Brazoria County,cooccurs,sentence,95
ORG,Texas GLO,TX_COUNTY,San Jacinto County,cooccurs,sentence,93
ORG,Drainage Facilities,PROGRAM,Local Infrastructure Program,cooccurs,sentence,92
