year,quarter_num,quarter,quarter_label,n_activity_rows,n_unique_activities,n_documents,sum_total_budget_usd,n_status_cancelled,n_status_completed,n_status_under_way,n_status_unknown
2019,4,Q4 2019,Q4 2019,22,11,2,54748160.0,6,0,5,0
2020,2,Q2 2020,Q2 2020,11,11,1,14334400.0,7,0,4,0
2020,3,Q3 2020,Q3 2020,11,11,1,14334400.0,7,0,4,0
2020,4,Q4 2020,Q4 2020,593,593,1,4255022393.16,95,2,496,0
2021,1,Q1 2021,Q1 2021,26,26,1,57800000.0,7,0,19,0
2021,2,Q2 2021,Q2 2021,26,26,1,57800000.0,7,0,19,0
2021,3,Q3 2021,Q3 2021,27,27,1,57800000.0,10,0,17,0
2021,4,Q4 2021,Q4 2021,27,27,1,57800000.0,10,0,17,0
2022,1,Q1 2022,Q1 2022,17,17,1,57800000.0,0,0,17,0
2022,2,Q2 2022,Q2 2022,16,16,1,57800000.0,0,0,16,0
2022,3,Q3 2022,Q3 2022,16,16,1,57800000.0,0,0,16,0
2022,4,Q4 2022,Q4 2022,17,17,1,57400000.0,0,0,17,0
2023,1,Q1 2023,Q1 2023,18,18,1,57400000.0,0,0,17,1
2023,2,Q2 2023,Q2 2023,16,16,1,57400000.0,0,0,16,0
2023,3,Q3 2023,Q3 2023,16,16,1,57400000.0,0,0,16,0
2023,4,Q4 2023,Q4 2023,16,16,1,57800000.0,0,0,16,0
2024,1,Q1 2024,Q1 2024,16,16,1,57800000.0,0,0,16,0
2024,2,Q2 2024,Q2 2024,16,16,1,57800000.0,0,0,16,0
2024,3,Q3 2024,Q3 2024,32,16,2,115600000.0,0,0,16,0
2024,4,Q4 2024,Q4 2024,30,30,1,57800000.0,14,0,16,0
2025,1,Q1 2025,Q1 2025,30,30,1,57800000.0,14,0,16,0
2025,2,Q2 2025,Q2 2025,30,30,1,57800000.0,14,0,16,0
2025,3,Q3 2025,Q3 2025,30,30,1,57800000.0,14,0,16,0
2025,4,Q4 2025,Q4 2025,30,30,1,57800000.0,14,0,16,0
