year,quarter_num,quarter,quarter_label,zip_code,n_activities,n_documents,n_responsible_orgs,n_counties,county_mode,city_mode,sum_alloc_total_budget_usd,sum_alloc_households_total,sum_alloc_renter_households,sum_alloc_owner_households,sum_alloc_persons_total,sum_alloc_housing_units_total,sum_alloc_jobs_created,sum_alloc_jobs_retained,sum_alloc_projects_completed,sum_alloc_projects_underway,sum_alloc_households_served,n_status_under_way
2022,2,Q2 2022,Q2 2022,77001,2,1,2,1,Harris County,Harris,100869.41033783783,,,,,,,,,,,2
2022,2,Q2 2022,Q2 2022,77002,2,1,2,1,Harris County,Harris,100869.41033783783,,,,,,,,,,,2
2022,2,Q2 2022,Q2 2022,77003,2,1,2,1,Harris County,Harris,100869.41033783783,,,,,,,,,,,2
2022,2,Q2 2022,Q2 2022,77004,2,1,2,1,Harris County,Harris,100869.41033783783,,,,,,,,,,,2
2022,2,Q2 2022,Q2 2022,77005,2,1,2,1,Harris County,Harris,100869.41033783783,,,,,,,,,,,2
2022,2,Q2 2022,Q2 2022,77006,2,1,2,1,Harris County,Harris,100869.41033783783,,,,,,,,,,,2
2022,2,Q2 2022,Q2 2022,77007,2,1,2,1,Harris County,Harris,100869.41033783783,,,,,,,,,,,2
2022,2,Q2 2022,Q2 2022,77008,2,1,2,1,Harris County,Harris,100869.41033783783,,,,,,,,,,,2
2022,2,Q2 2022,Q2 2022,77009,2,1,2,1,Harris County,Harris,100869.41033783783,,,,,,,,,,,2
2022,2,Q2 2022,Q2 2022,77011,2,1,2,1,Harris County,Harris,100869.41033783783,,,,,,,,,,,2
2022,2,Q2 2022,Q2 2022,77012,2,1,2,1,Harris County,Harris,100869.41033783783,,,,,,,,,,,2
2022,2,Q2 2022,Q2 2022,77013,2,1,2,1,Harris County,Harris,100869.41033783783,,,,,,,,,,,2
2022,2,Q2 2022,Q2 2022,77014,2,1,2,1,Harris County,Harris,100869.41033783783,,,,,,,,,,,2
2022,2,Q2 2022,Q2 2022,77015,2,1,2,1,Harris County,Harris,100869.41033783783,,,,,,,,,,,2
2022,2,Q2 2022,Q2 2022,77016,2,1,2,1,Harris County,Harris,100869.41033783783,,,,,,,,,,,2
2022,2,Q2 2022,Q2 2022,77017,2,1,2,1,Harris County,Harris,100869.41033783783,,,,,,,,,,,2
2022,2,Q2 2022,Q2 2022,77018,2,1,2,1,Harris County,Harris,100869.41033783783,,,,,,,,,,,2
2022,2,Q2 2022,Q2 2022,77019,2,1,2,1,Harris County,Harris,100869.41033783783,,,,,,,,,,,2
2022,2,Q2 2022,Q2 2022,77020,2,1,2,1,Harris County,Harris,100869.41033783783,,,,,,,,,,,2
2022,2,Q2 2022,Q2 2022,77021,2,1,2,1,Harris County,Harris,100869.41033783783,,,,,,,,,,,2
2022,2,Q2 2022,Q2 2022,77022,2,1,2,1,Harris County,Harris,100869.41033783783,,,,,,,,,,,2
2022,2,Q2 2022,Q2 2022,77023,2,1,2,1,Harris County,Harris,100869.41033783783,,,,,,,,,,,2
