document_id,category,filename,year,quarter,quarter_label,page_number,page_count,doc_kind_guess,is_amendment_guess,amendment_number_guess,section_heading,keyword,score,confidence,has_from_to,from_text,to_text,has_justification_cue,n_orgs_on_page,orgs_on_page,snippet,snippet_full,money_n_mentions_budget,money_sum_amount_usd_budget,money_max_amount_usd_budget,money_n_mentions_obligated,money_sum_amount_usd_obligated,money_max_amount_usd_obligated,money_n_mentions_drawdown,money_sum_amount_usd_drawdown,money_max_amount_usd_drawdown,money_n_mentions_expended,money_sum_amount_usd_expended,money_max_amount_usd_expended,money_n_mentions_unknown,money_sum_amount_usd_unknown,money_max_amount_usd_unknown
190,Harvey_5B_ActionPlan,drgr-h5b-2022-q3.pdf,2022,3,Q3 2022,271,1189,Action Plan,False,,Proposed Budgets For Organizations Carrying Out Activity,reallocat,4,medium,False,,,True,3,Elevated Structures; Local Government Alvin; Responsible Organization Organization Type Proposed Budget,"Location Description: Construction was cancelled. Activity Description: During the course of the project, rising costs and material shortages restricted the City of Alvin's ability to carry out the project scope outlined by the initial contract. The city has decided that the project is therefore unable to be completed and the remaining funds have been reallocated into the city’s sewer facilities project. # of Elevated Structures # of Non-business Organizations benefitting # of public facilities Proposed budgets for organizations carrying out Activity: Responsible Organization Organization Type Proposed Budget $ 12,931.24 Local Government Alvin, City of LMI%: 40.04 Activity Supporting Documents: None Environmental Assessment: UNDERWAY Environmental Reviews: None None Activity Attributes: 271 Community Development Systems Disaster Recovery Grant Reporting System (DRGR)","Location Description: Construction was cancelled. Activity Description: During the course of the project, rising costs and material shortages restricted the City of Alvin's ability to carry out the project scope outlined by the initial contract. The city has decided that the project is therefore unable to be completed and the remaining funds have been reallocated into the city’s sewer facilities project. # of Elevated Structures # of Non-business Organizations benefitting # of public facilities Proposed budgets for organizations carrying out Activity: Responsible Organization Organization Type Proposed Budget $ 12,931.24 Local Government Alvin, City of LMI%: 40.04 Activity Supporting Documents: None Environmental Assessment: UNDERWAY Environmental Reviews: None None Activity Attributes: 271 Community Development Systems Disaster Recovery Grant Reporting System (DRGR)",0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
191,Harvey_5B_ActionPlan,drgr-h5b-2022-q4.pdf,2022,4,Q4 2022,272,1216,Action Plan,False,,LMI%,reallocat,4,medium,False,,,True,3,Elevated Structures; Local Government Alvin; Responsible Organization Organization Type Proposed Budget,"Location Description: Construction was cancelled. Activity Description: During the course of the project, rising costs and material shortages restricted the City of Alvin's ability to carry out the project scope outlined by the initial contract. The city has decided that the project is therefore unable to be completed and the remaining funds have been reallocated into the city’s sewer facilities project. # of Elevated Structures # of Non-business Organizations benefitting # of public facilities Proposed budgets for organizations carrying out Activity: Responsible Organization Organization Type Proposed Budget $ 12,931.24 Local Government Alvin, City of LMI%: 40.04 Activity Supporting Documents: None Environmental Assessment: UNDERWAY Environmental Reviews: None None Activity Attributes: 272 Community Development Systems Disaster Recovery Grant Reporting System (DRGR)","Location Description: Construction was cancelled. Activity Description: During the course of the project, rising costs and material shortages restricted the City of Alvin's ability to carry out the project scope outlined by the initial contract. The city has decided that the project is therefore unable to be completed and the remaining funds have been reallocated into the city’s sewer facilities project. # of Elevated Structures # of Non-business Organizations benefitting # of public facilities Proposed budgets for organizations carrying out Activity: Responsible Organization Organization Type Proposed Budget $ 12,931.24 Local Government Alvin, City of LMI%: 40.04 Activity Supporting Documents: None Environmental Assessment: UNDERWAY Environmental Reviews: None None Activity Attributes: 272 Community Development Systems Disaster Recovery Grant Reporting System (DRGR)",0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
192,Harvey_5B_ActionPlan,drgr-h5b-2023-q1.pdf,2023,1,Q1 2023,272,1224,Action Plan,False,,Activity Attributes,reallocat,4,medium,False,,,True,3,Elevated Structures; Local Government Alvin; Responsible Organization Organization Type Proposed Budget,"Location Description: Construction was cancelled. Activity Description: During the course of the project, rising costs and material shortages restricted the City of Alvin's ability to carry out the project scope outlined by the initial contract. The city has decided that the project is therefore unable to be completed and the remaining funds have been reallocated into the city’s sewer facilities project. # of Elevated Structures # of Non-business Organizations benefitting # of public facilities Proposed budgets for organizations carrying out Activity: Responsible Organization Organization Type Proposed Budget $ 12,931.24 Local Government Alvin, City of LMI%: 40.04 Activity Supporting Documents: None Environmental Assessment: UNDERWAY Environmental Reviews: None None Activity Attributes: 272 Community Development Systems Disaster Recovery Grant Reporting System (DRGR)","Location Description: Construction was cancelled. Activity Description: During the course of the project, rising costs and material shortages restricted the City of Alvin's ability to carry out the project scope outlined by the initial contract. The city has decided that the project is therefore unable to be completed and the remaining funds have been reallocated into the city’s sewer facilities project. # of Elevated Structures # of Non-business Organizations benefitting # of public facilities Proposed budgets for organizations carrying out Activity: Responsible Organization Organization Type Proposed Budget $ 12,931.24 Local Government Alvin, City of LMI%: 40.04 Activity Supporting Documents: None Environmental Assessment: UNDERWAY Environmental Reviews: None None Activity Attributes: 272 Community Development Systems Disaster Recovery Grant Reporting System (DRGR)",0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
193,Harvey_5B_ActionPlan,drgr-h5b-2023-q2.pdf,2023,2,Q2 2023,272,1227,Action Plan,False,,Location Description,reallocat,4,medium,False,,,True,2,Local Government Alvin; Responsible Organization Organization Type Proposed Budget,"Location Description: Construction was cancelled. Activity Description: During the course of the project, rising costs and material shortages restricted the City of Alvin's ability to carry out the project scope outlined by the initial contract. The city has decided that the project is therefore unable to be completed and the remaining funds have been reallocated into the city’s sewer facilities project. Proposed budgets for organizations carrying out Activity: Responsible Organization Organization Type Proposed Budget $ 12,931.24 Local Government Alvin, City of Activity Supporting Documents: None Environmental Assessment: UNDERWAY Environmental Reviews: None None Activity Attributes: 272 Community Development Systems Disaster Recovery Grant Reporting System (DRGR)","Location Description: Construction was cancelled. Activity Description: During the course of the project, rising costs and material shortages restricted the City of Alvin's ability to carry out the project scope outlined by the initial contract. The city has decided that the project is therefore unable to be completed and the remaining funds have been reallocated into the city’s sewer facilities project. Proposed budgets for organizations carrying out Activity: Responsible Organization Organization Type Proposed Budget $ 12,931.24 Local Government Alvin, City of Activity Supporting Documents: None Environmental Assessment: UNDERWAY Environmental Reviews: None None Activity Attributes: 272 Community Development Systems Disaster Recovery Grant Reporting System (DRGR)",0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
194,Harvey_5B_ActionPlan,drgr-h5b-2023-q3.pdf,2023,3,Q3 2023,269,1176,Action Plan,False,,Proposed Budgets For Organizations Carrying Out Activity,reallocat,4,medium,False,,,True,4,City of Responsible Organization Activity Type Project; Local Government Alvin; Responsible Organization Organization Type Proposed Budget; Texas General Land Office,"Location Description: Construction was cancelled. Activity Description: During the course of the project, rising costs and material shortages restricted the City of Alvin's ability to carry out the project scope outlined by the initial contract. The city has decided that the project is therefore unable to be completed and the remaining funds have been reallocated into the city’s sewer facilities project. Total Low Mod Projected Beneficiaries Low/Mod% # of Persons 1 0.00 Total Projected Accomplishments # of Elevated Structures Proposed budgets for organizations carrying out Activity: Responsible Organization Organization Type Proposed Budget $ 12,931.24 Local Government Alvin, City of Responsible Organization Activity Type Project # Activity # Activity Title PIA Name Primary RLF Grant Number Public Facilities ty_PF 0006 facilities Hardin, County of P-17-TX-48- HIM1 Infrastructure Grantee Support for Subrecipient HMID LMI Public Facilities Activities INF_HMID_LMI_Gr anteeSupport[H5B]_ PF 0006 Rehabilitation/re construction of public facilities Texas General Land Office Y P-17-TX-48- HIM1 Activity Supporting Documents: None Environmental Assessment: UNDERWAY Environmental Reviews: Non…","Location Description: Construction was cancelled. Activity Description: During the course of the project, rising costs and material shortages restricted the City of Alvin's ability to carry out the project scope outlined by the initial contract. The city has decided that the project is therefore unable to be completed and the remaining funds have been reallocated into the city’s sewer facilities project. Total Low Mod Projected Beneficiaries Low/Mod% # of Persons 1 0.00 Total Projected Accomplishments # of Elevated Structures Proposed budgets for organizations carrying out Activity: Responsible Organization Organization Type Proposed Budget $ 12,931.24 Local Government Alvin, City of Responsible Organization Activity Type Project # Activity # Activity Title PIA Name Primary RLF Grant Number Public Facilities ty_PF 0006 facilities Hardin, County of P-17-TX-48- HIM1 Infrastructure Grantee Support for Subrecipient HMID LMI Public Facilities Activities INF_HMID_LMI_Gr anteeSupport[H5B]_ PF 0006 Rehabilitation/re construction of public facilities Texas General Land Office Y P-17-TX-48- HIM1 Activity Supporting Documents: None Environmental Assessment: UNDERWAY Environmental Reviews: None None Activity Attributes: 269 Community Development Systems Disaster Recovery Grant Reporting System (DRGR)",0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,,
195,Harvey_5B_ActionPlan,drgr-h5b-2023-q4.pdf,2023,4,Q4 2023,296,1329,Action Plan,False,,Proposed Budgets For Organizations Carrying Out Activity,reallocat,4,medium,False,,,True,5,Public Facilities; City of Responsible Organization Activity Type Project; Local Government Alvin; Responsible Organization Organization Type Proposed Budget; Texas General Land Office,"Location Description: Construction was cancelled. Activity Description: During the course of the project, rising costs and material shortages restricted the City of Alvin's ability to carry out the project scope outlined by the initial contract. The city has decided that the project is therefore unable to be completed and the remaining funds have been reallocated into the city’s sewer facilities project. Total Low Mod Projected Beneficiaries Low/Mod% # of Persons 1 0.00 Total Projected Accomplishments # of Elevated Structures Proposed budgets for organizations carrying out Activity: Responsible Organization Organization Type Proposed Budget $ 12,931.24 Local Government Alvin, City of Responsible Organization Activity Type Project # Activity # Activity Title PIA Name Primary RLF Grant Number Public Facilities unty_PF 0006 facilities CALHOUN COUNTY P-17-TX-48- HIM1 Public Facilities INF_HMID_LMI_20- 065-110- C306_RefugioCount y_PF 0006 Rehabilitation/re construction of public facilities Refugio County P-17-TX-48- HIM1 Public Facilities INF_HMID_LMI_20- 065-091- C254_NuecesCount y_PF 0006 Rehabilitation/re construction of public facilities Nueces County P-17-TX-48- HIM1 Public Facilit…","Location Description: Construction was cancelled. Activity Description: During the course of the project, rising costs and material shortages restricted the City of Alvin's ability to carry out the project scope outlined by the initial contract. The city has decided that the project is therefore unable to be completed and the remaining funds have been reallocated into the city’s sewer facilities project. Total Low Mod Projected Beneficiaries Low/Mod% # of Persons 1 0.00 Total Projected Accomplishments # of Elevated Structures Proposed budgets for organizations carrying out Activity: Responsible Organization Organization Type Proposed Budget $ 12,931.24 Local Government Alvin, City of Responsible Organization Activity Type Project # Activity # Activity Title PIA Name Primary RLF Grant Number Public Facilities unty_PF 0006 facilities CALHOUN COUNTY P-17-TX-48- HIM1 Public Facilities INF_HMID_LMI_20- 065-110- C306_RefugioCount y_PF 0006 Rehabilitation/re construction of public facilities Refugio County P-17-TX-48- HIM1 Public Facilities INF_HMID_LMI_20- 065-091- C254_NuecesCount y_PF 0006 Rehabilitation/re construction of public facilities Nueces County P-17-TX-48- HIM1 Public Facilities INF_HMID_LMI_20- 065-140- C594_Orange_PF 0006 Rehabilitation/re construction of public facilities Orange P-17-TX-48- HIM1 Public Facilities INF_HMID_LMI_20- 065-119- C390_WestOrange_ PF 0006 Rehabilitation/re construction of public facilities West Orange P-17-TX-48- HIM1 Infrastructure Grantee Support for Subrecipient HMID LMI Public Facilities Activities INF_HMID_LMI_Gr anteeSupport[H5B]_ PF 0006 Rehabilitation/re construction of public facilities Texas General Land Office Y P-17-TX-48- HIM1 Environmental Assessment: UNDERWAY Environmental Reviews: None None Activity Attributes: 296 Community Development Systems Disaster Recovery Grant Reporting System (DRGR)",0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,,
196,Harvey_5B_ActionPlan,drgr-h5b-2024-q1.pdf,2024,1,Q1 2024,294,1367,Action Plan,False,,Proposed Budgets For Organizations Carrying Out Activity,reallocat,4,medium,False,,,True,5,Public Facilities; City of Responsible Organization Activity Type Project; Local Government Alvin; Responsible Organization Organization Type Proposed Budget; Texas General Land Office,"Location Description: Construction was cancelled. Activity Description: During the course of the project, rising costs and material shortages restricted the City of Alvin's ability to carry out the project scope outlined by the initial contract. The city has decided that the project is therefore unable to be completed and the remaining funds have been reallocated into the city’s sewer facilities project. Total Low Mod Projected Beneficiaries Low/Mod% # of Persons 1 0.00 Total Projected Accomplishments # of Elevated Structures Proposed budgets for organizations carrying out Activity: Responsible Organization Organization Type Proposed Budget $ 12,931.24 Local Government Alvin, City of Responsible Organization Activity Type Project # Activity # Activity Title PIA Name Primary RLF Grant Number Public Facilities unty_PF 0006 facilities CALHOUN COUNTY P-17-TX-48- HIM1 Public Facilities INF_HMID_LMI_20- 065-110- C306_RefugioCount y_PF 0006 Rehabilitation/re construction of public facilities Refugio County P-17-TX-48- HIM1 Public Facilities INF_HMID_LMI_20- 065-091- C254_NuecesCount y_PF 0006 Rehabilitation/re construction of public facilities Nueces County P-17-TX-48- HIM1 Public Facilit…","Location Description: Construction was cancelled. Activity Description: During the course of the project, rising costs and material shortages restricted the City of Alvin's ability to carry out the project scope outlined by the initial contract. The city has decided that the project is therefore unable to be completed and the remaining funds have been reallocated into the city’s sewer facilities project. Total Low Mod Projected Beneficiaries Low/Mod% # of Persons 1 0.00 Total Projected Accomplishments # of Elevated Structures Proposed budgets for organizations carrying out Activity: Responsible Organization Organization Type Proposed Budget $ 12,931.24 Local Government Alvin, City of Responsible Organization Activity Type Project # Activity # Activity Title PIA Name Primary RLF Grant Number Public Facilities unty_PF 0006 facilities CALHOUN COUNTY P-17-TX-48- HIM1 Public Facilities INF_HMID_LMI_20- 065-110- C306_RefugioCount y_PF 0006 Rehabilitation/re construction of public facilities Refugio County P-17-TX-48- HIM1 Public Facilities INF_HMID_LMI_20- 065-091- C254_NuecesCount y_PF 0006 Rehabilitation/re construction of public facilities Nueces County P-17-TX-48- HIM1 Public Facilities INF_HMID_LMI_20- 065-140- C594_Orange_PF 0006 Rehabilitation/re construction of public facilities Orange P-17-TX-48- HIM1 Public Facilities INF_HMID_LMI_20- 065-119- C390_WestOrange_ PF 0006 Rehabilitation/re construction of public facilities West Orange P-17-TX-48- HIM1 Infrastructure Grantee Support for Subrecipient HMID LMI Public Facilities Activities INF_HMID_LMI_Gr anteeSupport[H5B]_ PF 0006 Rehabilitation/re construction of public facilities Texas General Land Office Y P-17-TX-48- HIM1 Environmental Assessment: UNDERWAY Environmental Reviews: None None Activity Attributes: 294 Community Development Systems Disaster Recovery Grant Reporting System (DRGR)",0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,,
197,Harvey_5B_ActionPlan,drgr-h5b-2024-q2.pdf,2024,2,Q2 2024,302,1375,Action Plan,False,,Proposed Budgets For Organizations Carrying Out Activity,reallocat,4,medium,False,,,True,5,Public Facilities; City of Responsible Organization Activity Type Project; Local Government Alvin; Responsible Organization Organization Type Proposed Budget; Texas General Land Office,"Location Description: Construction was cancelled. Activity Description: During the course of the project, rising costs and material shortages restricted the City of Alvin's ability to carry out the project scope outlined by the initial contract. The city has decided that the project is therefore unable to be completed and the remaining funds have been reallocated into the city’s sewer facilities project. Total Low Mod Projected Beneficiaries Low/Mod% # of Persons 1 0.00 Total Projected Accomplishments # of Elevated Structures Proposed budgets for organizations carrying out Activity: Responsible Organization Organization Type Proposed Budget $ 12,931.24 Local Government Alvin, City of Responsible Organization Activity Type Project # Activity # Activity Title PIA Name Primary RLF Grant Number Public Facilities unty_PF 0006 facilities CALHOUN COUNTY P-17-TX-48- HIM1 Public Facilities INF_HMID_LMI_20- 065-110- C306_RefugioCount y_PF 0006 Rehabilitation/re construction of public facilities Refugio County P-17-TX-48- HIM1 Public Facilities INF_HMID_LMI_20- 065-091- C254_NuecesCount y_PF 0006 Rehabilitation/re construction of public facilities Nueces County P-17-TX-48- HIM1 Public Facilit…","Location Description: Construction was cancelled. Activity Description: During the course of the project, rising costs and material shortages restricted the City of Alvin's ability to carry out the project scope outlined by the initial contract. The city has decided that the project is therefore unable to be completed and the remaining funds have been reallocated into the city’s sewer facilities project. Total Low Mod Projected Beneficiaries Low/Mod% # of Persons 1 0.00 Total Projected Accomplishments # of Elevated Structures Proposed budgets for organizations carrying out Activity: Responsible Organization Organization Type Proposed Budget $ 12,931.24 Local Government Alvin, City of Responsible Organization Activity Type Project # Activity # Activity Title PIA Name Primary RLF Grant Number Public Facilities unty_PF 0006 facilities CALHOUN COUNTY P-17-TX-48- HIM1 Public Facilities INF_HMID_LMI_20- 065-110- C306_RefugioCount y_PF 0006 Rehabilitation/re construction of public facilities Refugio County P-17-TX-48- HIM1 Public Facilities INF_HMID_LMI_20- 065-091- C254_NuecesCount y_PF 0006 Rehabilitation/re construction of public facilities Nueces County P-17-TX-48- HIM1 Public Facilities INF_HMID_LMI_20- 065-140- C594_Orange_PF 0006 Rehabilitation/re construction of public facilities Orange P-17-TX-48- HIM1 Public Facilities INF_HMID_LMI_20- 065-119- C390_WestOrange_ PF 0006 Rehabilitation/re construction of public facilities West Orange P-17-TX-48- HIM1 Infrastructure Grantee Support for Subrecipient HMID LMI Public Facilities Activities INF_HMID_LMI_Gr anteeSupport[H5B]_ PF 0006 Rehabilitation/re construction of public facilities Texas General Land Office Y P-17-TX-48- HIM1 Environmental Assessment: UNDERWAY Environmental Reviews: None None Activity Attributes: 302 Community Development Systems Disaster Recovery Grant Reporting System (DRGR)",0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,,
198,Harvey_5B_ActionPlan,drgr-h5b-2024-q3.pdf,2024,3,Q3 2024,304,1367,Action Plan,False,,Proposed Budgets For Organizations Carrying Out Activity,reallocat,4,medium,False,,,True,5,Public Facilities; City of Responsible Organization Activity Type Project; Local Government Alvin; Responsible Organization Organization Type Proposed Budget; Texas General Land Office,"Location Description: Construction was cancelled. Activity Description: During the course of the project, rising costs and material shortages restricted the City of Alvin's ability to carry out the project scope outlined by the initial contract. The city has decided that the project is therefore unable to be completed and the remaining funds have been reallocated into the city’s sewer facilities project. Total Low Mod Projected Beneficiaries Low/Mod% # of Persons 1 0.00 Total Projected Accomplishments # of Elevated Structures Proposed budgets for organizations carrying out Activity: Responsible Organization Organization Type Proposed Budget $ 12,931.24 Local Government Alvin, City of Responsible Organization Activity Type Project # Activity # Activity Title PIA Name Primary RLF Grant Number Public Facilities unty_PF 0006 facilities CALHOUN COUNTY P-17-TX-48- HIM1 Public Facilities INF_HMID_LMI_20- 065-110- C306_RefugioCount y_PF 0006 Rehabilitation/re construction of public facilities Refugio County P-17-TX-48- HIM1 Public Facilities INF_HMID_LMI_20- 065-091- C254_NuecesCount y_PF 0006 Rehabilitation/re construction of public facilities Nueces County P-17-TX-48- HIM1 Public Facilit…","Location Description: Construction was cancelled. Activity Description: During the course of the project, rising costs and material shortages restricted the City of Alvin's ability to carry out the project scope outlined by the initial contract. The city has decided that the project is therefore unable to be completed and the remaining funds have been reallocated into the city’s sewer facilities project. Total Low Mod Projected Beneficiaries Low/Mod% # of Persons 1 0.00 Total Projected Accomplishments # of Elevated Structures Proposed budgets for organizations carrying out Activity: Responsible Organization Organization Type Proposed Budget $ 12,931.24 Local Government Alvin, City of Responsible Organization Activity Type Project # Activity # Activity Title PIA Name Primary RLF Grant Number Public Facilities unty_PF 0006 facilities CALHOUN COUNTY P-17-TX-48- HIM1 Public Facilities INF_HMID_LMI_20- 065-110- C306_RefugioCount y_PF 0006 Rehabilitation/re construction of public facilities Refugio County P-17-TX-48- HIM1 Public Facilities INF_HMID_LMI_20- 065-091- C254_NuecesCount y_PF 0006 Rehabilitation/re construction of public facilities Nueces County P-17-TX-48- HIM1 Public Facilities INF_HMID_LMI_20- 065-140- C594_Orange_PF 0006 Rehabilitation/re construction of public facilities Orange P-17-TX-48- HIM1 Public Facilities INF_HMID_LMI_20- 065-119- C390_WestOrange_ PF 0006 Rehabilitation/re construction of public facilities West Orange P-17-TX-48- HIM1 Infrastructure Grantee Support for Subrecipient HMID LMI Public Facilities Activities INF_HMID_LMI_Gr anteeSupport[H5b]_ PF 0006 Rehabilitation/re construction of public facilities Texas General Land Office Y P-17-TX-48- HIM1 Environmental Assessment: UNDERWAY Environmental Reviews: None None Activity Attributes: 304 Community Development Systems Disaster Recovery Grant Reporting System (DRGR)",0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,,
199,Harvey_5B_ActionPlan,drgr-h5b-2024-q4 (1).pdf,2024,4,Q4 2024,312,1403,Action Plan,False,,Proposed Budgets For Organizations Carrying Out Activity,reallocat,4,medium,False,,,True,5,Public Facilities; City of Responsible Organization Activity Type Project; Local Government Alvin; Responsible Organization Organization Type Proposed Budget; Texas General Land Office,"Location Description: Construction was cancelled. Activity Description: During the course of the project, rising costs and material shortages restricted the City of Alvin's ability to carry out the project scope outlined by the initial contract. The city has decided that the project is therefore unable to be completed and the remaining funds have been reallocated into the city’s sewer facilities project. Total Low Mod Projected Beneficiaries Low/Mod% # of Persons 1 0.00 Total Projected Accomplishments # of Elevated Structures Proposed budgets for organizations carrying out Activity: Responsible Organization Organization Type Proposed Budget $ 12,931.24 Local Government Alvin, City of Responsible Organization Activity Type Project # Activity # Activity Title PIA Name Primary RLF Grant Number Public Facilities unty_PF 0006 facilities CALHOUN COUNTY P-17-TX-48- HIM1 Public Facilities INF_HMID_LMI_20- 065-110- C306_RefugioCount y_PF 0006 Rehabilitation/re construction of public facilities Refugio County P-17-TX-48- HIM1 Public Facilities INF_HMID_LMI_20- 065-091- C254_NuecesCount y_PF 0006 Rehabilitation/re construction of public facilities Nueces County P-17-TX-48- HIM1 Public Facilit…","Location Description: Construction was cancelled. Activity Description: During the course of the project, rising costs and material shortages restricted the City of Alvin's ability to carry out the project scope outlined by the initial contract. The city has decided that the project is therefore unable to be completed and the remaining funds have been reallocated into the city’s sewer facilities project. Total Low Mod Projected Beneficiaries Low/Mod% # of Persons 1 0.00 Total Projected Accomplishments # of Elevated Structures Proposed budgets for organizations carrying out Activity: Responsible Organization Organization Type Proposed Budget $ 12,931.24 Local Government Alvin, City of Responsible Organization Activity Type Project # Activity # Activity Title PIA Name Primary RLF Grant Number Public Facilities unty_PF 0006 facilities CALHOUN COUNTY P-17-TX-48- HIM1 Public Facilities INF_HMID_LMI_20- 065-110- C306_RefugioCount y_PF 0006 Rehabilitation/re construction of public facilities Refugio County P-17-TX-48- HIM1 Public Facilities INF_HMID_LMI_20- 065-091- C254_NuecesCount y_PF 0006 Rehabilitation/re construction of public facilities Nueces County P-17-TX-48- HIM1 Public Facilities INF_HMID_LMI_20- 065-140- C594_Orange_PF 0006 Rehabilitation/re construction of public facilities Orange P-17-TX-48- HIM1 Public Facilities INF_HMID_LMI_20- 065-119- C390_WestOrange_ PF 0006 Rehabilitation/re construction of public facilities West Orange P-17-TX-48- HIM1 Infrastructure Grantee Support for Subrecipient HMID LMI Public Facilities Activities INF_HMID_LMI_Gr anteeSupport[H5b]_ PF 0006 Rehabilitation/re construction of public facilities Texas General Land Office Y P-17-TX-48- HIM1 Environmental Assessment: UNDERWAY Environmental Reviews: None None Activity Attributes: 312 Community Development Systems Disaster Recovery Grant Reporting System (DRGR)",0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,,
