Quarter,County,Program Type,Allocated,Activity Count
Q1 2020,Statewide,Infrastructure,3362979103.26,338
Q1 2020,FortBend,Infrastructure,17787575.0,3
Q1 2020,SanJacinto,Infrastructure,13963288.0,4
Q1 2020,Montgomery,Infrastructure,12392489.0,3
Q1 2020,Liberty,Infrastructure,11124857.0,5
Q1 2020,Fayette,Infrastructure,9549388.75,4
Q1 2020,Newton,Infrastructure,7745843.0,3
Q1 2020,Nueces County,Infrastructure,4644430.59,2
Q1 2020,Galveston,Infrastructure,3399435.0,1
Q1 2020,FortBend County,Infrastructure,3368000.0,5
Q1 2020,Hardin,Infrastructure,2938238.56,2
Q1 2020,Chambers,Infrastructure,2701783.0,1
Q1 2020,Victoria,Infrastructure,2413521.0,3
Q1 2020,Wharton,Infrastructure,2173864.0,3
Q1 2020,SanPatricio,Infrastructure,2037215.0,1
Q1 2020,Jefferson,Infrastructure,1885562.0,3
Q1 2020,Newton County,Infrastructure,1869100.0,4
Q1 2020,Victoria County,Infrastructure,1324296.0,2
Q1 2020,Jasper,Infrastructure,1298067.0,2
Q1 2020,Jefferson County,Infrastructure,765746.8,5
Q1 2020,Jackson,Infrastructure,588206.0,2
Q1 2020,Liberty County,Infrastructure,539711.0,1
Q1 2020,Montgomery County,Infrastructure,504000.0,1
Q1 2020,Hardin County,Infrastructure,450000.0,2
Q1 2020,Fayette County,Infrastructure,293250.0,1
Q1 2020,Tyler County,Infrastructure,249302.0,4
Q1 2020,Colorado,Infrastructure,227232.0,2
Q1 2020,Wharton County,Infrastructure,69701.0,1
Q1 2020,Austin,Infrastructure,0.0,5
Q1 2020,Austin County,Infrastructure,0.0,1
Q1 2020,Bastrop,Infrastructure,0.0,3
Q1 2020,Bastrop County,Infrastructure,0.0,1
Q1 2020,Bee County,Infrastructure,0.0,2
Q1 2020,Caldwell,Infrastructure,0.0,3
Q1 2020,Calhoun County,Infrastructure,0.0,2
Q1 2020,Goliad,Infrastructure,0.0,2
Q1 2020,Goliad County,Infrastructure,0.0,5
Q1 2020,Gonzales,Infrastructure,0.0,3
Q1 2020,Gonzales County,Infrastructure,0.0,1
Q1 2020,Grimes,Infrastructure,0.0,2
Q1 2020,Grimes County,Infrastructure,0.0,2
Q1 2020,Karnes,Infrastructure,0.0,4
Q1 2020,Karnes County,Infrastructure,0.0,1
Q1 2020,Lee,Infrastructure,0.0,1
Q1 2020,Lee County,Infrastructure,0.0,1
Q1 2020,Milam,Infrastructure,0.0,3
Q1 2020,Milam County,Infrastructure,0.0,1
Q1 2020,Polk,Infrastructure,0.0,3
Q1 2020,Sabine,Infrastructure,0.0,1
Q1 2020,Tyler,Infrastructure,0.0,2
Q1 2020,Waller,Infrastructure,0.0,4
Q1 2020,Waller County,Infrastructure,0.0,1
Q1 2021,Statewide,Infrastructure,3938848876.08,436
Q1 2021,Statewide,Housing,57800000.0,26
Q1 2021,Aransas County,Infrastructure,33812910.0,3
Q1 2021,FortBend,Infrastructure,17881491.0,4
Q1 2021,SanJacinto,Infrastructure,13963288.0,4
Q1 2021,Montgomery,Infrastructure,12392489.0,3
Q1 2021,Liberty,Infrastructure,11124857.0,5
Q1 2021,Brazoria,Infrastructure,10916934.0,1
Q1 2021,Refugio County,Infrastructure,10294295.0,5
Q1 2021,Fayette,Infrastructure,9549388.75,4
Q1 2021,Jasper,Infrastructure,7806652.0,5
Q1 2021,Newton,Infrastructure,7745843.0,3
Q1 2021,FortBend County,Infrastructure,7630381.0,6
Q1 2021,Montgomery County,Infrastructure,7411888.5,8
Q1 2021,Hardin County,Infrastructure,5701204.59,5
Q1 2021,Nueces County,Infrastructure,4644430.59,2
Q1 2021,Galveston,Infrastructure,3399435.0,1
Q1 2021,Orange,Infrastructure,3362406.17,2
Q1 2021,Hardin,Infrastructure,2938238.56,2
Q1 2021,Galveston County,Infrastructure,2838296.0,2
Q1 2021,Chambers,Infrastructure,2701783.0,1
Q1 2021,Victoria,Infrastructure,2413521.0,3
Q1 2021,Wharton,Infrastructure,2173864.0,3
Q1 2021,Calhoun County,Infrastructure,2138266.5,2
Q1 2021,SanPatricio,Infrastructure,2037215.0,1
Q1 2021,Jefferson,Infrastructure,1885562.0,3
Q1 2021,Newton County,Infrastructure,1869100.0,4
Q1 2021,Waller,Infrastructure,1828698.0,4
