entity_type,canonical_text,alias_text,alias_count,method,confidence
ORG,HUD,HUD,96752,normalized_key,0.8
GPE,Texas,Texas,41603,normalized_key,0.8
TX_COUNTY,Harris County,Harris County,16954,normalized_key,0.8
ORG,GLO,GLO,10075,normalized_key,0.8
GPE,Houston,Houston,8284,normalized_key,0.8
TX_COUNTY,Galveston County,Galveston County,6774,normalized_key,0.8
GPE,CR,CR,6220,normalized_key,0.8
ORG,FEMA,FEMA,5352,normalized_key,0.8
TX_COUNTY,Newton County,Newton County,5312,normalized_key,0.8
ORG,Texas GLO,Texas General Land Office,4821,seed,0.99
GPE,the City of,the City of,4401,normalized_key,0.8
GPE,kW,kW,4393,normalized_key,0.8
TX_COUNTY,Brazoria County,Brazoria County,3624,normalized_key,0.8
GPE,US,US,3456,normalized_key,0.8
GPE,s.y.,s.y.,3422,normalized_key,0.8
TX_COUNTY,Jefferson County,Jefferson County,3387,normalized_key,0.8
ORG,UN,UN,3306,normalized_key,0.8
TX_COUNTY,Polk County,Polk County,3238,normalized_key,0.8
ORG,State Agency,State Agency,3211,normalized_key,0.8
TX_COUNTY,Jasper County,Jasper County,3197,normalized_key,0.8
TX_COUNTY,Liberty County,Liberty County,3175,normalized_key,0.8
TX_COUNTY,Tyler County,Tyler County,3078,normalized_key,0.8
TX_COUNTY,Willacy County,Willacy County,2949,normalized_key,0.8
TX_COUNTY,Bastrop County,Bastrop County,2834,normalized_key,0.8
TX_COUNTY,Montgomery County,Montgomery County,2788,normalized_key,0.8
TX_COUNTY,Chambers County,Chambers County,2736,normalized_key,0.8
TX_COUNTY,San Jacinto County,San Jacinto County,2522,normalized_key,0.8
TX_COUNTY,Matagorda County,Matagorda County,2471,normalized_key,0.8
TX_COUNTY,Orange County,Orange County,2411,normalized_key,0.8
TX_COUNTY,Refugio County,Refugio County,2293,normalized_key,0.8
GPE,Avenue,Avenue,2235,normalized_key,0.8
TX_COUNTY,Austin County,Austin County,2183,normalized_key,0.8
TX_COUNTY,Hidalgo County,Hidalgo County,2036,normalized_key,0.8
TX_COUNTY,Sabine County,Sabine County,1929,normalized_key,0.8
TX_COUNTY,Fort Bend County,Fort Bend County,1730,normalized_key,0.8
GPE,Galveston,Galveston,1723,normalized_key,0.8
TX_COUNTY,Cameron County,Cameron County,1639,normalized_key,0.8
GPE,Port Arthur,Port Arthur,1625,normalized_key,0.8
TX_COUNTY,Walker County,Walker County,1624,normalized_key,0.8
TX_COUNTY,Victoria County,Victoria County,1600,normalized_key,0.8
GPE,the City of,The City of,1583,normalized_key,0.8
TX_COUNTY,Hardin County,Hardin County,1554,normalized_key,0.8
TX_COUNTY,Waller County,Waller County,1551,normalized_key,0.8
TX_COUNTY,Gonzales County,Gonzales County,1457,normalized_key,0.8
TX_COUNTY,Grimes County,Grimes County,1407,normalized_key,0.8
GPE,Pasadena,Pasadena,1246,normalized_key,0.8
TX_COUNTY,San Augustine County,San Augustine County,1152,normalized_key,0.8
GPE,Beaumont,Beaumont,1122,normalized_key,0.8
ORG,GLO Accounting,GLO Accounting,1058,normalized_key,0.8
GPE,Orange,Orange,1035,normalized_key,0.8
TX_COUNTY,CALHOUN COUNTY,CALHOUN COUNTY,1029,normalized_key,0.8
TX_COUNTY,Starr County,Starr County,1023,normalized_key,0.8
ORG,TDEM,TDEM,1000,normalized_key,0.8
TX_COUNTY,Milam County,Milam County,998,normalized_key,0.8
TX_COUNTY,Jim Wells County,Jim Wells County,969,normalized_key,0.8
GPE,Hardin,Hardin,900,normalized_key,0.8
TX_COUNTY,Nueces County,Nueces County,892,normalized_key,0.8
GPE,Street,Street,885,normalized_key,0.8
TX_COUNTY,Kleberg County,Kleberg County,863,normalized_key,0.8
GPE,Patton Village,Patton Village,860,normalized_key,0.8
GPE,China,China,859,normalized_key,0.8
GPE,LMI,LMI,841,normalized_key,0.8
TX_COUNTY,San Patricio County,San Patricio County,741,normalized_key,0.8
GPE,KINGSVILLE,KINGSVILLE,723,normalized_key,0.8
GPE,Jasper,Jasper,722,normalized_key,0.8
TX_COUNTY,Wharton County,Wharton County,709,normalized_key,0.8
TX_COUNTY,Trinity County,Trinity County,693,normalized_key,0.8
ORG,Texas Department of Housing and Community Affairs,Texas Department of Housing and Community Affairs,691,normalized_key,0.8
GPE,Texas City,Texas City,659,normalized_key,0.8
GPE,Coldspring,Coldspring,645,normalized_key,0.8
GPE,Liberty,Liberty,630,normalized_key,0.8
TX_COUNTY,CALHOUN COUNTY,Calhoun County,613,normalized_key,0.8
ORG,SBA,SBA,612,normalized_key,0.8
GPE,Bridge City,Bridge City,606,normalized_key,0.8
GPE,Moulton,Moulton,604,normalized_key,0.8
TX_COUNTY,Nacogdoches County,Nacogdoches County,593,normalized_key,0.8
GPE,the City of Vidor,the City of Vidor,586,normalized_key,0.8
GPE,Cleveland,Cleveland,579,normalized_key,0.8
TX_COUNTY,Aransas County,Aransas County,579,normalized_key,0.8
GPE,Huntsville,Huntsville,572,normalized_key,0.8
GPE,BEEVILLE,BEEVILLE,570,normalized_key,0.8
TX_COUNTY,Kleberg County,KLEBERG COUNTY,564,normalized_key,0.8
TX_COUNTY,Harris County,HARRIS COUNTY,558,normalized_key,0.8
GPE,C.R.,C.R.,552,normalized_key,0.8
GPE,the City of Galveston,the City of Galveston,546,normalized_key,0.8
ORG,Improvements- Non Covered Projects Texas General Land Office,Improvements- Non Covered Projects Texas General Land Office,540,normalized_key,0.8
ORG,Texas General Land Office NA Benefit Report Type,Texas General Land Office NA Benefit Report Type,540,normalized_key,0.8
TX_COUNTY,Houston County,Houston County,530,normalized_key,0.8
GPE,Matagorda,Matagorda,529,normalized_key,0.8
GPE,Hitchcock,Hitchcock,526,normalized_key,0.8
GPE,SCADA,SCADA,524,normalized_key,0.8
TX_COUNTY,Madison County,Madison County,518,normalized_key,0.8
TX_COUNTY,Goliad County,Goliad County,507,normalized_key,0.8
ORG,"Improvements- Non Covered Projects Gonzales, City Of P-18-TX-48- MIT1 Flood and Drainage HHC_SMID_LMI_22","Improvements- Non Covered Projects Gonzales, City Of P-18-TX-48- MIT1 Flood and Drainage HHC_SMID_LMI_22",500,normalized_key,0.8
GPE,l.f.,l.f.,492,normalized_key,0.8
GPE,Liverpool,Liverpool,480,normalized_key,0.8
GPE,La Porte,La Porte,471,normalized_key,0.8
GPE,Dickinson,Dickinson,470,normalized_key,0.8
GPE,Rose City,Rose City,470,normalized_key,0.8
TX_COUNTY,Cherokee County,Cherokee County,469,normalized_key,0.8
TX_COUNTY,Fayette County,Fayette County,469,normalized_key,0.8
GPE,U.S.,U.S.,464,normalized_key,0.8
GPE,Kirbyville,Kirbyville,459,normalized_key,0.8
GPE,Navasota,Navasota,458,normalized_key,0.8
ORG,Post Office Street,Post Office Street,451,normalized_key,0.8
ORG,The Council of Governments,The Council of Governments,443,normalized_key,0.8
TX_COUNTY,Leon County,Leon County,441,normalized_key,0.8
GPE,Colorado,Colorado,433,normalized_key,0.8
GPE,Aransas,Aransas,426,normalized_key,0.8
GPE,Nederland,Nederland,426,normalized_key,0.8
ORG,City Limits,City Limits,422,normalized_key,0.8
GPE,the City of Galveston,The City of Galveston,420,normalized_key,0.8
TX_COUNTY,Burleson County,Burleson County,416,normalized_key,0.8
GPE,Newton,Newton,403,normalized_key,0.8
GPE,Woodville,Woodville,400,normalized_key,0.8
TX_COUNTY,Colorado County,Colorado County,399,normalized_key,0.8
GPE,Wharton,Wharton,397,normalized_key,0.8
GPE,Rockport,Rockport,393,normalized_key,0.8
TX_COUNTY,Hays County,Hays County,390,normalized_key,0.8
TX_COUNTY,Robertson County,Robertson County,385,normalized_key,0.8
GPE,Columbus,Columbus,383,normalized_key,0.8
TX_COUNTY,Montgomery County,MONTGOMERY COUNTY,374,normalized_key,0.8
GPE,Woodsboro,Woodsboro,373,normalized_key,0.8
ORG,Texas - GLO Grantee,Texas - GLO Grantee,371,normalized_key,0.8
TX_COUNTY,Brooks County,Brooks County,367,normalized_key,0.8
TX_COUNTY,Galveston County,GALVESTON COUNTY,367,normalized_key,0.8
ORG,HGAC-GLO#13-465-000-7974,HGAC-GLO#13-465-000-7974,359,normalized_key,0.8
ORG,HGAC-GLO#15-081-000-8748,HGAC-GLO#15-081-000-8748,358,normalized_key,0.8
GPE,Angleton,Angleton,355,normalized_key,0.8
GPE,Groveton,Groveton,355,normalized_key,0.8
GPE,s.f.,s.f.,353,normalized_key,0.8
GPE,Approx,Approx,352,normalized_key,0.8
TX_COUNTY,Angelina County,Angelina County,339,normalized_key,0.8
GPE,League City,League City,336,normalized_key,0.8
GPE,the City of West Orange,the City of West Orange,336,normalized_key,0.8
GPE,Trinity,Trinity,335,normalized_key,0.8
GPE,Jackson,Jackson,331,normalized_key,0.8
GPE,Karnes County,Karnes County,331,normalized_key,0.8
GPE,City,City,327,normalized_key,0.8
ORG,Texas GLO,the Texas General Land Office,326,seed,0.99
GPE,South Street,South Street,323,normalized_key,0.8
GPE,the City of Orange,the City of Orange,322,normalized_key,0.8
TX_COUNTY,County of Harris,County of Harris,322,normalized_key,0.8
GPE,San Augustine,San Augustine,320,normalized_key,0.8
TX_COUNTY,Caldwell County,Caldwell County,318,normalized_key,0.8
GPE,Baytown,Baytown,315,normalized_key,0.8
TX_COUNTY,Lee County,Lee County,310,normalized_key,0.8
GPE,the City of Orange,The City of Orange,304,normalized_key,0.8
GPE,South Houston,South Houston,303,normalized_key,0.8
GPE,East Bernard City,East Bernard City,301,normalized_key,0.8
GPE,West Street,West Street,296,normalized_key,0.8
ORG,Texas - GLO LOCCS Authorized,Texas - GLO LOCCS Authorized,288,normalized_key,0.8
GPE,La Marque,La Marque,288,normalized_key,0.8
ORG,HGAC-GLO#10-5052-000-5028,HGAC-GLO#10-5052-000-5028,287,normalized_key,0.8
GPE,Green Avenue,Green Avenue,282,normalized_key,0.8
GPE,the City of Dickinson,the City of Dickinson,281,normalized_key,0.8
GPE,the City of West Orange,The City of West Orange,281,normalized_key,0.8
GPE,Freeport,Freeport,280,normalized_key,0.8
GPE,Nacogdoches,Nacogdoches,275,normalized_key,0.8
GPE,Goliad,Goliad,271,normalized_key,0.8
GPE,Bayou Drive,Bayou Drive,269,normalized_key,0.8
GPE,New Summerfield,New Summerfield,269,normalized_key,0.8
GPE,the City of Yoakum,the City of Yoakum,269,normalized_key,0.8
GPE,the City of Texas City,the City of Texas City,267,normalized_key,0.8
GPE,West Columbia,West Columbia,267,normalized_key,0.8
ORG,Council of Government,Council of Government,266,normalized_key,0.8
ORG,Southeast Texas Regional Planning Commission,Southeast Texas Regional Planning Commission,265,normalized_key,0.8
GPE,Hwy,Hwy,263,normalized_key,0.8
TX_COUNTY,Coryell County,Coryell County,260,normalized_key,0.8
ORG,HGAC-GLO#12-468-000-6624,HGAC-GLO#12-468-000-6624,257,normalized_key,0.8
ORG,Brazos Valley Council of Governments,Brazos Valley Council of Governments,255,normalized_key,0.8
TX_COUNTY,Hays County,HAYS COUNTY,252,normalized_key,0.8
GPE,Cloverleaf,Cloverleaf,249,normalized_key,0.8
GPE,the City of Port Arthur,the City of Port Arthur,245,normalized_key,0.8
TX_COUNTY,Fort Bend County,FORT BEND COUNTY,244,normalized_key,0.8
ORG,The Council of Governments,Council of Governments,243,normalized_key,0.8
GPE,Brazoria,Brazoria,240,normalized_key,0.8
GPE,Crockett,Crockett,240,normalized_key,0.8
GPE,North John Street,North John Street,240,normalized_key,0.8
TX_COUNTY,Bee County,Bee County,237,normalized_key,0.8
GPE,the City of Vidor,The City of Vidor,236,normalized_key,0.8
ORG,Central Texas Council of Governments,Central Texas Council of Governments,235,normalized_key,0.8
ORG,Golden Crescent Regional Planning Commission,Golden Crescent Regional Planning Commission,235,normalized_key,0.8
ORG,the Alamo Area Council of Governments,the Alamo Area Council of Governments,233,normalized_key,0.8
ORG,Capital Area Council of Governments,Capital Area Council of Governments,233,normalized_key,0.8
GPE,Seabrook,Seabrook,232,normalized_key,0.8
GPE,Lumberton,Lumberton,230,normalized_key,0.8
GPE,the City of Silsbee,the City of Silsbee,230,normalized_key,0.8
GPE,KINGSVILLE,Kingsville,229,normalized_key,0.8
GPE,the City of Jasper,the City of Jasper,229,normalized_key,0.8
GPE,North,North,227,normalized_key,0.8
GPE,Channelview,Channelview,225,normalized_key,0.8
GPE,the City of Victoria,the City of Victoria,223,normalized_key,0.8
ORG,Deep East Texas Council of Governments,Deep East Texas Council of Governments,222,normalized_key,0.8
ORG,Golden Crescent Regional Planning Commission,the Golden Crescent Regional Planning Commission,221,normalized_key,0.8
GPE,South Broadway,South Broadway,221,normalized_key,0.8
GPE,Rio Grande,Rio Grande,220,normalized_key,0.8
TX_COUNTY,Travis County,Travis County,220,normalized_key,0.8
TX_COUNTY,Harrison County,Harrison County,218,normalized_key,0.8
GPE,Vidor,Vidor,216,normalized_key,0.8
GPE,Robstown,Robstown,214,normalized_key,0.8
GPE,San Jacinto,San Jacinto,212,normalized_key,0.8
GPE,Cuero,Cuero,211,normalized_key,0.8
GPE,Shepherd,Shepherd,211,normalized_key,0.8
ORG,the Coastal Bend Council of Governments,the Coastal Bend Council of Governments,210,normalized_key,0.8
