category,year,quarter,context_label,n_mentions,sum_amount_usd
Hurricane_Ike,2009,3,drawdown,77,716995819.37
Hurricane_Ike,2009,3,expended,60,28156818.49
Hurricane_Ike,2009,3,budget,47,508431045.2
Hurricane_Ike,2009,3,unknown,33,6019307967.31
Hurricane_Ike,2009,3,obligated,2,3057991440.0
Hurricane_Ike,2009,4,drawdown,1582,800368683.66
Hurricane_Ike,2009,4,expended,1370,799209902.85
Hurricane_Ike,2009,4,budget,1061,2633548856.35
Hurricane_Ike,2009,4,unknown,153,7053936018.14
Hurricane_Ike,2009,4,obligated,49,3057991440.0
Hurricane_Ike,2010,1,drawdown,1924,955819861.58
Hurricane_Ike,2010,1,expended,1735,195032169.61
Hurricane_Ike,2010,1,budget,1336,2733122125.84
Hurricane_Ike,2010,1,unknown,1052,6451266717.2
Hurricane_Ike,2010,1,obligated,46,3057991440.0
Hurricane_Ike,2010,2,expended,2212,314387204.29
Hurricane_Ike,2010,2,budget,1711,2075506590.63
Hurricane_Ike,2010,2,obligated,1513,3063448821.79
Hurricane_Ike,2010,2,unknown,1412,36497633939.49
Hurricane_Ike,2010,2,drawdown,1006,1118964328.63
Hurricane_Ike,2010,3,expended,2448,542158055.98
Hurricane_Ike,2010,3,budget,1979,2263879411.23
Hurricane_Ike,2010,3,obligated,1718,3066921422.91
Hurricane_Ike,2010,3,unknown,1697,32855610396.48
Hurricane_Ike,2010,3,drawdown,1158,2321373002.87
Hurricane_Ike,2010,4,unknown,2399,24012567019069.3
Hurricane_Ike,2010,4,budget,1984,2622176464.34
Hurricane_Ike,2010,4,expended,1920,485235337.5
Hurricane_Ike,2010,4,obligated,1743,3252282973.52
Hurricane_Ike,2010,4,drawdown,1143,992901781.73
Hurricane_Ike,2011,1,unknown,2431,40387962134.62
Hurricane_Ike,2011,1,budget,1984,2562401649.26
Hurricane_Ike,2011,1,expended,1921,490831869.98
Hurricane_Ike,2011,1,obligated,1692,3290515748.62
Hurricane_Ike,2011,1,drawdown,1140,2557443910.6
Hurricane_Ike,2011,2,unknown,2420,397597246126775.56
Hurricane_Ike,2011,2,expended,2021,558751083.91
Hurricane_Ike,2011,2,budget,2015,2832297993.95
