topic_index,label,size,top_terms,representative_texts
18,street / avenue / road,3695,"[""street"", ""avenue"", ""road"", ""drive"", ""south"", ""end"", ""construction"", ""north"", ""ave"", ""place"", ""west"", ""city"", ""shall place"", ""street street"", ""east""]","[""Construction shall take place on Hill Avenue from 20th Street to 200 L.F. north of 19th Street, on Avenue B from Salvato Street to 200 L.F. north of Rose Street, on 23rd/J O Williams Street from Highway 3 to Avenue C/MLK, on 26th Street from Avenue D to Avenue C/MLK, on 27th Street from Avenue C/MLK to Avenue B, on 28th Street from Avenue D to Avenue C/MLK,"", ""Construction shall take place along the following roadways in Cloverleaf, Texas: on Hollywood Street from IH-10 to South intersection of Garber Lane, on Hollywood Street from North intersection of Bandera Street to 200 feet North of Alderson Street, on Beacon Street from IH-10 to South intersection of Garber Lane, on Beacon Street from North intersection of"", ""Construction shall take place along the following roadways in Cloverleaf, Texas: on Hollywood Street from IH-10 to South intersection of Garber Lane, on Hollywood Street from North intersection of Bandera Street to 200 feet North of Alderson Street, on Beacon Street from IH-10 to South intersection of Garber Lane, on Beacon Street from North intersection of"", ""Construction shall take place along the following roadways in Cloverleaf, Texas: on Hollywood Street from IH-10 to South intersection of Garber Lane, on Hollywood Street from North intersection of Bandera Street to 200 feet North of Alderson Street, on Beacon Street from IH-10 to South intersection of Garber Lane, on Beacon Street from North intersection of"", ""Construction shall take place on Hill Avenue from 20th Street to 19th Street, on Avenue B from 21st Street to 19th Street, on 23rd Street from Highway 3 to Avenue C, on 26th Street from Avenue D to Avenue C, on 27th Street from Avenue C to Avenue B, on 28th Street from Avenue D to Avenue C, on Avenue C from Salvato Street to 24th Street, on Avenue B from Sal""]"
3,floodplain / flood / program,3591,"[""floodplain"", ""flood"", ""program"", ""flood risk"", ""affected hurricane"", ""relocate outside"", ""agree relocate"", ""agree"", ""outside floodplain"", ""area agree"", ""located floodplain"", ""homeowners located"", ""location reduced"", ""assistance provided"", ""reduced flood""]","[""Subrecipient will provide a Buyout program for approximately ten (10) residential dwellings affected by Hurricane Harvey. Assistance will be provided to homeowners who are located in a floodplain or reside in a repetitive flood area and who agree to relocate to outside the floodplain or a location of reduced flood risk. Environmental Assessment: UNDERWAY"", ""Subrecipient will provide a Buyout program for approximately four (4) residential dwellings affected by Hurricane Harvey. Assistance will be provided to homeowners who are located in a floodplain or reside in a repetitive flood area and who agree to relocate to outside the floodplain or a location of reduced flood risk. Environmental Assessment: UNDERWAY"", ""Subrecipient will provide a Buyout program for approximately four (4) residential dwellings affected by Hurricane Harvey. Assistance will be provided to homeowners who are located in a floodplain or reside in a repetitive flood area and who agree to relocate to outside the floodplain or a location of reduced flood risk. Environmental Assessment: UNDERWAY"", ""Subrecipient will provide a Buyout program for approximately five (5) residential dwellings affected by Hurricane Harvey. Assistance will be provided to homeowners who are located in a floodplain or reside in a repetitive flood area and who agree to relocate to outside the floodplain or a location of reduced flood risk. # of Properties 5"", ""Subrecipient will provide a Buyout program for approximately five (5) residential dwellings affected by Hurricane Harvey. Assistance will be provided to homeowners who are located in a floodplain or reside in a repetitive flood area and who agree to relocate to outside the floodplain or a location of reduced flood risk. # of Properties 5""]"
4,shall / drainage / ditch,3516,"[""shall"", ""drainage"", ""ditch"", ""road"", ""street"", ""feet"", ""contractor shall"", ""contractor"", ""improvements"", ""existing"", ""approximately"", ""culverts"", ""construction"", ""concrete"", ""linear""]","[""Contractor shall install new storm drain culverts ranging from fifteen inches to forty-two inches (15 in. to 42 in.), ditch grading, with related end safety treatments, erosion control, trench protection, pavement repair, pollution prevention, traffic control, water line adjustments and well-pointing. Proposed improvements will significantly increase the cap"", ""Contractor shall reconstruct its open ditch drainage system by excavating and regrading roadside ditches and replacing driveway and sidewalk culverts ranging in size from eighteen to twenty-four inches (18 in. - 24 in.), with associated driveway replacement, sediment removal, sidewalk crossings and appurtenances. Proposed improvements will enable proper conv"", ""Contractor shall reconstruct its open ditch drainage system by excavating and regrading roadside ditches and replacing driveway and sidewalk culverts ranging in size from eighteen to twenty-four inches (18 in. - 24 in.), with associated driveway replacement, sediment removal, sidewalk crossings and appurtenances. Proposed improvements will enable proper conv"", ""Contractor shall reconstruct its open ditch drainage system by excavating and regrading roadside ditches and replacing driveway and sidewalk culverts ranging in size from eighteen to twenty-four inches (18 in. - 24 in.), with associated driveway replacement, sediment removal, sidewalk crossings and appurtenances. Proposed improvements will enable proper conv"", ""Contractor shall reconstruct its open ditch drainage system by excavating and regrading roadside ditches and replacing driveway and sidewalk culverts ranging in size from eighteen to twenty-four inches (18 in. - 24 in.), with associated driveway replacement, sediment removal, sidewalk crossings and appurtenances. Proposed improvements will enable proper conv""]"
2,county / street / road,3389,"[""county"", ""street"", ""road"", ""texas"", ""construction"", ""place"", ""county texas"", ""shall place"", ""shall"", ""project"", ""construction shall"", ""period"", ""reporting"", ""galveston"", ""reporting period""]","[""Construction shall take place at various locations throughout Matagorda County, Texas: on alley between Rorem Street and Henderson Street from 3rd Street to 4th Street, on 12th Street from Perryman Avenue to alley between Rorem Avenue and Henderson Avenue, on easement between Craymer Street and Mertie Street from 3rd Street to 4th Street, on easement between"", ""Construction shall take place at various locations throughout Matagorda County, Texas: on alley between Rorem Street and Henderson Street from 3rd Street to 4th Street, on 12th Street from Perryman Avenue to alley between Rorem Avenue and Henderson Avenue, on easement between Craymer Street and Mertie Street from 3rd Street to 4th Street, on easement between"", ""Construction shall take place at various locations throughout Trinity County, Texas in Precincts 1, 2, 3, and 4: Construction shall take place on VB Woods Street from US 287 to Piney Creek Road, on Piney Creek Road from VB Woods to Sulfer Creek, on Sunny Sailor Road from Hamilton Road to end of pavement, on Chita Carlisle Road from FM 355 to FM 356, on Jungl"", ""Construction shall take place at various locations throughout Trinity County, Texas in Precincts 1, 2, 3, and 4: Construction shall take place on VB Woods Street from US 287 to Piney Creek Road, on Piney Creek Road from VB Woods to Sulfer Creek, on Sunny Sailor Road from Hamilton Road to end of pavement, on Chita Carlisle Road from FM 355 to FM 356, on Jungl"", ""Construction shall take place at various locations throughout Trinity County, Texas in Precincts 1, 2, 3, and 4: Construction shall take place on VB Woods Street from US 287 to Piney Creek Road, on Piney Creek Road from VB Woods to Sulfer Creek, on Sunny Sailor Road from Hamilton Road to end of pavement, on Chita Carlisle Road from FM 355 to FM 356, on Jungl""]"
24,storm / street / shall,2807,"[""storm"", ""street"", ""shall"", ""storm sewer"", ""contractor shall"", ""contractor"", ""feet"", ""drainage"", ""sewer"", ""concrete"", ""improvements"", ""linear"", ""pipe"", ""linear feet"", ""approximately""]","[""Contractor shall improve approximately three thousand eight hundred-fifty linear feet (3,850 l.f.) of the existing storm sewer system, which consists of open ditches, and street and driveway culverts, with new Reinforced Concrete Pipe (RCP) ranging in size from eighteen-inches to forty-two -inches (18 in. \u201342in.), Reinforced Concrete Arch Pipe (RCAP), inlets"", ""Contractor shall improve approximately three thousand eight hundred-fifty linear feet (3,850 l.f.) of the existing storm sewer system, which consists of open ditches, and street and driveway culverts, with new Reinforced Concrete Pipe (RCP) ranging in size from eighteen-inches to forty-two -inches (18 in. \u201342in.), Reinforced Concrete Arch Pipe (RCAP), inlets"", ""Contractor shall improve approximately three thousand eight hundred-fifty linear feet (3,850 l.f.) of the existing storm sewer system, which consists of open ditches, and street and driveway culverts, with new Reinforced Concrete Pipe (RCP) ranging in size from eighteen-inches to forty-two -inches (18 in. \u201342in.), Reinforced Concrete Arch Pipe (RCAP), inlets"", ""Contractor shall improve approximately three thousand eight hundred-fifty linear feet (3,850 l.f.) of the existing storm sewer system, which consists of open ditches, and street and driveway culverts, with new Reinforced Concrete Pipe (RCP) ranging in size from eighteen-inches to forty-two -inches (18 in. \u201342in.), Reinforced Concrete Arch Pipe (RCAP), inlets"", ""Contractor shall improve approximately three thousand eight hundred-fifty linear feet (3,850 l.f.) of the existing storm sewer system, which consists of open ditches, and street and driveway culverts, with new Reinforced Concrete Pipe (RCP) ranging in size from eighteen-inches to forty-two -inches (18 in. \u201342in.), Reinforced Concrete Arch Pipe (RCAP), inlets""]"
10,water / generator / plant,2683,"[""water"", ""generator"", ""plant"", ""shall"", ""contractor shall"", ""contractor"", ""water plant"", ""purchase install"", ""shall purchase"", ""purchase"", ""transfer"", ""kilowatt"", ""transfer switch"", ""switch"", ""plant located""]","[""Contractor shall purchase and install one (1) three hundred kilowatt (300 kW) permanently-affixed, natural gas-fueled generator with automatic transfer switch and associated appurtenances. Contractor shall construct a concrete pad for generator mounting and perform site work associated with construction. Construction shall take place behind the City Hall at"", ""Contractor shall purchase and install one (1) three hundred kilowatt (300 kW) permanently-affixed, natural gas-fueled generator with automatic transfer switch and associated appurtenances. Contractor shall construct a concrete pad for generator mounting and perform site work associated with construction. Construction shall take place behind the City Hall at"", ""Contractor shall purchase and install one (1) three hundred kilowatt (300 kW) permanently-affixed, natural gas-fueled generator with automatic transfer switch and associated appurtenances. Contractor shall construct a concrete pad for generator mounting and perform site work associated with construction. Construction shall take place behind the City Hall at"", ""Contractor shall purchase and install one (1) three hundred kilowatt (300 kW) permanently-affixed, natural gas-fueled generator with automatic transfer switch and associated appurtenances. Contractor shall construct a concrete pad for generator mounting and perform site work associated with construction. Construction shall take place behind the City Hall at"", ""Contractor shall purchase and install one (1) three hundred kilowatt (300 kW) permanently-affixed, natural gas-fueled generator with automatic transfer switch and associated appurtenances. Contractor shall construct a concrete pad for generator mounting and perform site work associated with construction. Construction shall take place behind the City Hall at""]"
37,complete associated / ditches / complete,2631,"[""complete associated"", ""ditches"", ""complete"", ""appurtenances activities"", ""associated"", ""associated appurtenances"", ""national objective"", ""objective"", ""appurtenances"", ""national"", ""roadside"", ""activities meet"", ""repair"", ""meet"", ""low""]","[""The City of Brookshire shall repair and reconstruct the driving surface, sub-grade, and road base by milling, applying asphalt, and striping of several streets with incidental repairs to roadside ditches located city-wide and complete all associated appurtenances. These activities will meet low to moderate income national objective. # of Linear feet of Publi"", ""The City of Brookshire shall repair and reconstruct the driving surface, sub-grade, and road base by milling, applying asphalt, and striping of several streets with incidental repairs to roadside ditches located city-wide and complete all associated appurtenances. These activities will meet low to moderate income national objective. # of Linear feet of Publi"", ""The City of Brookshire shall repair and reconstruct the driving surface, sub-grade, and road base by milling, applying asphalt, and striping of several streets with incidental repairs to roadside ditches located city-wide and complete all associated appurtenances. These activities will meet low to moderate income national objective. # of Linear feet of Publi"", ""The City of Brookshire shall repair and reconstruct the driving surface, sub-grade, and road base by milling, applying asphalt, and striping of several streets with incidental repairs to roadside ditches located city-wide and complete all associated appurtenances. These activities will meet low to moderate income national objective. # of Linear feet of Publi"", ""The City of Brookshire shall repair and reconstruct the driving surface, sub-grade, and road base by milling, applying asphalt, and striping of several streets with incidental repairs to roadside ditches located city-wide and complete all associated appurtenances. These activities will meet low to moderate income national objective.""]"
29,generator / contractor / contractor shall,2497,"[""generator"", ""contractor"", ""contractor shall"", ""shall"", ""kilowatt"", ""transfer"", ""switch"", ""transfer switch"", ""purchase install"", ""associated"", ""shall purchase"", ""purchase"", ""automatic"", ""automatic transfer"", ""generator automatic""]","[""Contractor shall purchase and install one (1) twenty kilowatt (20 kW) permanently-affixed, diesel-fueled generator with manual transfer switch and associated appurtenances. Contractor shall construct a concrete pad for generator mounting and perform site work associated with construction. Construction shall take place at the Police Station located at 810 U.S"", ""Contractor shall purchase and install one (1) twenty kilowatt (20 kW) permanently-affixed, diesel-fueled generator with manual transfer switch and associated appurtenances. Contractor shall construct a concrete pad for generator mounting and perform site work associated with construction. Construction shall take place at the Police Station located at 810 U.S"", ""Contractor shall purchase and install one (1) twenty kilowatt (20 kW) permanently-affixed, diesel-fueled generator with manual transfer switch and associated appurtenances. Contractor shall construct a concrete pad for generator mounting and perform site work associated with construction. Construction shall take place at the Police Station located at 810 U.S"", ""Contractor shall purchase and install one (1) twenty kilowatt (20 kW) permanently-affixed, diesel-fueled generator with manual transfer switch and associated appurtenances. Contractor shall construct a concrete pad for generator mounting and perform site work associated with construction. Construction shall take place at the Police Station located at 810 U.S"", ""Contractor shall purchase and install one (1) twenty kilowatt (20 kW) permanently-affixed, diesel-fueled generator with manual transfer switch and associated appurtenances. Contractor shall construct a concrete pad for generator mounting and perform site work associated with construction. Construction shall take place at the Police Station located at 810 U.S""]"
17,street / road / shall,2415,"[""street"", ""road"", ""shall"", ""base"", ""hmac"", ""thousand"", ""approximately"", ""surface"", ""yards"", ""contractor shall"", ""feet"", ""contractor"", ""square yards"", ""construction"", ""roadway""]","[""Contractor shall re-construct streets by installing approximately ten thousand one hundred square yards (10,100 s.y.) of base material, approximately forty seven thousand square yards (47,000 s.y.) of Hot Mix Asphaltic Concrete (HMAC) with an underseal, remove and replace driveways, and perform other site work associated with construction. Proposed improveme"", ""Contractor shall re-construct streets by installing approximately ten thousand one hundred square yards (10,100 s.y.) of base material, approximately forty seven thousand square yards (47,000 s.y.) of Hot Mix Asphaltic Concrete (HMAC) with an underseal, remove and replace driveways, and perform other site work associated with construction. Proposed improveme"", ""Contractor shall re-construct streets by installing approximately ten thousand one hundred square yards (10,100 s.y.) of base material, approximately forty seven thousand square yards (47,000 s.y.) of Hot Mix Asphaltic Concrete (HMAC) with an underseal, remove and replace driveways, and perform other site work associated with construction. Proposed improveme"", ""Contractor shall re-construct streets by installing approximately ten thousand one hundred square yards (10,100 s.y.) of base material, approximately forty seven thousand square yards (47,000 s.y.) of Hot Mix Asphaltic Concrete (HMAC) with an underseal, remove and replace driveways, and perform other site work associated with construction. Proposed improveme"", ""Contractor shall re-construct streets by installing approximately ten thousand one hundred square yards (10,100 s.y.) of base material, approximately forty seven thousand square yards (47,000 s.y.) of Hot Mix Asphaltic Concrete (HMAC) with an underseal, remove and replace driveways, and perform other site work associated with construction. Proposed improveme""]"
6,persons / subrecipient / shall benefit,2296,"[""persons"", ""subrecipient"", ""shall benefit"", ""percent low"", ""persons persons"", ""subrecipient shall"", ""benefit"", ""hundredths"", ""hundredths percent"", ""percent"", ""facilitate proper"", ""facilitate"", ""infrastructure improvements"", ""activities shall"", ""proper""]","[""Subrecipient will conduct drainage Infrastructure improvements to facilitate proper stormwater conveyance and reduce the impact of future flooding. Subrecipient shall replace storm sewer culverts; regrade roadside ditches; install outfall ditches, manholes, and junction boxes with associated pavement repair; and complete associated appurtenances. These activ"", ""Subrecipient will conduct drainage Infrastructure improvements to facilitate proper stormwater conveyance and reduce the impact of future flooding. Subrecipient shall replace storm sewer culverts; regrade roadside ditches; install outfall ditches, manholes, and junction boxes with associated pavement repair; and complete associated appurtenances. These activ"", ""Subrecipient will conduct drainage Infrastructure improvements to facilitate proper stormwater conveyance and reduce the impact of future flooding. Subrecipient shall replace storm sewer culverts, regrade roadside ditches, install area inlets/outfalls, grade ditches with associated pavement repair, and complete associated appurtenances. These activities shal"", ""Subrecipient will conduct drainage Infrastructure improvements to facilitate proper stormwater conveyance and reduce the impact of future flooding. Subrecipient shall replace storm sewer culverts, regrade roadside ditches, install area inlets/outfalls, grade ditches with associated pavement repair, and complete associated appurtenances. These activities shal"", ""Subrecipient will conduct drainage Infrastructure improvements to facilitate proper stormwater conveyance and reduce the impact of future flooding. Subrecipient shall replace storm sewer culverts, regrade roadside ditches, install area inlets/outfalls, grade ditches with associated pavement repair, and complete associated appurtenances. These activities shal""]"
