disaster_type,program_type,grantee,total_obligated,total_disbursed,total_expended,completion_rate,duration_quarters,entity_mentions
"2017 Hurricanes Harvey, Irma and Maria",Housing,Texas - GLO,3672847375.48,3429649012.06,3434018383.94,0.9349744307007072,25,13713
2015-2018 Mitigation,Infrastructure,Texas - GLO,1959546866.06,323919542.46000004,289285740.57,0.1476288960374078,14,0
2008 Hurricane Ike and Other Events,Housing,Texas - GLO,1574377508.47,1525914743.08,1520661144.96,0.965880887385007,62,34871
2008 Hurricane Ike and Other Events,Infrastructure,Texas - GLO,1246638346.66,1233584539.99,1234111886.0299995,0.989951808667236,62,34871
"2017 Hurricanes Harvey, Irma and Maria",Infrastructure,Texas - GLO,959341868.83,430574194.73,419896925.4,0.4376926922955009,24,13713
2015-2018 Mitigation,Housing,Texas - GLO,500000000.0,315589835.5,282031910.68,0.56406382136,17,0
2019 Disasters,Housing,Texas - GLO,141338336.7,106348484.58,105552357.11,0.7468062775780495,15,963
2016 Louisiana Floods and Other Events,Infrastructure,Texas - GLO,136281269.36,122938743.91,120943323.44,0.8874537492053779,27,0
2016 Louisiana Floods and Other Events,Housing,Texas - GLO,75181949.25,62298969.68000001,62217323.44,0.8275566683315277,26,0
2015 Hurricane Joaquin and Patricia and Other Events,Infrastructure,"Houston, TX",66623793.93,49891939.3,47714380.51,0.7161762742021617,29,0
2015 Hurricane Joaquin and Patricia and Other Events,Infrastructure,Texas - GLO,45285532.08,44011572.4,43686647.56999999,0.964693259931771,27,114
2018 Disasters,Housing,Texas - GLO,45279350.0,34420724.13,34175633.19,0.7547730519541468,15,0
2019 Disasters,Infrastructure,Texas - GLO,44725805.59,4025056.97,3203073.52,0.0716157814878164,7,963
2011 Multiple Disasters,Infrastructure,Texas - GLO,24662694.17000001,23853730.81,23853809.99,0.9672021161019811,44,0
2015 Hurricane Joaquin and Patricia and Other Events,Infrastructure,"San Marcos, TX",22722897.17,22722897.17,22722597.17,0.999986797458187,28,0
2015-2018 Mitigation,Infrastructure,"San Marcos, TX",21012687.0,16118296.1,14954192.5,0.7116744517252839,12,0
2015 Hurricane Joaquin and Patricia and Other Events,Housing,Texas - GLO,16112738.24,14928806.240000002,14928806.240000002,0.9265219863709524,25,114
2018 Disasters,Infrastructure,Texas - GLO,12707897.36,1065277.93,672312.7899999999,0.0529051164763263,6,0
2015-2018 Mitigation,Infrastructure,"Houston, TX",6922182.0,2101019.7199999997,2020186.15,0.2918423916042658,6,0
2015 Hurricane Joaquin and Patricia and Other Events,Housing,"San Marcos, TX",6314902.21,4655889.21,4655889.21,0.7372860347112169,30,0
2015 Hurricane Joaquin and Patricia and Other Events,Housing,"Houston, TX",6300000.0,5600418.539999999,5572223.8999999985,0.8844799841269839,30,0
2011 Multiple Disasters,Housing,Texas - GLO,4692816.029999999,4692816.03,4692816.03,1.0000000000000002,14,0
