entity_text,mentions
0.00,352381
$0.00 $,184482
$0.00,57180
$ 0.00 $,37736
# Activity #,8847
0 0/0 #,3577
1/1 #,3295
$0.00 $0.00 $,2761
0/1 #,2492
2,2200
1,1568
# of reduced,1498
3,1043
$0.00 Administration,1034
"300,000.00",1031
100.00,1031
"1,000,000.00",901
$0.00 Planning,871
#Additional Attic/Roof Insulation,830
$0.00 $ 0.00 $,758
"100,000.00",736
"2,000,000.00",688
"5,000.00",655
4,589
5,564
# of Persons,545
10 #,516
"10,000,000.00",505
1 #,498
"15,000.00",496
"$ 300,000.00 $",478
$0.00 Section,459
"35,000.00",455
10,450
"4,000.00",390
"$ 100,000.00 $",373
8,367
"500,000.00",327
"$1,000,000.00",323
18,318
1a) $0.00 $0.00 $,317
1 100.00 1 #,314
3 0.00 #,313
"2,000.00",312
"1,000.00",299
$ 0.00,299
"7,000.00",298
"200,000.00",295
100.00 5 #,295
6,293
3/3 #,290
"20,000.00",285
"100,000,000.00",278
"3,000.00",277
17,277
1 0.00 #,273
"90,000.00",269
"250,000.00",264
0/999 #,258
"70,000.00",256
13,256
"Up to $50,000",250
12,249
"140,000.00",243
"600,000.00",227
14,216
"$100,000.00 $",214
4/4 #,211
9,210
$895.00 $,210
"$300,000.00 $",204
"20,000,000.00",201
"$100,000.00",197
# of Section,195
"an additional $50,000",193
0.01,193
"50,000.00",191
41.79 None,191
21,191
2/1 #,191
6 0.00 #,190
"150,000.00",190
"3,500.00",182
$0.00 01/31/2028,181
100.00 11 #,179
0 $0.00,177
Four Hundred Linear Feet,176
895.00,173
"10,000.00",172
$0.00 Urgent,172
"$1,000,000.00 $0.00 $",169
"$ 1,000,000.00 $",165
"9,000.00",159
$.00 $.00 $,159
"$ 100,000.00 $ 100,000.00 $",158
"15,000,000.00",155
14.12,155
15,154
1/3 #,153
"6,000.00",152
