entity_text,mentions
Harris County,16900
Galveston County,6671
Newton County,5310
Brazoria County,3623
Jefferson County,3386
Polk County,3237
Jasper County,3196
Liberty County,3163
Tyler County,3077
Willacy County,2906
Bastrop County,2834
Montgomery County,2787
Chambers County,2714
Matagorda County,2457
Orange County,2410
Refugio County,2292
Austin County,2183
Hidalgo County,2034
Sabine County,1927
Cameron County,1638
Walker County,1620
Victoria County,1599
Waller County,1550
Hardin County,1540
Gonzales County,1457
Grimes County,1402
CALHOUN COUNTY,1029
Starr County,1006
Milam County,997
Nueces County,891
Kleberg County,862
Wharton County,709
Trinity County,692
Calhoun County,613
Nacogdoches County,592
Aransas County,579
KLEBERG COUNTY,564
HARRIS COUNTY,558
Houston County,529
Madison County,516
Goliad County,507
Fayette County,469
Cherokee County,468
Leon County,436
Burleson County,414
Colorado County,399
Hays County,390
Robertson County,380
MONTGOMERY COUNTY,374
GALVESTON COUNTY,367
Brooks County,366
Angelina County,338
Caldwell County,318
Lee County,310
Coryell County,260
HAYS COUNTY,252
Bee County,237
Travis County,220
Harrison County,217
Shelby County,204
NEWTON COUNTY,201
Anderson County,189
BRAZORIA COUNTY,155
Washington County,148
Jackson County,132
Eastland County,124
Rusk County,122
TRAVIS COUNTY,121
Lavaca County,120
Marion County,119
HIDALGO COUNTY,92
DeWitt County,89
DEWITT COUNTY,81
Panola County,80
Upshur County,76
Cass County,76
Kenedy County,65
Harris county,50
Wichita County,45
Brazos County,38
Cameron county,36
Cooke County,33
Guadalupe County,32
Matagorda county,30
Dallas County,30
Tarrant County,24
McLennan County,24
Duval County,24
BASTROP COUNTY,22
GUADALUPE COUNTY,20
CHAMBERS COUNTY,19
Limestone County,16
Tyler county,12
Falls County,12
COOKE COUNTY,12
TARRANT COUNTY,9
LIMESTONE COUNTY,9
DUVAL COUNTY,9
Stephens County,8
Liberty county,6
