Grantee,Disaster_Type,Program_Type,N_Quarters,Total_Obligated,Total_Disbursed,Total_Expended,Ratio_disbursed_to_obligated,Ratio_expended_to_obligated,Ratio_expended_to_disbursed
Alabama,2011 Multiple Disasters,Housing,28,10821700.34,10821700.34,10821700.34,1.0,1.0,1.0
Alabama,2011-2013 Hurricane Sandy and Other Events,Housing,29,12628817.310000002,12626579.739999998,12628817.309999999,0.9998228203049361,0.9999999999999997,1.0001772110932712
Alabama,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",Housing,8,280000000.0,229836195.70000002,217791193.91,0.8208435560714287,0.7778256925357143,0.947593103195451
Alaska,2018 Disasters,Housing,10,13435190.0,11208650.78,10751660.780000001,0.8342755688605817,0.8002611634074398,0.9592288127295908
Arkansas,2008 Hurricane Ike and Other Events,Housing,20,10362400.99,10362400.99,9855695.99,1.0,0.9511015834564804,0.9511015834564804
California,2015-2018 Mitigation,Housing,3,5850000.0,749.4499999999999,741.8299999999999,0.0001281111111111111,0.000126808547008547,0.9898325438655013
California,"2017 Hurricanes Harvey, Irma and Maria",Housing,20,111394928.19999999,66482505.480000004,68352919.78,0.5968180648281975,0.6136089037849033,1.0281339321750242
California,2018 Disasters,Housing,17,498737307.94,168083013.65,158877263.47,0.337017124995632,0.31855901080717536,0.9452309309543367
California,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",Housing,9,234434142.02,13384527.8,11285550.189999998,0.057092911828764865,0.04813953331523361,0.8431788075482197
"Chicago, IL",2011-2013 Hurricane Sandy and Other Events,Housing,9,3600437.5399999996,3600437.5399999996,3600437.5399999996,1.0,1.0,1.0
City of Birmingham,2011 Multiple Disasters,Housing,8,1867009.0,486831.42000000004,486831.42000000004,0.26075472587437987,0.26075472587437987,1.0
City of Birmingham,2011-2013 Hurricane Sandy and Other Events,Housing,23,5403983.48,3697710.7299999995,3677710.7299999995,0.6842564829602328,0.6805555093961907,0.9945912480828375
Colorado,2011-2013 Hurricane Sandy and Other Events,Housing,32,97417708.68,97069685.85999998,97417708.67999999,0.9964275199579656,0.9999999999999999,1.0035852884133358
Colorado,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",Housing,3,9400668.0,3014137.92,0.0,0.3206301850038742,0.0,0.0
"Columbia, SC",2015 Hurricane Joaquin and Patricia and Other Events,Housing,24,22379033.110000003,21588187.89,12872493.04,0.9646613320551988,0.5752032707010905,0.5962748288828238
Connecticut - DOH,2011-2013 Hurricane Sandy and Other Events,Housing,42,91820544.34,89826083.16999999,89826083.16999999,0.9782787045716612,0.9782787045716612,1.0
"Cook County, IL",2011-2013 Hurricane Sandy and Other Events,Housing,35,30500754.44,25880919.1,24230479.6,0.8485337354822493,0.7944223034766349,0.9362294865331888
"Dauphin County, PA",2011 Multiple Disasters,Housing,4,106000.0,106000.0,106000.0,1.0,1.0,1.0
Empire State Development Corporation (NYS),2001 World Trade Center,Housing,35,39342674.7,39342674.7,26006200.0,1.0,0.6610175896353075,0.6610175896353075
Florida,2015-2018 Mitigation,Housing,7,45554289.16,39982188.63,37683526.4,0.8776821978183186,0.827222355893743,0.9425078438983893
Florida,2016 Louisiana Floods and Other Events,Housing,22,71805267.21000001,67667863.79,67667864.29,0.9423802238922132,0.9423802308554907,1.0000000073890318
Florida,"2017 Hurricanes Harvey, Irma and Maria",Housing,26,676070414.85,646607221.4,631629071.0799999,0.9564199337778491,0.9342652144009876,0.9768357824900715
Florida,2018 Disasters,Housing,17,251497414.99999997,246602120.85000002,247319098.92000002,0.9805354096780678,0.9833862464152964,1.0029074286446875
Florida,2022 Disasters including Hurricanes Fiona and Ian,Housing,5,662962194.0,106058537.85000001,85064631.19000001,0.15997675102722375,0.128309927715124,0.8020535914827343
Georgia,"2017 Hurricanes Harvey, Irma and Maria",Housing,23,28051564.0,22535866.46,19020632.13,0.8033729049831233,0.678059595179791,0.8440160117100729
Georgia,2018 Disasters,Housing,14,13248383.0,2955434.1500000004,2950215.17,0.2230788580010104,0.22268492464325645,0.9982341071615484
"Houston, TX",2015 Hurricane Joaquin and Patricia and Other Events,Housing,30,6300000.0,5600418.539999999,5572223.8999999985,0.8889553238095237,0.8844799841269839,0.9949656191231735
Illinois,2008 Hurricane Ike and Other Events,Housing,24,38497020.92,38492389.03,37520422.980000004,0.9998796818587696,0.9746318567862836,0.974749136790588
Indiana - OCRA,2008 Hurricane Ike and Other Events,Housing,58,76449430.91,65167061.46,76449430.91,0.8524204913535308,1.0,1.1731299401450714
Iowa,2019 Disasters,Housing,15,36016556.07,23185495.54,22021215.31,0.6437454901278683,0.6114192391743578,0.94978411274448
Iowa,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",Housing,8,43436328.0,7858811.04,7552808.1899999995,0.18092715019556901,0.1738822901880656,0.9610624497214021
"Jefferson County, AL",2011 Multiple Disasters,Housing,11,197480.26,197480.26,197480.26,1.0,1.0,1.0
"Jefferson County, AL",2011-2013 Hurricane Sandy and Other Events,Housing,10,715994.1400000001,715994.14,715994.14,0.9999999999999999,0.9999999999999999,1.0
"Jefferson Parish, LA",2011-2013 Hurricane Sandy and Other Events,Housing,20,2889259.809999999,2889259.81,433068.28,1.0000000000000002,0.1498890056550505,0.14988900565505045
"Joplin, MO",2011 Multiple Disasters,Housing,46,23978863.5,22505643.59,23901895.03,0.9385617291661884,0.9967901535450169,1.0620400582821103
Kentucky,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",Housing,4,8938125.0,818248.0,548592.0,0.09154582197049158,0.061376631004824836,0.6704471016122251
"Lee County, FL",2022 Disasters including Hurricanes Fiona and Ian,Housing,5,225000000.0,18156316.9,14467523.409999998,0.08069474177777777,0.06430010404444443,0.7968313997647838
"Lexington County, SC",2015 Hurricane Joaquin and Patricia and Other Events,Housing,12,686575.5,686575.5,686575.5,1.0,1.0,1.0
Louisiana,"2005 Hurricanes Katrina, Rita, Wilma",Housing,74,1483386650.71,1406606688.6299999,1469059839.5300002,0.9482400882849723,0.990341822765398,1.0443998677134319
Louisiana,2008 Hurricane Ike and Other Events,Housing,59,169950547.27,166689676.34,169950547.27,0.9808128247753185,1.0,1.0195625248161664
Louisiana,2011-2013 Hurricane Sandy and Other Events,Housing,41,46460718.449999996,46446181.26,46460718.45,0.9996871079379531,1.0000000000000002,1.0003129899941317
Louisiana,2013 National Disaster Resilience,Housing,28,21981634.6,20944339.29,21330957.68,0.9528108200834162,0.9703990657728429,1.0184593261523696
Louisiana,2016 Louisiana Floods and Other Events,Housing,32,1356579847.2899997,1304925308.25,1315999523.28,0.9619229644733492,0.9700862989443151,1.0084864742525772
Louisiana,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",Housing,10,1967530444.5,846567303.33,750481461.87,0.4302689728113125,0.38143321439720673,0.8864994654505989
"Luzerne County, PA",2011 Multiple Disasters,Housing,17,829607.4099999999,829607.41,829607.41,1.0000000000000002,1.0000000000000002,1.0
Maryland,2011-2013 Hurricane Sandy and Other Events,Housing,18,6525315.05,6525315.050000001,6525315.050000001,1.0000000000000002,1.0000000000000002,1.0
"Minot, ND",2011 Multiple Disasters,Housing,41,22051973.78,22025639.1,22051973.78,0.9988057903449947,1.0,1.0011956374968478
"Minot, ND",2011-2013 Hurricane Sandy and Other Events,Housing,23,7693743.4,7693743.4,7693743.4,1.0,1.0,1.0
"Minot, ND",2013 National Disaster Resilience,Housing,32,35774045.080000006,35554638.72,35774045.080000006,0.9938668842310295,1.0,1.0061709629994522
Mississippi,"2005 Hurricanes Katrina, Rita, Wilma",Housing,72,750379989.84,749198605.1500001,749564117.23,0.9984256180788459,0.9989127207267694,1.0004878707428009
Mississippi,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",Housing,6,11847410.85,407999.98,348985.76,0.03443790252281156,0.029456711210449835,0.8553572968312401
Missouri,"2017 Hurricanes Harvey, Irma and Maria",Housing,15,40041231.6,20570712.450000003,20570712.45,0.5137382549941346,0.5137382549941346,0.9999999999999998
Missouri,2019 Disasters,Housing,8,12864970.229999999,1088124.68,975777.2699999999,0.08458042735789525,0.07584761196917282,0.8967513447080347
"Moore, OK",2011-2013 Hurricane Sandy and Other Events,Housing,24,16100489.450000001,15040178.810000002,15040178.809999999,0.9341441983305669,0.9341441983305667,0.9999999999999998
"Nashville-Davidson, TN",2010 Severe Storms and Flooding,Housing,48,15819786.25,15814790.309999999,15819786.25,0.9996841967444408,1.0,1.000315903018761
Nebraska,2019 Disasters,Housing,7,44193815.94,18992733.959999997,14429725.829999998,0.4297599914382953,0.3265100675983853,0.7597498001283013
New Jersey,2011-2013 Hurricane Sandy and Other Events,Housing,48,2317758578.13,2236653864.73,2262404526.7300005,0.9650072642745059,0.9761174214077724,1.0115130295331187
New Jersey,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",Housing,7,218045435.0,9648276.5,9059851.959999999,0.04424892683490485,0.0415502941393843,0.9390124712947435
"New Orleans, LA",2013 National Disaster Resilience,Housing,27,6163625.0,6057726.800000001,5799629.67,0.982818844430023,0.9409446015940295,0.9573937322495295
New York,2011 Multiple Disasters,Housing,18,119569.7,119569.7,119569.7,1.0,1.0,1.0
New York,2011-2013 Hurricane Sandy and Other Events,Housing,46,2247982193.08,2197184676.7,2243380904.67,0.9774030610489839,0.997953147305097,1.0210251912185113
New York,2013 National Disaster Resilience,Housing,25,33756981.839999996,33756981.84,33756981.839999996,1.0000000000000002,1.0,0.9999999999999998
New York,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",Housing,3,194225.05,194225.05,76714.6,1.0,0.3949778877647348,0.3949778877647348
"New York City, NY",2011-2013 Hurricane Sandy and Other Events,Housing,40,3005749798.9900007,2975371369.8700004,2987933072.6000004,0.9898932275965856,0.9940724519399495,1.004221894065798
"New York City, NY","2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",Housing,3,180723632.0,6944049.680000001,5551574.36,0.03842358413868088,0.03071858560257355,0.7994721546980638
North Carolina-NCORR,2015-2018 Mitigation,Housing,7,110355170.99999999,4144449.3400000003,4144449.3400000003,0.03755555179195002,0.03755555179195002,1.0
North Carolina-NCORR,2016 Louisiana Floods and Other Events,Housing,26,217456550.1,217456462.0,204681760.49,0.9999995948615944,0.941253599378242,0.941253980716379
North Carolina-NCORR,2018 Disasters,Housing,16,519499752.62,503086410.7,477281258.67999995,0.9684054865527416,0.9187324080000443,0.9487063226691127
Northern Mariana Islands,2018 Disasters,Housing,17,138423600.0,48126688.650000006,45521039.629999995,0.34767690372161975,0.3288531697629595,0.9458585435006859
Ohio,2019 Disasters,Housing,6,11600000.0,1150000.0,1150000.0,0.09913793103448276,0.09913793103448276,1.0
Oklahoma,2011-2013 Hurricane Sandy and Other Events,Housing,19,7862893.0600000005,7862893.0600000005,7862893.0600000005,1.0,1.0,1.0
Oregon,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",Housing,5,197102283.0,14033082.74,10107425.739999998,0.0711969568612252,0.051280104858044684,0.7202569761232661
Pennsylvania,2011 Multiple Disasters,Housing,31,7903262.51,7903262.51,7903262.51,1.0,1.0,1.0
Pennsylvania,2011-2013 Hurricane Sandy and Other Events,Housing,18,6550327.0,6550327.0,6550327.0,1.0,1.0,1.0
Puerto Rico,2008 Hurricane Ike and Other Events,Housing,42,6999789.91,6770390.449999999,6770390.45,0.9672276649800192,0.9672276649800193,1.0000000000000002
Puerto Rico,2015-2018 Mitigation,Housing,13,763007915.76,212445810.9,173671991.22,0.27843198807235403,0.22761492722786847,0.8174884243857783
Puerto Rico,"2017 Hurricanes Harvey, Irma and Maria",Housing,25,4845533260.48,2678008372.65,2578713257.57,0.5526756764816255,0.5321835841272405,0.9629220296343797
