Grantee,Disaster_Type,Program_Type,N_Quarters,Total_Obligated,Total_Disbursed,Total_Expended,Ratio_disbursed_to_obligated,Ratio_expended_to_obligated,Ratio_expended_to_disbursed
Alabama,2011 Multiple Disasters,Infrastructure,22,6702673.369999999,6702673.37,6702673.37,1.0000000000000002,1.0000000000000002,1.0
Alabama,2011-2013 Hurricane Sandy and Other Events,Infrastructure,11,24877000.65,24877000.65,24877000.65,1.0,1.0,1.0
Arkansas,2008 Hurricane Ike and Other Events,Infrastructure,39,62527251.660000004,62056719.64,61324354.99000001,0.9924747688806381,0.9807620415408485,0.9881984633695022
California,2013 National Disaster Resilience,Infrastructure,19,18119079.48,18119079.48,18119079.48,1.0,1.0,1.0
California,2015-2018 Mitigation,Infrastructure,18,71006535.46000001,10933804.319999998,10286083.26,0.1539830699972585,0.14486107783408814,0.9407597720753796
California,"2017 Hurricanes Harvey, Irma and Maria",Infrastructure,16,36154650.19,19005569.080000002,18493556.220000003,0.525674262650085,0.5115125197675161,0.9730598511496926
California,2018 Disasters,Infrastructure,14,381414495.98,19253616.66,14868984.07,0.05047950946523435,0.038983793816739665,0.77226966406217
California,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",Infrastructure,7,8365098.0,174019.77,117960.03,0.02080307606677172,0.014101452248377723,0.6778541886361533
"Chicago, IL",2011-2013 Hurricane Sandy and Other Events,Infrastructure,27,58721435.53999999,54082756.669999994,53767657.33,0.9210053564368295,0.9156393544462045,0.9941737559362468
City of Birmingham,2011 Multiple Disasters,Infrastructure,15,4200000.0,3051782.9399999995,3051782.940000001,0.7266149857142856,0.726614985714286,1.0000000000000004
City of Birmingham,2011-2013 Hurricane Sandy and Other Events,Infrastructure,19,9307489.469999999,8791548.169999998,8899266.72,0.9445670820619256,0.9561404016286255,1.0122525120623893
Colorado,2011-2013 Hurricane Sandy and Other Events,Infrastructure,37,136710434.8,136562035.38,136381938.62,0.9989144982223404,0.9975971389420232,0.9986812091698922
"Columbia, SC",2015 Hurricane Joaquin and Patricia and Other Events,Infrastructure,8,0.0,0.0,15550.0,,,
"Columbia, SC",2015-2018 Mitigation,Infrastructure,7,17250000.0,773413.9399999998,0.0,0.04483559072463767,0.0,0.0
Connecticut - DOH,2011-2013 Hurricane Sandy and Other Events,Infrastructure,33,29962642.96,29962642.96,29962642.96,1.0,1.0,1.0
Connecticut - DOH,2013 National Disaster Resilience,Infrastructure,22,9478155.899999999,9478155.9,9478185.9,1.0000000000000002,1.0000031651726684,1.0000031651726682
"Cook County, IL",2011-2013 Hurricane Sandy and Other Events,Infrastructure,28,40416550.47,38286930.61,32023719.09,0.9473082231107093,0.7923417193599996,0.8364138514053634
County Of Orange,2011 Multiple Disasters,Infrastructure,14,3455480.5199999996,3455480.5200000005,3455480.52,1.0000000000000002,1.0000000000000002,0.9999999999999999
"Dauphin County, PA",2011 Multiple Disasters,Infrastructure,22,3880057.2800000003,3776193.14,3467046.7800000003,0.9732312869360527,0.8935555662724649,0.9181327997433946
"Dauphin County, PA",2011-2013 Hurricane Sandy and Other Events,Infrastructure,13,6787347.11,6787347.109999999,6787346.61,0.9999999999999999,0.9999999263335156,0.9999999263335158
Empire State Development Corporation (NYS),2001 World Trade Center,Infrastructure,87,1816964724.53,1808973097.19,1527697094.29,0.9956016607080431,0.840796232125626,0.8445106766170679
Florida,2015-2018 Mitigation,Infrastructure,8,550574595.1400001,14814189.350000001,14304245.37,0.026906779718437697,0.025980576467322682,0.9655773280635161
Florida,2016 Louisiana Floods and Other Events,Infrastructure,21,42380727.22,40166947.0,36658722.33,0.9477644588657439,0.8649856841696734,0.9126589165464828
Florida,"2017 Hurricanes Harvey, Irma and Maria",Infrastructure,9,47813647.0,35022436.099999994,34633600.16,0.7324778237476843,0.7243455024461949,0.9888975187536998
Florida,2018 Disasters,Infrastructure,10,417132678.9,46586966.29,41788204.87,0.1116838086453744,0.10017964782859404,0.8969934768851848
Florida,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",Infrastructure,4,126982693.56,114828.45,5000.0,0.000904284251505052,3.937544447848299e-05,0.04354321598872057
Georgia,2015-2018 Mitigation,Infrastructure,15,21568800.0,16790708.73,16786813.73,0.7784720860687661,0.778291501149809,0.9997680264685289
Georgia,"2017 Hurricanes Harvey, Irma and Maria",Infrastructure,14,16500000.0,5319281.220000001,5240294.71,0.32238068000000003,0.3175936187878788,0.985150905407479
Georgia,2018 Disasters,Infrastructure,10,13945667.0,262287.13,156313.3,0.018807786676678855,0.011208736018148145,0.5959625239713439
"Hawaii County, HI",2015-2018 Mitigation,Infrastructure,3,1925924.0,25424.0,0.0,0.013200936277859355,0.0,0.0
"Houston, TX",2015 Hurricane Joaquin and Patricia and Other Events,Infrastructure,29,66623793.93,49891939.3,47714380.51,0.7488606750978524,0.7161762742021617,0.9563544969277231
