Grantee,Ratio_disbursed_to_obligated,Ratio_expended_to_disbursed,Timeliness,Duration_of_completion,Ratio_obligated_funds_fully_expended,Quarter_by_quarter_variance_expended,Duration_log,Spending_CV,Spending_Gini,N_Quarters,Progress_Rate,Spending_Acceleration,Time_to_50pct,Startup_Lag,Completion_Velocity,Government_Type
Alabama,0.9168554099555629,0.9827114723719363,0.021489737710209577,50.05043859649123,0.9038787318916276,0.28368826859676727,3.878830962779011,1.5462149862595413,0.7029486508064599,27.333333333333332,0.04035205879184182,0.043278527778941735,0.4535594035594035,0.3333333333333333,0.042963661123062935,state
Alaska,0.3018476228895819,0.8619630814432682,0.05453854477043063,25.516447368421055,0.289612505974321,0.3813081271695826,3.0740854114411356,1.411465651158339,0.6128761059454267,8.0,0.022503417256290095,0.048252089549574155,0.9615384615384616,2.0,0.024500865292541363,state
American Samoa,0.00768058596293242,0.5,0.18180309367323905,18.016447368421055,0.00768058596293242,0.1639888938840304,2.2980580819282697,0.8957984870931425,0.37447845620266873,4.5,0.0009600732453665525,0.08687861520155651,1.0,1.0,0.0010972265661332028,state
Arkansas,0.973665928618076,0.9237539668794897,0.006794510750525233,147.17763157894737,0.8994277639763498,0.14532354446543572,4.991640235365628,4.286225487116705,0.9283026482213164,49.0,0.018355668652578566,0.016026319421331835,0.6326530612244898,10.0,0.01873807841617395,state
"Baton Rouge, LA",0.1056480125,0.0,0.16777041942604853,5.960526315789474,0.0,0.0,1.785158785196703,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,local
California,0.3362674228067033,0.8886126143119794,0.0447517873712451,49.04714912280702,0.32380153704632,0.31990085603726776,3.6147721231430374,1.3293712380646234,0.5870373447050279,16.333333333333332,0.014357623045840727,0.12658672250366776,0.9170506912442397,0.5,0.014987134455134018,state
"Chicago, IL",0.9236137317358087,0.9940461225203203,0.009511294662411613,105.13815789473685,0.9181146487385041,0.28183033996469564,4.655275274738832,1.6293613563023908,0.7207763268354669,27.0,0.034004246249574224,-0.09227413869659977,0.2962962962962963,1.0,0.03531210187455785,local
City of Birmingham,0.7190266787346313,1.0028988551301798,0.007967241034352757,126.15789473684211,0.7215333496041971,0.2684182868766544,4.834975635108636,1.8363756687682335,0.6990439095992429,24.5,0.029583371199547903,-0.03915033755968071,0.5824561403508772,0.5,0.030882580808843145,local
Colorado,0.6544084547684912,0.4997638061487117,0.03351752553096862,52.55592105263158,0.4988161559063337,0.1139057580077999,3.6787822961948224,0.49287269144833334,0.25450707731731154,22.0,0.012790157843752146,-0.02034251766572625,0.6794871794871795,2.5,0.013118631511956943,state
"Columbia, SC",0.5268129826688455,0.4977423910135038,0.014995893598821974,73.57565789473685,0.3307325334319474,0.309960001371411,4.249146555670821,1.5590943158370099,0.6692886445997351,19.5,0.012610157770573283,-0.23864538052454604,0.7857142857142857,0.0,0.012253667968093141,local
Connecticut - DOH,0.9935370067036899,1.0000007581642036,0.011160501536498238,91.60197368421053,0.9935377648678936,0.2633026892488672,4.506413600355572,0.8504416437573686,0.4509867289162063,34.0,0.030981679502923527,-0.025303652825251675,0.4358974358974359,0.0,0.03171729642376035,state
"Cook County, IL",0.8840413738433436,0.9780034573013856,0.008323750068451891,120.13815789473685,0.8645955200162567,0.19678089911499333,4.788642396315757,2.911769965512343,0.7258114608686835,37.0,0.023367446486925857,-0.01673472504446352,0.35135135135135137,0.0,0.023970419675540124,local
County Of Orange,0.9482430231181049,0.999167009130046,0.006659072986944712,150.17105263157896,0.9474531453373499,0.18534507373458253,5.011774995267269,5.078208605611622,0.9589437988058523,28.0,0.033837612333476784,0.17864295953987333,0.9642857142857143,1.0,0.035090857234716666,local
"Dallas, TX",0.047926173790180146,0.9579299590641139,0.11168258633357825,8.953947368421053,0.04590991769692688,0.4714045207910317,2.19209448180519,1.732050807568877,0.6666666666666666,3.0,0.015303305898975626,6.951095629092366e-16,1.0,1.0,0.02295495884846344,local
