lval,op,rval,Estimate,Std. Err,z-value,p-value
capacity_T1,~,RI_capacity,1.0,-,-,-
capacity_T2,~,RI_capacity,1.0,-,-,-
outcome_T1,~,RI_outcome,1.0,-,-,-
outcome_T2,~,RI_outcome,1.0,-,-,-
capacity_T2,~,capacity_T1,0.3390149840746837,0.14001454039983693,2.421284125949659,0.015465783857183446
capacity_T2,~,outcome_T1,-0.18942926536614785,0.04267323802215993,-4.439064719282362,9.035064687079597e-06
outcome_T2,~,outcome_T1,-0.027745435570085263,0.096388754527171,-0.28784930053200614,0.7734620973112074
outcome_T2,~,capacity_T1,-0.018446252727937467,0.09575600095965126,-0.19263808578970976,0.8472424153977209
capacity_T3,~,RI_capacity,1.0,-,-,-
outcome_T3,~,RI_outcome,1.0,-,-,-
capacity_T3,~,capacity_T2,1.1570103411551564,0.598518364893659,1.9331242097455001,0.05322089836879451
capacity_T3,~,outcome_T2,-1.1059941088263052,0.45881076620258165,-2.410567036117801,0.015927743952804052
outcome_T3,~,outcome_T2,1.2123362777661584,0.6424853891556802,1.8869476228205886,0.05916737083643819
outcome_T3,~,capacity_T2,-1.395995359848439,0.5772000941423742,-2.418563985025407,0.015581904873990027
RI_capacity,~~,RI_outcome,0.08914403413353165,0.016894025890408126,5.2766602055977705,1.3155950218113333e-07
RI_capacity,~~,RI_capacity,0.057474623429192774,0.025481357472434393,2.255555791684685,0.024098464493403027
RI_outcome,~~,RI_outcome,0.0853836488674609,0.029877934407007364,2.8577493912891736,0.004266572112219258
capacity_T1,~~,capacity_T1,0.09274940211169631,0.019114485495569215,4.852309633358614,1.2203190056236934e-06
capacity_T2,~~,capacity_T2,0.0322118135712606,0.013052223295882652,2.467917751526206,0.013590154179403902
outcome_T1,~~,outcome_T1,0.2192834639313935,0.03863230747568233,5.6761679085244525,1.3774557716672575e-08
outcome_T2,~~,outcome_T2,0.03847672888536184,0.01558699700577951,2.468514548929888,0.013567513665788233
capacity_T3,~~,capacity_T3,0.06460943462257468,0.026173580120825837,2.4684981695988024,0.013568134598265447
outcome_T3,~~,outcome_T3,0.06443508085831758,0.03337951015004679,1.9303782639930946,0.05355998611627233
