LHS,Operator,RHS,Estimate,Std. Err,z-value,p-value
recovery_outcome,~,gov_cap,97.95193637841155,14.445384743182942,6.780846486254386,1.1947332012596235e-11
Ratio_disbursed_to_obligated,~,gov_cap,1.0,-,-,-
Ratio_expended_to_disbursed,~,gov_cap,0.47435703482056174,0.08642712177212242,5.488520560314203,4.0531410006039437e-08
Timeliness,~,gov_cap,-0.06478977764423471,0.011457884310502212,-5.654602183336262,1.5620764459711722e-08
Duration_of_completion,~,recovery_outcome,1.0,-,-,-
Ratio_obligated_funds_fully_expended,~,recovery_outcome,0.010702214091585728,0.001498042522865925,7.144132373470312,9.057199434892027e-13
Quarter_by_quarter_variance_expended,~,recovery_outcome,-0.00026961801871915004,0.00034441897282221307,-0.7828198769860025,0.43373289344641863
gov_cap,~~,gov_cap,0.0875358819427631,0.016858281561717467,5.192455803819946,2.0753814689022931e-07
recovery_outcome,~~,recovery_outcome,0.03698900015849957,49.67600949963271,0.0007446049014619886,0.9994058913001247
Duration_of_completion,~~,Duration_of_completion,968.2767043211675,173.85862432925273,5.569333750665389,2.5571524897571862e-08
Quarter_by_quarter_variance_expended,~~,Quarter_by_quarter_variance_expended,0.006252195583649215,0.0010969679201191353,5.6995245378467185,1.2014203187860062e-08
Ratio_disbursed_to_obligated,~~,Ratio_disbursed_to_obligated,0.006538544611067368,0.0038111627916280603,1.7156298397210656,0.08622981341892366
Ratio_expended_to_disbursed,~~,Ratio_expended_to_disbursed,0.03975341543421114,0.007063613856946454,5.62791458220627,1.824013695639337e-08
Ratio_obligated_funds_fully_expended,~~,Ratio_obligated_funds_fully_expended,0.0037106330564676787,0.004281946607810649,0.8665762083143632,0.38617425400180094
Timeliness,~~,Timeliness,0.0006968143628374465,0.00012392389963075865,5.622921480769571,1.877547561868198e-08
