LHS,Operator,RHS,Estimate,Std. Err,z-value,p-value
recovery_outcome,~,gov_cap,-0.6848331451436561,0.7004465898517818,-0.9777093001303536,0.32821812073402756
Ratio_disbursed_to_obligated,~,gov_cap,1.0,-,-,-
Ratio_expended_to_disbursed,~,gov_cap,0.6946532231915948,0.6521439151736699,1.0651839372073866,0.2867927010209059
Duration_log,~,recovery_outcome,1.0,-,-,-
Spending_CV,~,recovery_outcome,-1.3017167510162455,1.942134291386651,-0.670250639612656,0.5026980273011898
gov_cap,~~,gov_cap,0.016800375050024054,0.017364403553202835,0.9675181181767534,0.3332850883331031
recovery_outcome,~~,recovery_outcome,0.0,0.025769345389112446,0.0,1.0
Duration_log,~~,Duration_log,0.07814015832426277,0.03327940330095162,2.3480035869417275,0.0188743395412041
Ratio_disbursed_to_obligated,~~,Ratio_disbursed_to_obligated,0.01696098877940182,0.01611549631133004,1.0524645627218374,0.2925864608601958
Ratio_expended_to_disbursed,~~,Ratio_expended_to_disbursed,0.015331395637255267,0.008539446772578051,1.7953616954077425,0.07259609121532762
Spending_CV,~~,Spending_CV,0.3515161616491683,0.1050436586072902,3.346381555120607,0.0008187364967111588
