LHS,Operator,RHS,Estimate,Std. Err,z-value,p-value
recovery_outcome,~,gov_cap,0.05446176304493163,0.013284817701740063,4.099549144261017,4.139557652060866e-05
Ratio_disbursed_to_obligated,~,gov_cap,1.0,-,-,-
Ratio_expended_to_disbursed,~,gov_cap,1.0650413780726438,0.24304165318184456,4.382135177756523,1.1752185143709681e-05
Progress_Rate,~,recovery_outcome,1.0,-,-,-
Spending_CV,~,recovery_outcome,29.70064014830516,10.800851123535312,2.7498425641275626,0.005962390395910955
gov_cap,~~,gov_cap,0.04431831811960156,0.017727403047626218,2.499989310224207,0.01241970540376447
recovery_outcome,~~,recovery_outcome,3.380096962212624e-16,4.367113531910016e-05,7.739887823194316e-12,0.9999999999938245
Progress_Rate,~~,Progress_Rate,5.699900083688639e-05,3.9347132759448875e-05,1.4486188799761957,0.14744404569473613
Ratio_disbursed_to_obligated,~~,Ratio_disbursed_to_obligated,0.08064669372504302,0.01570057965389502,5.1365424396862664,2.7983917760820987e-07
Ratio_expended_to_disbursed,~~,Ratio_expended_to_disbursed,0.052201385413210344,0.013061135648504472,3.9966957555632474,6.42327680839827e-05
Spending_CV,~~,Spending_CV,0.6605546787457827,0.11167978759817128,5.914720048685733,3.3244051955705345e-09
