LHS,Operator,RHS,Estimate,Std. Err,z-value,p-value
recovery_outcome,~,gov_cap,-0.6053944613030464,0.12675071464760504,-4.776260733372592,1.7858481253796299e-06
Ratio_disbursed_to_obligated,~,gov_cap,1.0,-,-,-
Ratio_expended_to_disbursed,~,gov_cap,0.3611711435303916,0.11031452417110665,3.2740126129439875,0.0010603187838533756
Time_to_50pct,~,recovery_outcome,1.0,-,-,-
Spending_CV,~,recovery_outcome,-1.7481001085095738,0.5766381877954804,-3.031537184850045,0.0024331194953075563
gov_cap,~~,gov_cap,0.09405212850972273,0.0239547256738454,3.9262452756236685,8.628217354256229e-05
recovery_outcome,~~,recovery_outcome,1.844003389851487e-12,0.010724106756999655,1.7194936897433915e-10,0.9999999998628042
Ratio_disbursed_to_obligated,~~,Ratio_disbursed_to_obligated,4.276381477156668e-12,0.01736808371745296,2.462206853950829e-10,0.9999999998035443
Ratio_expended_to_disbursed,~~,Ratio_expended_to_disbursed,0.04720152582966906,0.008584065150431829,5.498738068384279,3.8251884326712116e-08
Spending_CV,~~,Spending_CV,0.678366452936896,0.12188108895381662,5.565805645110193,2.6094395977338536e-08
Time_to_50pct,~~,Time_to_50pct,0.021810489406683523,0.009440572886796606,2.3102929944936856,0.02087193851875191
