LHS,Operator,RHS,Estimate,Std. Err,z-value,p-value
recovery_outcome,~,gov_cap,-37.73321597614358,22.32654860327498,-1.6900604140223887,0.09101639720947174
recovery_outcome,~,Population_scaled,0.5403803758817093,0.6033816037291905,0.8955864291204793,0.3704736863616267
recovery_outcome,~,Severity_Index_scaled,-0.10657981320016958,0.3745750674066938,-0.2845352573458028,0.7760002186254957
recovery_outcome,~,Experience_Index_scaled,0.01086952620205144,0.5806870639130942,0.018718388745886473,0.985065758726767
gov_cap,~,Population_scaled,0.008943503387579316,0.039799222777030054,0.22471552867902497,0.8222005834098294
gov_cap,~,Experience_Index_scaled,-0.08489661486965455,0.03358124485322092,-2.528096121457024,0.011468294930412126
Ratio_disbursed_to_obligated,~,gov_cap,1.0,-,-,-
Ratio_expended_to_disbursed,~,gov_cap,0.6238456012942943,0.14048377274750448,4.440695100145902,8.96687671958496e-06
Timeliness,~,gov_cap,0.008161445111654805,5.329869951281897,0.0015312653378513202,0.9987782275058992
Duration_of_completion,~,recovery_outcome,1.0,-,-,-
Ratio_obligated_funds_fully_expended,~,recovery_outcome,-0.02988316563861938,0.01731354899595113,-1.725998848871582,0.08434761983341188
Quarter_by_quarter_variance_expended,~,recovery_outcome,0.0004085895912884758,0.0016628178011659897,0.24572120334305192,0.8058980574412988
gov_cap,~~,gov_cap,0.02110781081574435,0.006923790684946917,3.048591699715369,0.002299167315224171
recovery_outcome,~~,recovery_outcome,0.00024181593913094338,7.525082534638717,3.213465606759899e-05,0.9999743602540614
Duration_of_completion,~~,Duration_of_completion,335.536631236403,93.32127560346704,3.5954998371661104,0.00032376933091238236
Quarter_by_quarter_variance_expended,~~,Quarter_by_quarter_variance_expended,0.0029555525853716884,0.0008197236707319414,3.605547439086505,0.00031149557880616463
Ratio_disbursed_to_obligated,~~,Ratio_disbursed_to_obligated,0.0030350493593400284,0.0021735531509112557,1.3963538718486084,0.1626079585619682
Ratio_expended_to_disbursed,~~,Ratio_expended_to_disbursed,0.013384115095284595,0.0037931280841615807,3.5285165158651517,0.00041789586892293507
Ratio_obligated_funds_fully_expended,~~,Ratio_obligated_funds_fully_expended,9.221679020909666e-07,0.006218273343434682,0.0001482996727566345,0.9998816739811691
Timeliness,~~,Timeliness,20.965272234106997,5.8147203111037795,3.6055512754531196,0.0003114909767805152
