LHS,Operator,RHS,Estimate,Std. Err,z-value,p-value
recovery_outcome,~,gov_cap,85.84919081438356,17.09484368313573,5.021934824655333,5.115354284601636e-07
recovery_outcome,~,Population_scaled,-0.9416251928125021,1.2599529823937836,-0.7473494693609612,0.4548526386031615
recovery_outcome,~,Severity_Index_scaled,-0.9214028720209275,1.1709418488516448,-0.786890376258881,0.43134604164253076
recovery_outcome,~,Experience_Index_scaled,1.315455383264252,1.4198535122090266,0.9264726057667194,0.35420042711264466
gov_cap,~,Population_scaled,0.0225696945078015,0.037308611022251595,0.6049459866982329,0.5452148861290418
gov_cap,~,Experience_Index_scaled,-0.06398837581440966,0.03960983940633972,-1.6154666813052667,0.10620967008667659
Ratio_disbursed_to_obligated,~,gov_cap,1.0,-,-,-
Ratio_expended_to_disbursed,~,gov_cap,0.38904863873376,0.09314731473143985,4.176702676306657,2.9576521459517835e-05
Timeliness,~,gov_cap,-0.06573219465944398,0.014539962340464776,-4.52079538555545,6.1607714541001e-06
Duration_of_completion,~,recovery_outcome,1.0,-,-,-
Ratio_obligated_funds_fully_expended,~,recovery_outcome,0.012372695356271677,0.002292684461423786,5.396597551497112,6.791649265203148e-08
Quarter_by_quarter_variance_expended,~,recovery_outcome,-0.0006915655245557858,0.000384175934401115,-1.8001271314241165,0.07184056643045555
gov_cap,~~,gov_cap,0.06370806597133587,0.01404517325000147,4.535940200438129,5.7347428876752815e-06
recovery_outcome,~~,recovery_outcome,0.0,44.34847137388997,0.0,1.0
Duration_of_completion,~~,Duration_of_completion,823.0535322676895,159.2449003028986,5.1684765458872475,2.3600989895733449e-07
Quarter_by_quarter_variance_expended,~~,Quarter_by_quarter_variance_expended,0.0034795126844880406,0.0006591692996946629,5.278632789514273,1.3015133126792477e-07
Ratio_disbursed_to_obligated,~~,Ratio_disbursed_to_obligated,0.007486107699729815,0.0045245302130864735,1.6545602185223331,0.09801373867955965
Ratio_expended_to_disbursed,~~,Ratio_expended_to_disbursed,0.030038313711032747,0.005750077044416961,5.223984561211136,1.7511338645803676e-07
Ratio_obligated_funds_fully_expended,~~,Ratio_obligated_funds_fully_expended,0.0042456403681556685,0.005050648550230709,0.8406129084394752,0.4005648248149496
Timeliness,~~,Timeliness,0.0007260679597821785,0.0001393375209903366,5.210857415940934,1.8796987744096327e-07
