Model,Subset,N,CFI,TLI,RMSEA,Chi2,AIC,BIC,Struct_Beta,Struct_p,Status,CFI_acceptable,CFI_good,RMSEA_acceptable,RMSEA_good,Struct_sig,Fit_Score,Rank
exp_single_factor,all,65,1.014452382457282,1.0433571473718457,0.0,0.7004137699075219,15.978448807079769,33.37354696624486,,,Success,True,True,True,True,False,1.014452382457282,1
exp_optimal_v1,all,65,1.0089862369056335,1.0539174214338012,0.0,0.19194016782845935,17.9940941486822,37.563579577742935,2.2972400844176013,1.2032473462042503e-08,Success,True,True,True,True,True,1.0089862369056335,2
exp_progress_outcome,all,65,0.9758251873094678,0.8549511238568066,0.139351152062062,2.2427995891855312,17.930990781871216,37.50047621093195,0.038284494471512255,3.591847890938027e-05,Success,True,True,False,False,True,0.8364740352474058,3
exp_acceleration,all,65,0.9372723872506539,0.8431809681266347,0.155548795300131,10.194029496146445,21.686337553964727,45.60459752281673,2.2541795385067025,2.902155848971688e-09,Success,True,False,False,False,True,0.7817235919505229,4
exp_velocity,all,65,0.9634223025905899,0.7805338155435397,0.20398364338047595,3.662996913073484,17.88729240267466,37.456777831735394,0.03878341690200114,9.435789031231323e-06,Success,True,True,False,False,True,0.759438659210114,5
exp_gini,all,65,0.9576565828086455,0.7459394968518728,0.2700440100575691,5.667121111550239,17.825627042721532,37.39511247178226,2.3991796721839354,5.070897257652973e-09,Success,True,True,False,False,True,0.6876125727510765,6
exp_cv_variance,all,65,0.8351714874114782,0.6909465388965217,0.30230173608244265,54.78980589489092,24.31415981861874,52.58119432726202,98.64661900812025,4.376721207677292e-12,Success,False,False,False,False,True,0.5328697513290355,7
exp_startup_lag,all,65,0.8056258536137222,0.5140646340343056,0.29078123766309333,25.645754413281374,21.210899864206727,45.129159833058736,0.020299837327173737,0.9834448667845821,Success,False,False,False,False,False,0.5148446159506288,8
exp_optimal_v2,all,65,0.8528835790174729,0.6322089475436824,0.3970908683254603,44.36637637311182,20.634880726981173,44.55314069583318,1.803325716101131,2.220446049250313e-16,Success,False,False,False,False,True,0.4557927106920126,9
full,all,65,0.8252145649538902,0.6722773092885443,0.40778305086676186,93.1389524859925,23.134186077354077,51.40122058599735,97.95193637841155,1.1947332012596235e-11,Success,False,False,False,False,True,0.41743151408712836,10
exp_no_redundant_ratio,all,65,0.71679579100575,0.29198947751437493,0.3552542097126819,36.30862170075704,20.88281163997671,44.801071608828714,120.45215443063314,2.0657030752602168e-08,Success,False,False,False,False,True,0.36154158129306807,11
exp_progress_rate,all,65,0.7391758305322268,0.347939576330567,0.3931894929920232,43.57708221422702,20.65916670110071,44.577426669952715,1.7572814027013015,5.517808432387028e-12,Success,False,False,False,False,True,0.3459863375402036,12
exp_optimal_progress,all,65,0.7391758305322268,0.347939576330567,0.3931894929920232,43.57708221422702,20.65916670110071,44.577426669952715,1.7572814027013015,5.517808432387028e-12,Success,False,False,False,False,True,0.3459863375402036,13
exp_log_cv,all,65,0.7479403599746772,0.5273881749525198,0.41537621720809165,96.33914973291711,23.035718469756397,51.302752978399674,1.8353893519228037,0.0,Success,False,False,False,False,True,0.3325641427665856,14
exp_log_duration,all,65,0.7732458402246742,0.5748359504212641,0.5016137628932396,136.82757996744454,21.789920616386322,50.0569551250296,1.8293290843740195,0.0,Success,False,False,False,False,True,0.2716320773314347,15
exp_time_to_milestone,all,65,0.7944290250500452,-0.23342584969972885,0.5723332126062745,21.964179600142014,17.324179089226398,36.89366451828713,-0.6053944613030464,1.7858481253796299e-06,Success,False,False,False,False,True,0.22209581244377075,16
exp_no_timeliness,all,65,0.7353279487287292,0.338319871821823,0.5374570007321311,77.94816707481037,19.601594859236606,43.51985482808861,94.31185950598038,4.2470600369881595e-09,Success,False,False,False,False,True,0.1978709479965981,17
exp_minimal,all,65,0.6347626210854179,-1.1914242734874925,0.680643921335546,30.64967344966585,17.056933124625665,36.6264185536864,98.79939362146615,0.0003963724324633766,Success,False,False,False,False,True,-0.04588130025012804,18
exp_alt_timeliness,all,65,-0.16047765484943444,-1.9011941371235863,1.3514541799094872,471.5656705010751,7.4902870615053825,31.40854703035739,0.038304964598707136,0.3338065378292683,Success,False,False,False,False,False,-1.5119318347589217,19
