activity_id,document_id,header_page,page_number,measure_raw,measure,canonical_measure,this_period,low_actual,low_expected,mod_actual,mod_expected,total_actual,total_expected,post1,post2,post3,lmi_percent
267:298,267,298,299,Persons,persons,persons,0.0,0,6547,0,0,0,6547,0.0,0.0,0.0,
267:300,267,300,301,Persons,persons,persons,0.0,0,4512,0,0,0,4512,0.0,0.0,0.0,
267:302,267,302,303,Persons,persons,persons,0.0,0,9882,0,0,0,20449,0.0,0.0,0.0,
267:304,267,304,305,Persons,persons,persons,0.0,0,0,0,8143,0,12977,0.0,0.0,0.0,
267:370,267,370,371,Households,households,households,0.0,2094,0,741,741,4057,1352,0.0,0.0,69.88,
267:707,267,707,708,Persons,persons,persons,0.0,0,9,0,0,0,16,0.0,0.0,0.0,
267:1169,267,1169,1170,Persons,persons,persons,0.0,0,0,0,40,0,40,0.0,0.0,0.0,
267:1624,267,1624,1625,Households,households,households,0.0,0,0,0,0,0,5,0.0,0.0,0.0,
267:1634,267,1634,1635,Persons,persons,persons,0.0,0,0,0,223,0,546,0.0,0.0,0.0,
267:1693,267,1693,1694,Households,households,households,26.0,36,0,111,0,147,220,6.0,32.0,100.0,
267:1698,267,1698,1699,Households,households,households,0.0,0,0,0,0,136,115,0.0,21.0,0.0,
267:1700,267,1700,1701,Households,households,households,0.0,3,4,0,0,3,4,3.0,3.0,100.0,
267:1702,267,1702,1703,Households,households,households,0.0,0,0,0,532,0,532,0.0,0.0,0.0,
267:1704,267,1704,1705,Households,households,households,0.0,204,0,93,275,297,275,0.0,0.0,100.0,
267:1706,267,1706,1707,Households,households,households,0.0,0,0,0,532,0,532,0.0,0.0,0.0,
267:1708,267,1708,1709,Households,households,households,0.0,0,0,0,0,189,245,0.0,0.0,0.0,
267:1714,267,1714,1715,Households,households,households,0.0,0,0,0,0,0,25,0.0,0.0,0.0,
267:1716,267,1716,1717,Households,households,households,0.0,0,0,0,0,0,208,0.0,0.0,0.0,
267:1718,267,1718,1719,Households,households,households,0.0,0,0,0,0,0,56,0.0,0.0,0.0,
267:1720,267,1720,1721,Households,households,households,0.0,0,0,0,0,0,75,0.0,0.0,0.0,
267:1722,267,1722,1723,Households,households,households,0.0,0,0,4,0,8,20,0.0,0.0,50.0,
267:1724,267,1724,1725,Households,households,households,0.0,324,750,185,0,509,750,0.0,0.0,100.0,
267:1728,267,1728,1729,Households,households,households,0.0,198,0,0,0,198,271,0.0,0.0,100.0,
267:1730,267,1730,1731,Households,households,households,0.0,0,0,71,0,71,109,0.0,0.0,100.0,
267:1732,267,1732,1733,Households,households,households,0.0,0,0,0,0,0,50,0.0,0.0,0.0,
267:1734,267,1734,1735,Households,households,households,0.0,0,0,0,0,0,102,0.0,0.0,0.0,
267:1736,267,1736,1737,Households,households,households,224.0,376,0,224,0,600,625,376.0,600.0,100.0,
267:1738,267,1738,1739,Households,households,households,0.0,0,0,0,0,0,21,0.0,0.0,0.0,
267:1740,267,1740,1741,Households,households,households,20.0,85,0,21,0,106,92,84.0,104.0,100.0,
267:1742,267,1742,1743,Households,households,households,0.0,0,0,0,0,0,18,0.0,0.0,0.0,
267:1744,267,1744,1745,Households,households,households,3.0,30,0,4,0,34,32,29.0,32.0,100.0,
