category,disaster_code,year,quarter,entity_type,n_mentions
2015_Floods,f15,2017,2,CARDINAL,18
2015_Floods,f15,2017,2,DATE,24
2015_Floods,f15,2017,2,DISASTER,1
2015_Floods,f15,2017,2,EVENT,1
2015_Floods,f15,2017,2,FEMA_DECLARATION,3
2015_Floods,f15,2017,2,GPE,10
2015_Floods,f15,2017,2,LAW,1
2015_Floods,f15,2017,2,MONEY,83
2015_Floods,f15,2017,2,ORDINAL,1
2015_Floods,f15,2017,2,ORG,59
2015_Floods,f15,2017,2,PERCENT,7
2015_Floods,f15,2017,2,PERSON,5
2015_Floods,f15,2017,2,QUANTITY,2
2015_Floods,f15,2017,2,RAINFALL,2
2015_Floods,f15,2017,2,TX_COUNTY,2
2015_Floods,f15,2017,2,WORK_OF_ART,2
2015_Floods,f15,2017,3,CARDINAL,15
2015_Floods,f15,2017,3,DATE,22
2015_Floods,f15,2017,3,DISASTER,1
2015_Floods,f15,2017,3,EVENT,1
2015_Floods,f15,2017,3,FEMA_DECLARATION,6
2015_Floods,f15,2017,3,GPE,9
2015_Floods,f15,2017,3,MONEY,83
2015_Floods,f15,2017,3,ORDINAL,1
2015_Floods,f15,2017,3,ORG,48
2015_Floods,f15,2017,3,PERCENT,7
2015_Floods,f15,2017,3,PERSON,2
2015_Floods,f15,2017,3,QUANTITY,2
2015_Floods,f15,2017,3,RAINFALL,2
2015_Floods,f15,2017,4,CARDINAL,15
2015_Floods,f15,2017,4,DATE,22
2015_Floods,f15,2017,4,DISASTER,1
2015_Floods,f15,2017,4,EVENT,1
2015_Floods,f15,2017,4,FEMA_DECLARATION,6
2015_Floods,f15,2017,4,GPE,9
2015_Floods,f15,2017,4,MONEY,83
2015_Floods,f15,2017,4,ORDINAL,1
2015_Floods,f15,2017,4,ORG,48
2015_Floods,f15,2017,4,PERCENT,7
2015_Floods,f15,2017,4,PERSON,2
2015_Floods,f15,2017,4,QUANTITY,2
2015_Floods,f15,2017,4,RAINFALL,2
2015_Floods,f15,2018,1,CARDINAL,14
2015_Floods,f15,2018,1,DATE,21
2015_Floods,f15,2018,1,DISASTER,1
2015_Floods,f15,2018,1,EVENT,1
2015_Floods,f15,2018,1,FEMA_DECLARATION,3
2015_Floods,f15,2018,1,GPE,9
2015_Floods,f15,2018,1,MONEY,89
2015_Floods,f15,2018,1,ORDINAL,1
2015_Floods,f15,2018,1,ORG,49
2015_Floods,f15,2018,1,PERCENT,6
2015_Floods,f15,2018,1,PERSON,3
2015_Floods,f15,2018,1,QUANTITY,2
2015_Floods,f15,2018,1,RAINFALL,2
2015_Floods,f15,2018,1,WORK_OF_ART,2
2015_Floods,f15,2018,2,CARDINAL,292
2015_Floods,f15,2018,2,DAMAGE_METRIC,2
2015_Floods,f15,2018,2,DATE,93
2015_Floods,f15,2018,2,DISASTER,1
2015_Floods,f15,2018,2,EVENT,2
2015_Floods,f15,2018,2,FAC,45
2015_Floods,f15,2018,2,FEMA_DECLARATION,3
2015_Floods,f15,2018,2,GPE,19
2015_Floods,f15,2018,2,LAW,2
2015_Floods,f15,2018,2,LOC,4
2015_Floods,f15,2018,2,MONEY,506
2015_Floods,f15,2018,2,ORDINAL,4
2015_Floods,f15,2018,2,ORG,247
2015_Floods,f15,2018,2,PERCENT,56
2015_Floods,f15,2018,2,PERSON,33
2015_Floods,f15,2018,2,PROGRAM,2
2015_Floods,f15,2018,2,QUANTITY,7
2015_Floods,f15,2018,2,RAINFALL,4
2015_Floods,f15,2018,2,TX_COUNTY,11
2015_Floods,f15,2018,2,WORK_OF_ART,3
2015_Floods,f15,2018,3,CARDINAL,180
2015_Floods,f15,2018,3,DAMAGE_METRIC,3
2015_Floods,f15,2018,3,DATE,76
2015_Floods,f15,2018,3,DISASTER,3
2015_Floods,f15,2018,3,EVENT,4
2015_Floods,f15,2018,3,FAC,27
2015_Floods,f15,2018,3,FEMA_DECLARATION,3
2015_Floods,f15,2018,3,GPE,32
2015_Floods,f15,2018,3,LAW,1
2015_Floods,f15,2018,3,LOC,6
2015_Floods,f15,2018,3,MONEY,447
2015_Floods,f15,2018,3,NORP,1
2015_Floods,f15,2018,3,ORDINAL,16
2015_Floods,f15,2018,3,ORG,252
2015_Floods,f15,2018,3,PERCENT,11
2015_Floods,f15,2018,3,PERSON,22
2015_Floods,f15,2018,3,PRODUCT,6
2015_Floods,f15,2018,3,PROGRAM,3
2015_Floods,f15,2018,3,QUANTITY,2
2015_Floods,f15,2018,3,RAINFALL,2
2015_Floods,f15,2018,3,TX_COUNTY,31
2015_Floods,15f,2018,4,CARDINAL,205
2015_Floods,15f,2018,4,DATE,62
2015_Floods,15f,2018,4,DISASTER,2
2015_Floods,15f,2018,4,EVENT,4
2015_Floods,15f,2018,4,FAC,32
2015_Floods,15f,2018,4,FEMA_DECLARATION,6
2015_Floods,15f,2018,4,GPE,29
2015_Floods,15f,2018,4,LOC,9
2015_Floods,15f,2018,4,MONEY,419
2015_Floods,15f,2018,4,ORDINAL,15
2015_Floods,15f,2018,4,ORG,211
2015_Floods,15f,2018,4,PERCENT,18
2015_Floods,15f,2018,4,PERSON,38
2015_Floods,15f,2018,4,PRODUCT,3
2015_Floods,15f,2018,4,QUANTITY,4
