category,disaster_code,year,quarter,fema_number,n_mentions,n_documents
2015_Floods,f15,2017,2,4223,1,1
2015_Floods,f15,2017,2,4245,2,1
2015_Floods,f15,2017,3,4223,2,1
2015_Floods,f15,2017,3,4245,3,1
2015_Floods,f15,2017,3,4272,1,1
2015_Floods,f15,2017,4,4223,2,1
2015_Floods,f15,2017,4,4245,3,1
2015_Floods,f15,2017,4,4272,1,1
2015_Floods,f15,2018,1,4223,1,1
2015_Floods,f15,2018,1,4245,2,1
2015_Floods,f15,2018,2,4223,1,1
2015_Floods,f15,2018,2,4245,2,1
2015_Floods,f15,2018,3,4223,1,1
2015_Floods,f15,2018,3,4245,2,1
2015_Floods,15f,2018,4,4223,2,1
2015_Floods,15f,2018,4,4245,3,1
2015_Floods,15f,2018,4,4272,1,1
2015_Floods,f15,2019,1,4223,2,1
2015_Floods,f15,2019,1,4245,3,1
2015_Floods,f15,2019,1,4272,1,1
2015_Floods,f15,2019,2,4223,2,1
2015_Floods,f15,2019,2,4245,3,1
2015_Floods,f15,2019,2,4272,1,1
2015_Floods,f15,2019,3,4223,2,1
2015_Floods,f15,2019,3,4245,3,1
2015_Floods,f15,2019,3,4272,1,1
2015_Floods,15f,2019,4,4223,2,1
2015_Floods,15f,2019,4,4245,3,1
2015_Floods,15f,2019,4,4272,1,1
2015_Floods,15f,2020,1,4223,2,1
2015_Floods,15f,2020,1,4245,3,1
2015_Floods,15f,2020,1,4272,1,1
2015_Floods,f15,2020,2,4223,2,1
2015_Floods,f15,2020,2,4245,3,1
2015_Floods,f15,2020,2,4272,1,1
2015_Floods,15f,2020,3,4223,2,1
2015_Floods,15f,2020,3,4245,3,1
2015_Floods,15f,2020,3,4272,1,1
2015_Floods,15f,2020,4,4223,2,1
2015_Floods,15f,2020,4,4245,3,1
2015_Floods,15f,2020,4,4272,1,1
2015_Floods,15f,2021,1,4223,2,1
2015_Floods,15f,2021,1,4245,3,1
2015_Floods,15f,2021,1,4272,1,1
2015_Floods,15f,2021,2,4223,1,1
2015_Floods,15f,2021,2,4245,3,1
2015_Floods,15f,2021,2,4272,1,1
