canonical_activity_id,source_count,in_a32,in_p31,in_p33,in_b17_f31,in_b18_f31,in_b_any_f31,a32_row_count,p31_row_count,p33_row_count,b17_f31_row_count,b18_f31_row_count,b_any_f31_row_count,a32_quarter_count,a32_date_min,a32_date_max,b17_f31_quarter_count,b17_f31_date_min,b17_f31_date_max,b18_f31_quarter_count,b18_f31_date_min,b18_f31_date_max,a32_title_example,p31_title_example,p33_title_example,b17_title_example,b18_title_example,a32_type_example,p31_type_example,p33_type_example,b17_type_example,b18_type_example,a32_org_example,p31_org_example,p33_org_example,b17_org_example,b18_org_example,raw_ids_a32,raw_ids_p31,raw_ids_p33,raw_ids_b17_f31,raw_ids_b18_f31
19-097-004_00_MULTI-LMI_DANIELREINVESTMENTGROUPLLC,1,0,0,0,1,0,1,0,0,0,2,0,2,0,,,2,2019-04-01,2019-07-01,0,,,,,,0,,,,,Affordable Rental Housing,,,,,Daniel RE Investment Group LLC,,,,,19-097-004_00_Multi-LMI_DanielREInvestmentGroupLLC-091320191,
19-097-005_MI_MULTI-LMI_SIERRA HOUSING,1,0,0,0,1,0,1,0,0,0,2,0,2,0,,,2,2019-04-01,2019-07-01,0,,,,,,LMI-Multi - Sierra Royale Apartments,,,,,Affordable Rental Housing,,,,,"Sierra Housing, Ltd",,,,,19-097-005_MI_Multi-LMI_Sierra Housing-09132019161726,
19-097-006_MI_MULTI-LMI_REFUGIO ELDERLY HOUSING,1,0,0,0,1,0,1,0,0,0,2,0,2,0,,,2,2019-04-01,2019-07-01,0,,,,,,LMI-Multi - Refugio Elderly Apartments,,,,,Affordable Rental Housing,,,,,"Refugio Elderly Housing, Ltd.",,,,,19-097-006_MI_Multi-LMI_Refugio Elderly Housing-091320191618,
19-097-007_MI_MULTI-LMI_ROCKPORT RETIREMENT,1,0,0,0,1,0,1,0,0,0,2,0,2,0,,,2,2019-04-01,2019-07-01,0,,,,,,LMI-Multi - Linden Oaks Apartments,,,,,Affordable Rental Housing,,,,,"Rockport Retirement, LTD",,,,,19-097-007_MI_Multi-LMI_Rockport Retirement-09132019161936,
19-097-008_MI_MULTI-LMI_HVM ARANSAS PASS,1,0,0,0,1,0,1,0,0,0,2,0,2,0,,,2,2019-04-01,2019-07-01,0,,,,,,LMI-Multi - The Palms I Apartments,,,,,Affordable Rental Housing,,,,,"HVM Aransas Pass, Ltd",,,,,19-097-008_MI_Multi-LMI_HVM Aransas Pass-09132019162046,
19-097-009_MI_MULTI-LMI_SINTON RETIREMENT,1,0,0,0,1,0,1,0,0,0,2,0,2,0,,,2,2019-04-01,2019-07-01,0,,,,,,LMI-Multi - Windridge Apartments,,,,,Affordable Rental Housing,,,,,"Sinton Retirement, Ltd",,,,,19-097-009_MI_Multi-LMI_Sinton Retirement-09132019162643,
19-097-010_MI_MULTI-LMI_HVM ARANSAS PASS I,1,0,0,0,1,0,1,0,0,0,2,0,2,0,,,2,2019-04-01,2019-07-01,0,,,,,,LMI-Multi - The Palms II Apartments,,,,,Affordable Rental Housing,,,,,"HVM Aransas Pass II, LTD.",,,,,19-097-010_MI_Multi-LMI_HVM Aransas Pass I-09132019162726,
19-097-016_SI_MULTI-LMI_AMERICAN ACADEMY OF CRISIS,1,0,0,0,1,0,1,0,0,0,2,0,2,0,,,2,2019-04-01,2019-07-01,0,,,,,,LMI-Multi - American Academy of Crisis Counseling,,,,,Affordable Rental Housing,,,,,American Academy of Crisis Counseling,,,,,19-097-016_SI_Multi-LMI_American Academy of Crisis-091320191,
19-097-029_MI_MULTI-LMI_HVM GLO ANGLETON SRS,1,0,0,0,1,0,1,0,0,0,2,0,2,0,,,2,2019-04-01,2019-07-01,0,,,,,,LMI-Multi - Orchard Park Apts,,,,,Affordable Rental Housing,,,,,"HVM GLO Angleton SRS., LLC",,,,,19-097-029_MI_Multi-LMI_HVM GLO Angleton SRS-09132019162824,
19-097-030_MI_MULTI-LMI_BAH WILLOW CREEK MANOR,1,0,0,0,1,0,1,0,0,0,2,0,2,0,,,2,2019-04-01,2019-07-01,0,,,,,,0,,,,,Affordable Rental Housing,,,,,"BAH Willow Creek Manor, LLC",,,,,19-097-030_MI_Multi-LMI_BAH Willow Creek Manor-0918201912584,
