source,raw_activity_id,canonical_activity_id,row_count
A32,ADMINISTRATION,ADMINISTRATION,31
A32,ADMIN[INF PD HOLDING],ADMIN[INF PD HOLDING],25
A32,ADMIN[LBAP PD HOLDING],ADMIN[LBAP PD HOLDING],24
A32,ARP_HMID_LMI,ARP_HMID_LMI,28
A32,ARP_SMID_LMI,ARP_SMID_LMI,23
A32,DRRP[H5b]_HMID_LMH_25-142-001-F191_GalvestonHA_MF,DRRP[H5B]_HMID_LMH_25-142-001-F191_GALVESTONHA_MF,1
A32,DRRP[H5b]_HMID_LMH_25-142-002-F206_HarrisCoHA_MF,DRRP[H5B]_HMID_LMH_25-142-002-F206_HARRISCOHA_MF,1
A32,DRRP[H5b]_HMID_LMH_25-142-003-F207_PAHA_MF,DRRP[H5B]_HMID_LMH_25-142-003-F207_PAHA_MF,1
A32,DRRP[H5b]_HMID_LMH_25-142-004-F208_PAHA_MF,DRRP[H5B]_HMID_LMH_25-142-004-F208_PAHA_MF,1
A32,DRRP[H5b]_HMID_LMH_25-142-005-F209_PAHA_MF,DRRP[H5B]_HMID_LMH_25-142-005-F209_PAHA_MF,1
A32,DRRP[H5b]_HMID_LMI_25-143-001-F192_Ames_SI,DRRP[H5B]_HMID_LMI_25-143-001-F192_AMES_SI,3
A32,DRRP[H5b]_HMID_LMI_25-143-002-F338_Ames_F&D,DRRP[H5B]_HMID_LMI_25-143-002-F338_AMES_F&D,3
A32,DRRP[H5b]_HMID_LMI_25-143-003-F339_Baytown_F&D,DRRP[H5B]_HMID_LMI_25-143-003-F339_BAYTOWN_F&D,1
A32,DRRP[H5b]_HMID_LMI_25-143-004-F340_Baytown_SI,DRRP[H5B]_HMID_LMI_25-143-004-F340_BAYTOWN_SI,1
A32,DRRP[H5b]_HMID_LMI_25-143-005-F341_Cleveland_SF,DRRP[H5B]_HMID_LMI_25-143-005-F341_CLEVELAND_SF,2
A32,DRRP[H5b]_HMID_LMI_25-143-006-F342_Cleveland_WF,DRRP[H5B]_HMID_LMI_25-143-006-F342_CLEVELAND_WF,2
A32,DRRP[H5b]_HMID_LMI_25-143-007-F343_Cleveland_F&D,DRRP[H5B]_HMID_LMI_25-143-007-F343_CLEVELAND_F&D,2
A32,DRRP[H5b]_HMID_LMI_25-143-008-F344_Dayton_SI,DRRP[H5B]_HMID_LMI_25-143-008-F344_DAYTON_SI,3
A32,DRRP[H5b]_HMID_LMI_25-143-009-F345_Dayton_SI,DRRP[H5B]_HMID_LMI_25-143-009-F345_DAYTON_SI,2
A32,DRRP[H5b]_HMID_LMI_25-143-010-F346_Jasper_SF,DRRP[H5B]_HMID_LMI_25-143-010-F346_JASPER_SF,2
A32,DRRP[H5b]_HMID_LMI_25-143-011-F347_Jasper_WF,DRRP[H5B]_HMID_LMI_25-143-011-F347_JASPER_WF,2
A32,DRRP[H5b]_HMID_LMI_25-143-012-F348_Kirbyville_SF,DRRP[H5B]_HMID_LMI_25-143-012-F348_KIRBYVILLE_SF,1
A32,DRRP[H5b]_HMID_LMI_25-143-013-F349_Kirbyville_SF,DRRP[H5B]_HMID_LMI_25-143-013-F349_KIRBYVILLE_SF,2
A32,DRRP[H5b]_HMID_LMI_25-143-014-F350_Pasadena_SF,DRRP[H5B]_HMID_LMI_25-143-014-F350_PASADENA_SF,1
A32,DRRP[H5b]_HMID_LMI_25-143-015-F351_Pasadena_SI,DRRP[H5B]_HMID_LMI_25-143-015-F351_PASADENA_SI,1
A32,DRRP[H5b]_HMID_LMI_25-143-016-F352_Pasadena_SI,DRRP[H5B]_HMID_LMI_25-143-016-F352_PASADENA_SI,1
A32,DRRP_HMID_LMI_GranteeSupport[H5b]_F&D,DRRP_HMID_LMI_GRANTEESUPPORT[H5B]_F&D,1
A32,DRRP_HMID_LMI_GranteeSupport[H5b]_MFH,DRRP_HMID_LMI_GRANTEESUPPORT[H5B]_MFH,1
A32,DRRP_HMID_LMI_GranteeSupport[H5b]_SI,DRRP_HMID_LMI_GRANTEESUPPORT[H5B]_SI,1
A32,DRRP_HMID_LMI_GranteeSupport[H5b]_WSF,DRRP_HMID_LMI_GRANTEESUPPORT[H5B]_WSF,1
A32,ERP_HMID_LMI,ERP_HMID_LMI,24
A32,ERP_SMID_LMI,ERP_SMID_LMI,24
A32,HAP[AACOG]_SMID_LMI,HAP[AACOG]_SMID_LMI,26
A32,HAP[AACOG]_SMID_UN,HAP[AACOG]_SMID_UN,19
A32,HAP[BVCOG]_SMID_LMI,HAP[BVCOG]_SMID_LMI,27
A32,HAP[BVCOG]_SMID_UN,HAP[BVCOG]_SMID_UN,20
A32,HAP[CAPCOG]_HMID_LMI,HAP[CAPCOG]_HMID_LMI,27
A32,HAP[CAPCOG]_HMID_UN-02182022160330,HAP[CAPCOG]_HMID_UN,9
A32,HAP[CAPCOG]_SMID_LMI,HAP[CAPCOG]_SMID_LMI,28
A32,HAP[CAPCOG]_SMID_UN,HAP[CAPCOG]_SMID_UN,19
A32,HAP[CBCOG]_HMID_LMI,HAP[CBCOG]_HMID_LMI,28
A32,HAP[CBCOG]_HMID_UN,HAP[CBCOG]_HMID_UN,28
A32,HAP[CBCOG]_SMID_LMI,HAP[CBCOG]_SMID_LMI,28
A32,HAP[CBCOG]_SMID_UN,HAP[CBCOG]_SMID_UN,27
A32,HAP[DETCOG]_HMID_LMI,HAP[DETCOG]_HMID_LMI,28
A32,HAP[DETCOG]_HMID_UN,HAP[DETCOG]_HMID_UN,28
A32,HAP[DETCOG]_SMID_LMI,HAP[DETCOG]_SMID_LMI,27
A32,HAP[DETCOG]_SMID_UN,HAP[DETCOG]_SMID_UN,27
A32,HAP[GCRPC]_HMID_LMI,HAP[GCRPC]_HMID_LMI,28
A32,HAP[GCRPC]_HMID_UN,HAP[GCRPC]_HMID_UN,28
A32,HAP[GCRPC]_SMID_LMI,HAP[GCRPC]_SMID_LMI,28
A32,HAP[GCRPC]_SMID_UN,HAP[GCRPC]_SMID_UN,28
A32,HAP[HGAC]_HMID_LMI,HAP[HGAC]_HMID_LMI,28
A32,HAP[HGAC]_HMID_UN,HAP[HGAC]_HMID_UN,28
A32,HAP[HGAC]_SMID_LMI,HAP[HGAC]_SMID_LMI,27
A32,HAP[HGAC]_SMID_UN,HAP[HGAC]_SMID_UN,27
A32,HAP[Harris]_HMID_LMI,HAP[HARRIS]_HMID_LMI,21
A32,HAP[Harris]_HMID_UN,HAP[HARRIS]_HMID_UN,21
A32,HAP[Houston]_HMID_LMI,HAP[HOUSTON]_HMID_LMI,21
A32,HAP[Houston]_HMID_UN,HAP[HOUSTON]_HMID_UN,21
A32,HAP[SETRPC]_HMID_LMI,HAP[SETRPC]_HMID_LMI,28
A32,HAP[SETRPC]_HMID_UN,HAP[SETRPC]_HMID_UN,28
A32,HCADMIN_DA_NA_19-147-002-B490,HCADMIN_DA_NA_19-147-002-B490,23
A32,HCARP_DA_LMI_19-147-002-B490,HCARP_DA_LMI_19-147-002-B490,24
A32,HCARP_DA_LMI_19-147-002-B490_PS,HCARP_DA_LMI_19-147-002-B490_PS,14
A32,HCBP_DA_LMHI_19-147-002-B490_HI,HCBP_DA_LMHI_19-147-002-B490_HI,14
A32,HCBP_DA_LMH_19-147-002-B490_HA,HCBP_DA_LMH_19-147-002-B490_HA,8
A32,HCBP_DA_LMI_19-147-002-B490_ACQ,HCBP_DA_LMI_19-147-002-B490_ACQ,24
A32,HCBP_DA_LMI_19-147-002-B490_RA,HCBP_DA_LMI_19-147-002-B490_RA,16
A32,HCBP_DA_UN_19-147-002-B490_HI,HCBP_DA_UN_19-147-002-B490_HI,6
A32,HCComBP_DA_LMI_19-147-002-B490_ACQ,HCCOMBP_DA_LMI_19-147-002-B490_ACQ,17
A32,HCComBP_DA_LMI_19-147-002-B490_RA,HCCOMBP_DA_LMI_19-147-002-B490_RA,14
A32,HCCompApp_DA_LMI_19-147-002-B490_F&D,HCCOMPAPP_DA_LMI_19-147-002-B490_F&D,20
A32,HCCompApp_DA_LMI_19-147-002-B490_PF,HCCOMPAPP_DA_LMI_19-147-002-B490_PF,19
A32,HCCompApp_DA_LMI_19-147-002-B490_PS,HCCOMPAPP_DA_LMI_19-147-002-B490_PS,23
A32,HCCompApp_DA_LMI_19-147-002-B490_SF,HCCOMPAPP_DA_LMI_19-147-002-B490_SF,19
A32,HCCompApp_DA_UN_19-147-002-B490_F&D,HCCOMPAPP_DA_UN_19-147-002-B490_F&D,18
A32,HCFCD_DA_HMID_LMI_24-033-000-E072,HCFCD_DA_HMID_LMI_24-033-000-E072,8
A32,HCFCD_DA_HMID_UN_24-033-000-E072,HCFCD_DA_HMID_UN_24-033-000-E072,8
A32,HCHAP_DA_LMI_19-147-002-B490,HCHAP_DA_LMI_19-147-002-B490,27
A32,HCHAP_DA_LMI_19-147-002-B490_PS,HCHAP_DA_LMI_19-147-002-B490_PS,15
A32,HCHAP_DA_UN_19-147-002-B490,HCHAP_DA_UN_19-147-002-B490,27
A32,HCHAP_DA_UN_19-147-002-B490_PS,HCHAP_DA_UN_19-147-002-B490_PS,12
A32,HCHRP_DA_LMI_19-147-002-B490,HCHRP_DA_LMI_19-147-002-B490,25
A32,HCHRP_DA_UN_19-147-002-B490,HCHRP_DA_UN_19-147-002-B490,24
A32,HCMOD_DA_LMI_19-147-002-B490_F&D,HCMOD_DA_LMI_19-147-002-B490_F&D,26
A32,HCMOD_DA_LMI_19-147-002-B490_PF,HCMOD_DA_LMI_19-147-002-B490_PF,18
A32,HCMOD_DA_LMI_19-147-002-B490_SF,HCMOD_DA_LMI_19-147-002-B490_SF,23
A32,HCMOD_DA_UN_19-147-002-B490_F&D,HCMOD_DA_UN_19-147-002-B490_F&D,20
A32,HCMOD_DA_UN_19-147-002-B490_PF,HCMOD_DA_UN_19-147-002-B490_PF,21
A32,HCPLAN_DA_NA_19-147-002-B490,HCPLAN_DA_NA_19-147-002-B490,27
A32,HCPS_DA_LMA_19-147-002-B490,HCPS_DA_LMA_19-147-002-B490,9
A32,HCPS_DA_LMI_19-147-002-B490,HCPS_DA_LMI_19-147-002-B490,15
A32,HCSFNC_DA_LMI_19-147-002-B490,HCSFNC_DA_LMI_19-147-002-B490,24
A32,HC_ProgramIncomeTransfer,HC_PROGRAMINCOMETRANSFER,2
A32,HRP_HMID_LMI,HRP_HMID_LMI,18
