keyword,category,disaster_code,year,quarter,n_pages,n_documents
payroll,2015_Floods,15f,2019,4,56,1
payroll,2015_Floods,15f,2020,1,44,1
payroll,2015_Floods,15f,2020,3,58,1
payroll,2015_Floods,15f,2020,4,60,1
payroll,2015_Floods,15f,2021,1,41,1
payroll,2015_Floods,15f,2021,2,53,1
payroll,2015_Floods,15f,2021,3,47,1
payroll,2015_Floods,15f,2021,4,47,1
payroll,2015_Floods,15f,2022,1,39,1
payroll,2015_Floods,15f,2022,2,34,1
payroll,2015_Floods,15f,2022,3,29,1
payroll,2015_Floods,15f,2023,3,19,1
payroll,2015_Floods,f15,2017,3,2,1
payroll,2015_Floods,f15,2017,4,2,1
payroll,2015_Floods,f15,2020,2,51,1
payroll,2016_Floods,16f,2019,4,43,1
payroll,2016_Floods,16f,2020,1,44,1
payroll,2016_Floods,16f,2020,3,39,1
payroll,2016_Floods,16f,2020,4,49,1
payroll,2016_Floods,16f,2021,1,46,1
payroll,2016_Floods,16f,2021,2,60,1
payroll,2016_Floods,16f,2021,3,65,1
payroll,2016_Floods,16f,2022,1,63,1
payroll,2016_Floods,16f,2022,2,65,1
payroll,2016_Floods,16f,2022,3,53,1
payroll,2016_Floods,16f,2022,4,58,1
payroll,2016_Floods,16f,2023,1,61,1
payroll,2016_Floods,16f,2023,2,1,1
payroll,2016_Floods,16f,2024,3,4,1
payroll,2016_Floods,16f,2024,4,2,1
payroll,2016_Floods,16f,2025,1,3,1
payroll,2016_Floods,16f,2025,2,2,1
payroll,2016_Floods,16f,2025,3,1,1
payroll,2016_Floods,f16,2020,2,34,1
payroll,2018_Floods_Performance,2018-floods,2021,4,11,1
payroll,2018_Floods_Performance,2018-floods,2022,1,11,1
payroll,2018_Floods_Performance,2018-floods,2022,2,11,1
payroll,2018_Floods_Performance,2018-floods,2022,3,11,1
payroll,2018_Floods_Performance,2018-floods,2022,4,11,1
payroll,2018_Floods_Performance,2018-floodsgrantreport,2023,1,11,1
payroll,2019_Disasters_Performance,2019-disasters,2022,1,21,1
payroll,2019_Disasters_Performance,2019-disasters,2022,2,21,1
payroll,2019_Disasters_Performance,2019-disasters,2022,3,21,1
payroll,2019_Disasters_Performance,2019-disasters,2022,4,21,1
payroll,2019_Disasters_Performance,2019-disastersgrantreport,2023,1,17,1
payroll,Harvey_57M_Performance,hh57m,2020,1,1,1
payroll,Harvey_57M_Performance,hh57m,2020,2,1,1
payroll,Harvey_57M_Performance,hh57m,2021,1,1,1
payroll,Harvey_57M_Performance,hh57m,2021,2,1,1
payroll,Harvey_57M_Performance,hh57m,2021,4,1,1
payroll,Harvey_57M_Performance,hh57m,2022,1,4,1
payroll,Harvey_57M_Performance,hh57m,2022,2,4,1
payroll,Harvey_57M_Performance,hh57m,2022,3,3,1
payroll,Harvey_57M_Performance,hh57m,2022,4,3,1
payroll,Harvey_57M_Performance,hh57m,2023,1,3,1
payroll,Harvey_5B_ActionPlan,h5b,2024,4,2,1
payroll,Harvey_5B_ActionPlan,h5b,2025,1,2,1
payroll,Harvey_5B_ActionPlan,h5b,2025,2,2,1
payroll,Harvey_5B_ActionPlan,h5b,2025,3,2,1
payroll,Harvey_5B_ActionPlan,h5b,2025,4,2,1
payroll,Harvey_5B_Performance,h5b,2020,1,35,1
payroll,Harvey_5B_Performance,h5b,2020,2,36,1
payroll,Harvey_5B_Performance,h5b,2020,3,35,1
payroll,Harvey_5B_Performance,h5b,2020,4,35,1
payroll,Harvey_5B_Performance,h5b,2021,1,35,1
payroll,Harvey_5B_Performance,h5b,2021,2,38,1
payroll,Harvey_5B_Performance,h5b,2021,3,39,1
payroll,Harvey_5B_Performance,h5b,2021,4,35,1
payroll,Harvey_5B_Performance,h5b,2022,1,69,1
payroll,Harvey_5B_Performance,h5b,2022,2,70,1
payroll,Harvey_5B_Performance,h5b,2022,3,69,1
payroll,Harvey_5B_Performance,h5b,2022,4,70,1
payroll,Harvey_5B_Performance,h5b,2024,4,2,1
payroll,Harvey_5B_Performance,h5b,2025,1,3,1
payroll,Harvey_5B_Performance,h5b,2025,2,1,1
payroll,Harvey_5B_Performance,h5b,2025,3,2,1
payroll,Harvey_5B_Performance,harveygrantperformance,2023,1,67,1
payroll,Hurricane_Ike,ike,2009,3,1,1
payroll,Hurricane_Ike,ike,2016,2,140,1
payroll,Hurricane_Ike,ike,2016,3,4,1
payroll,Hurricane_Ike,ike,2016,4,22,1
