document_id,filename,category,disaster_code,year,quarter,page_number,source_type,activity_id,county_fips3,county_name,city,zip,metric,value,unit,confidence,method,snippet
245.0,ike-2009-q4.pdf,Hurricane_Ike,ike,2009,4,4.0,text_page,,201,Harris County,Month Benchmarks Is Approaching,,affected_population_households,4700.0,count,0.76,text_page:affected_after,"region. Over 4,700 households are anticipated to be assisted with rehab and reconstruction assistance of owner-"
247.0,ike-2010-q2.pdf,Hurricane_Ike,ike,2010,2,4.0,text_page,,,,,,affected_population_households,4700.0,count,0.76,text_page:affected_after,"region. Over 4,700 households are anticipated to be assisted with rehab and reconstruction assistance of owner-"
248.0,ike-2010-q3.pdf,Hurricane_Ike,ike,2010,3,4.0,text_page,,201,Harris County,Have Completed Construction. Also,,affected_population_households,4700.0,count,0.76,text_page:affected_after,"region. Over 4,700 households are anticipated to be assisted with rehab and reconstruction assistance of owner-"
249.0,ike-2010-q4.pdf,Hurricane_Ike,ike,2010,4,4.0,text_page,,201,Harris County,Environmental Review Records Have Been Assigned,,severity_unmet_need_usd,6558089.0,usd,0.84,text_page:severity_money,"The total amount available under Phase 1 is $6,558,089, leaving $13,671,009 in unmet need. Staff continues to"
249.0,ike-2010-q4.pdf,Hurricane_Ike,ike,2010,4,4.0,text_page,,201,Harris County,Environmental Review Records Have Been Assigned,,severity_unmet_need_usd,13671009.0,usd,0.84,text_page:severity_money,"The total amount available under Phase 1 is $6,558,089, leaving $13,671,009 in unmet need. Staff continues to"
249.0,ike-2010-q4.pdf,Hurricane_Ike,ike,2010,4,5.0,text_page,,201,Harris County,Providing Various Activities,,affected_population_households,4700.0,count,0.76,text_page:affected_after,"region. Over 4,700 households are anticipated to be assisted with rehab and reconstruction assistance of owner-"
250.0,ike-2011-q1.pdf,Hurricane_Ike,ike,2011,1,4.0,text_page,,201,Harris County,For The State Of Texas,,severity_unmet_need_usd,6558089.0,usd,0.84,text_page:severity_money,"The total amount available under Phase 1 is $6,558,089, leaving $13,671,009 in unmet need. All top scoring"
250.0,ike-2011-q1.pdf,Hurricane_Ike,ike,2011,1,4.0,text_page,,201,Harris County,For The State Of Texas,,severity_unmet_need_usd,13671009.0,usd,0.84,text_page:severity_money,"The total amount available under Phase 1 is $6,558,089, leaving $13,671,009 in unmet need. All top scoring"
251.0,ike-2011-q2.pdf,Hurricane_Ike,ike,2011,2,5.0,text_page,,201,Harris County,Communities Or Equipment Acquisitions And Purchases,,severity_unmet_need_usd,20229098.0,usd,0.84,text_page:severity_money,"totaling $20,229,098. The total amount available under Phase 1 is $6,558,089, leaving $13,671,009 in unmet need."
251.0,ike-2011-q2.pdf,Hurricane_Ike,ike,2011,2,5.0,text_page,,201,Harris County,Communities Or Equipment Acquisitions And Purchases,,severity_unmet_need_usd,6558089.0,usd,0.84,text_page:severity_money,"totaling $20,229,098. The total amount available under Phase 1 is $6,558,089, leaving $13,671,009 in unmet need."
