category,disaster_code,year,quarter,n_mentions,max_value,metric
2015_Floods,15f,2018,4,3,11.76,rainfall_inches
2015_Floods,15f,2019,4,6,323.0,rainfall_inches
2015_Floods,15f,2020,1,5,126.0,rainfall_inches
2015_Floods,15f,2020,3,5,323.0,rainfall_inches
2015_Floods,15f,2020,4,5,323.0,rainfall_inches
2015_Floods,15f,2021,1,5,323.0,rainfall_inches
2015_Floods,15f,2021,2,5,323.0,rainfall_inches
2015_Floods,15f,2021,3,2,,rainfall_inches
2015_Floods,15f,2021,4,2,,rainfall_inches
2015_Floods,15f,2022,1,2,,rainfall_inches
2015_Floods,15f,2022,2,2,,rainfall_inches
2015_Floods,15f,2022,3,2,,rainfall_inches
2015_Floods,15f,2022,4,3,1.0,rainfall_inches
2015_Floods,15f,2023,1,2,,rainfall_inches
2015_Floods,15f,2023,2,2,,rainfall_inches
2015_Floods,15f,2023,3,3,1.0,rainfall_inches
2015_Floods,15f,2024,1,2,,rainfall_inches
2015_Floods,15f,2024,2,2,,rainfall_inches
2015_Floods,15f,2024,3,2,,rainfall_inches
2015_Floods,15f,2024,4,2,,rainfall_inches
2015_Floods,15f,2025,1,2,,rainfall_inches
2015_Floods,15f,2025,2,2,,rainfall_inches
2015_Floods,15f,2025,3,2,,rainfall_inches
2015_Floods,f15,2017,2,2,,rainfall_inches
2015_Floods,f15,2017,3,2,,rainfall_inches
2015_Floods,f15,2017,4,2,,rainfall_inches
2015_Floods,f15,2018,1,2,,rainfall_inches
2015_Floods,f15,2018,2,4,323.0,rainfall_inches
2015_Floods,f15,2018,3,2,,rainfall_inches
2015_Floods,f15,2019,1,5,718.47,rainfall_inches
2015_Floods,f15,2019,2,4,323.0,rainfall_inches
2015_Floods,f15,2019,3,4,323.0,rainfall_inches
2015_Floods,f15,2020,2,5,323.0,rainfall_inches
2016_Floods,16f,2019,4,4,10.0,rainfall_inches
2016_Floods,16f,2020,1,4,16.0,rainfall_inches
2016_Floods,16f,2020,3,3,4.0,rainfall_inches
2016_Floods,16f,2020,4,3,4.0,rainfall_inches
2016_Floods,16f,2021,1,3,3.0,rainfall_inches
