model_id,topic_index,topic_label,category,disaster_code,year,quarter,n_chunks,n_documents
1,0,storm / hurricane / category,Hurricane_Ike,ike,2009,3,1,1
1,0,storm / hurricane / category,Hurricane_Ike,ike,2009,4,1,1
1,1,eligibility / activities / determination,Hurricane_Ike,ike,2009,4,2,1
1,2,contractor / planning / provided,Hurricane_Ike,ike,2009,3,13,1
1,3,activities / eligibility / applicants,Hurricane_Ike,ike,2009,4,10,1
1,4,housing / county / hurricane,Hurricane_Ike,ike,2009,4,7,1
3,0,assessment / needs / hud,2018_Floods_Performance,2018-floods,2021,3,1,1
3,1,june / impacted / county,2018_Floods_Performance,2018-floods,2021,3,1,1
5,0,complete associated / complete / water,2015_Floods,f15,2018,2,3,1
5,0,complete associated / complete / water,2015_Floods,f15,2018,3,1,1
5,0,complete associated / complete / water,2015_Floods,15f,2018,4,1,1
5,0,complete associated / complete / water,2015_Floods,f15,2019,1,1,1
5,0,complete associated / complete / water,2015_Floods,f15,2019,2,4,1
5,0,complete associated / complete / water,2015_Floods,f15,2019,3,3,1
5,0,complete associated / complete / water,2015_Floods,15f,2019,4,5,1
5,0,complete associated / complete / water,2015_Floods,15f,2020,1,5,1
5,0,complete associated / complete / water,2015_Floods,f15,2020,2,5,1
5,0,complete associated / complete / water,2015_Floods,15f,2020,3,5,1
5,0,complete associated / complete / water,2015_Floods,15f,2020,4,5,1
5,0,complete associated / complete / water,2015_Floods,15f,2021,1,4,1
5,0,complete associated / complete / water,2015_Floods,15f,2021,2,4,1
5,0,complete associated / complete / water,2015_Floods,15f,2021,3,2,1
5,0,complete associated / complete / water,2015_Floods,15f,2021,4,2,1
5,0,complete associated / complete / water,2015_Floods,15f,2022,1,2,1
5,0,complete associated / complete / water,2015_Floods,15f,2022,2,1,1
5,0,complete associated / complete / water,2015_Floods,15f,2022,3,1,1
5,0,complete associated / complete / water,2015_Floods,15f,2023,2,1,1
5,0,complete associated / complete / water,2015_Floods,15f,2023,3,1,1
5,0,complete associated / complete / water,2015_Floods,15f,2024,2,1,1
5,0,complete associated / complete / water,2015_Floods,15f,2025,3,2,1
5,0,complete associated / complete / water,2016_Floods,f16,2019,2,1,1
5,0,complete associated / complete / water,2016_Floods,f16,2019,3,1,1
5,0,complete associated / complete / water,2016_Floods,16f,2019,4,5,1
5,0,complete associated / complete / water,2016_Floods,16f,2020,1,2,1
5,0,complete associated / complete / water,2016_Floods,f16,2020,2,2,1
5,0,complete associated / complete / water,2016_Floods,16f,2020,3,3,1
5,0,complete associated / complete / water,2016_Floods,16f,2020,4,3,1
5,0,complete associated / complete / water,2016_Floods,16f,2021,1,4,1
5,0,complete associated / complete / water,2016_Floods,16f,2021,2,5,1
5,0,complete associated / complete / water,2016_Floods,16f,2021,3,2,1
5,0,complete associated / complete / water,2016_Floods,16f,2021,4,2,1
5,0,complete associated / complete / water,2016_Floods,16f,2022,1,2,1
5,0,complete associated / complete / water,2016_Floods,16f,2022,2,2,1
5,0,complete associated / complete / water,2016_Floods,16f,2022,3,2,1
5,0,complete associated / complete / water,2016_Floods,16f,2022,4,2,1
5,0,complete associated / complete / water,2016_Floods,16f,2023,1,1,1
5,0,complete associated / complete / water,2016_Floods,16f,2023,2,2,1
5,0,complete associated / complete / water,2016_Floods,16f,2023,3,1,1
5,0,complete associated / complete / water,2016_Floods,16f,2023,4,1,1
5,0,complete associated / complete / water,2016_Floods,16f,2024,1,2,1
5,0,complete associated / complete / water,2016_Floods,16f,2024,2,1,1
5,0,complete associated / complete / water,2016_Floods,16f,2024,3,2,1
5,0,complete associated / complete / water,2016_Floods,16f,2024,4,1,1
5,0,complete associated / complete / water,2016_Floods,16f,2025,1,1,1
5,0,complete associated / complete / water,2016_Floods,16f,2025,2,1,1
5,0,complete associated / complete / water,2016_Floods,16f,2025,3,2,1
5,0,complete associated / complete / water,2019_Disasters_ActionPlan,2019-disasters,2023,4,1,1
5,0,complete associated / complete / water,2019_Disasters_Performance,2019-disasters,2023,4,2,1
5,0,complete associated / complete / water,2019_Disasters_Performance,2019-disasters,2024,1,1,1
5,0,complete associated / complete / water,2019_Disasters_Performance,2019-disasters,2024,2,2,1
5,0,complete associated / complete / water,2019_Disasters_Performance,2019-disasters,2024,3,2,1
5,0,complete associated / complete / water,2019_Disasters_Performance,2019-disasters,2024,4,1,1
5,0,complete associated / complete / water,2019_Disasters_Performance,2019-disasters,2025,2,1,1
5,0,complete associated / complete / water,2019_Disasters_Performance,2019-disasters,2025,3,2,1
5,0,complete associated / complete / water,Harvey_57M_ActionPlan,hh57m,2020,4,39,1
5,0,complete associated / complete / water,Harvey_5B_ActionPlan,hh5b-ap,2019,4,7,1
