dataset,column,unit,description,derivation
panel_city_quarter_sem,admin_activity_budget_usd,usd,Administration activity financial rollup.,Subset where activity_type_group = Administration.
panel_city_quarter_sem,admin_activity_count,count,Number of administration activities.,Count of activities where activity_type_group = Administration.
panel_city_quarter_sem,admin_activity_drawdown_usd,usd,Administration activity financial rollup.,Subset where activity_type_group = Administration.
panel_city_quarter_sem,admin_activity_expended_usd,usd,Administration activity financial rollup.,Subset where activity_type_group = Administration.
panel_city_quarter_sem,admin_activity_obligated_usd,usd,Administration activity financial rollup.,Subset where activity_type_group = Administration.
panel_city_quarter_sem,admin_payroll_usd_confidence_mean,0_to_1,Average confidence score for this SEM construct.,Mean confidence across sem_construct_signals rows.
panel_city_quarter_sem,admin_payroll_usd_n_obs,count,Number of extracted observations for this SEM construct.,Count of sem_construct_signals rows in panel cell.
panel_city_quarter_sem,admin_payroll_usd_sum,usd,Aggregated SEM construct signal value.,Summed extracted construct values from sem_construct_signals.
panel_city_quarter_sem,admin_staff_count_confidence_mean,0_to_1,Average confidence score for this SEM construct.,Mean confidence across sem_construct_signals rows.
panel_city_quarter_sem,admin_staff_count_n_obs,count,Number of extracted observations for this SEM construct.,Count of sem_construct_signals rows in panel cell.
panel_city_quarter_sem,admin_staff_count_sum,count,Aggregated SEM construct signal value.,Summed extracted construct values from sem_construct_signals.
panel_city_quarter_sem,affected_population_households_confidence_mean,0_to_1,Average confidence score for this SEM construct.,Mean confidence across sem_construct_signals rows.
panel_city_quarter_sem,affected_population_households_n_obs,count,Number of extracted observations for this SEM construct.,Count of sem_construct_signals rows in panel cell.
panel_city_quarter_sem,affected_population_households_sum,count,Aggregated SEM construct signal value.,Summed extracted construct values from sem_construct_signals.
panel_city_quarter_sem,affected_population_persons_confidence_mean,0_to_1,Average confidence score for this SEM construct.,Mean confidence across sem_construct_signals rows.
panel_city_quarter_sem,affected_population_persons_n_obs,count,Number of extracted observations for this SEM construct.,Count of sem_construct_signals rows in panel cell.
panel_city_quarter_sem,affected_population_persons_sum,count,Aggregated SEM construct signal value.,Summed extracted construct values from sem_construct_signals.
panel_city_quarter_sem,category,id,Panel key used for joins and grouping.,Directly from document/activity metadata.
panel_city_quarter_sem,city,id,Panel key used for joins and grouping.,Directly from document/activity metadata.
panel_city_quarter_sem,county_fips3,id,Panel key used for joins and grouping.,Directly from document/activity metadata.
panel_city_quarter_sem,county_name,id,Panel key used for joins and grouping.,Directly from document/activity metadata.
panel_city_quarter_sem,disaster_code,id,Panel key used for joins and grouping.,Directly from document/activity metadata.
panel_city_quarter_sem,outcome_households_total_actual,households,Beneficiary/accomplishment outcome rollup.,Parsed DRGR beneficiary/accomplishment rows aggregated from activities.
panel_city_quarter_sem,outcome_households_total_expected,households,Beneficiary/accomplishment outcome rollup.,Parsed DRGR beneficiary/accomplishment rows aggregated from activities.
panel_city_quarter_sem,outcome_housing_units_total_actual,units,Beneficiary/accomplishment outcome rollup.,Parsed DRGR beneficiary/accomplishment rows aggregated from activities.
panel_city_quarter_sem,outcome_housing_units_total_expected,units,Beneficiary/accomplishment outcome rollup.,Parsed DRGR beneficiary/accomplishment rows aggregated from activities.
panel_city_quarter_sem,outcome_jobs_created_total_actual,jobs,Beneficiary/accomplishment outcome rollup.,Parsed DRGR beneficiary/accomplishment rows aggregated from activities.
panel_city_quarter_sem,outcome_jobs_created_total_expected,jobs,Beneficiary/accomplishment outcome rollup.,Parsed DRGR beneficiary/accomplishment rows aggregated from activities.
panel_city_quarter_sem,outcome_jobs_retained_total_actual,jobs,Beneficiary/accomplishment outcome rollup.,Parsed DRGR beneficiary/accomplishment rows aggregated from activities.
panel_city_quarter_sem,outcome_jobs_retained_total_expected,jobs,Beneficiary/accomplishment outcome rollup.,Parsed DRGR beneficiary/accomplishment rows aggregated from activities.
panel_city_quarter_sem,outcome_owner_households_total_actual,households,Beneficiary/accomplishment outcome rollup.,Parsed DRGR beneficiary/accomplishment rows aggregated from activities.
panel_city_quarter_sem,outcome_owner_households_total_expected,households,Beneficiary/accomplishment outcome rollup.,Parsed DRGR beneficiary/accomplishment rows aggregated from activities.
panel_city_quarter_sem,outcome_persons_total_actual,persons,Beneficiary/accomplishment outcome rollup.,Parsed DRGR beneficiary/accomplishment rows aggregated from activities.
panel_city_quarter_sem,outcome_persons_total_expected,persons,Beneficiary/accomplishment outcome rollup.,Parsed DRGR beneficiary/accomplishment rows aggregated from activities.
panel_city_quarter_sem,outcome_renter_households_total_actual,households,Beneficiary/accomplishment outcome rollup.,Parsed DRGR beneficiary/accomplishment rows aggregated from activities.
panel_city_quarter_sem,outcome_renter_households_total_expected,households,Beneficiary/accomplishment outcome rollup.,Parsed DRGR beneficiary/accomplishment rows aggregated from activities.
panel_city_quarter_sem,program_completion_rate,ratio_0_1,Completed programs divided by total programs.,programs_completed / programs_total.
panel_city_quarter_sem,program_duration_quarters_mean,quarters,Program duration summary where projected/completed dates exist.,Estimated from projected start to projected/completed end dates in activity text.
panel_city_quarter_sem,program_duration_quarters_n_obs,count,Program duration summary where projected/completed dates exist.,Estimated from projected start to projected/completed end dates in activity text.
panel_city_quarter_sem,programs_cancelled,count,Program status/count metric for the panel cell.,Derived from normalized activity status counts.
panel_city_quarter_sem,programs_completed,count,Program status/count metric for the panel cell.,Derived from normalized activity status counts.
panel_city_quarter_sem,programs_in_progress,count,Program status/count metric for the panel cell.,Derived from normalized activity status counts.
