category,disaster_code,year,quarter,n_documents,page_count,file_size_bytes,n_activity_pages,n_activities,money_sum_amount_usd_budget,money_sum_amount_usd_drawdown,money_sum_amount_usd_expended,money_sum_amount_usd_obligated,money_sum_amount_usd_unknown,entity_CARDINAL,entity_DAMAGE_METRIC,entity_DATE,entity_DISASTER,entity_EVENT,entity_FAC,entity_FEMA_DECLARATION,entity_GPE,entity_LANGUAGE,entity_LAW,entity_LOC,entity_MONEY,entity_NORP,entity_ORDINAL,entity_ORG,entity_PERCENT,entity_PERSON,entity_PRODUCT,entity_PROGRAM,entity_QUANTITY,entity_QUARTER,entity_RAINFALL,entity_TIME,entity_TX_COUNTY,entity_WIND_SPEED,entity_WORK_OF_ART,act_n_unique_activities,act_n_activity_documents,act_n_counties,act_n_cities,act_mean_benef_lmi_percent,act_sum_budget_usd,act_sum_obligated_usd,act_sum_drawdown_usd,act_sum_expended_usd,act_sum_benef_persons_this_period,act_sum_benef_persons_total_actual,act_sum_benef_persons_total_expected,act_sum_benef_households_this_period,act_sum_benef_households_total_actual,act_sum_benef_households_total_expected,act_sum_benef_owner_households_this_period,act_sum_benef_owner_households_total_actual,act_sum_benef_owner_households_total_expected,act_sum_benef_renter_households_this_period,act_sum_benef_renter_households_total_actual,act_sum_benef_renter_households_total_expected,act_sum_benef_jobs_created_this_period,act_sum_benef_jobs_created_total_actual,act_sum_benef_jobs_created_total_expected,act_sum_benef_jobs_retained_this_period,act_sum_benef_jobs_retained_total_actual,act_sum_benef_jobs_retained_total_expected,act_sum_benef_housing_units_this_period,act_sum_benef_housing_units_total_actual,act_sum_benef_housing_units_total_expected,act_n_status_cancelled,act_n_status_completed,act_n_status_under_way,act_n_status_unknown,act_n_type_acquisition_buyout,act_n_type_administration,act_n_type_housing,act_n_type_infrastructure,act_n_type_other,act_n_type_planning,act_n_type_unknown,act_completion_rate,severity_rainfall_inches_max_value,severity_wind_speed_mph_max_value,severity_rainfall_inches_n_mentions,severity_wind_speed_mph_n_mentions
2015_Floods,15f,2018,4,1,42,79176,39,21,215304426.98,136120587.77,5539333.14,7250193.279999999,837878360.35,205.0,0.0,62.0,2.0,4.0,32.0,6.0,29.0,0.0,0.0,9.0,419.0,0.0,15.0,211.0,18.0,38.0,3.0,0.0,4.0,0.0,3.0,0.0,24.0,0.0,0.0,21.0,1.0,4.0,17.0,,15270756.85,485379.47,16943910.81,5332011.99,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,21.0,0.0,0.0,2.0,2.0,16.0,0.0,1.0,0.0,0.0,11.76,,3.0,
2015_Floods,15f,2019,4,1,123,191864,120,63,295508480.44,159187900.38,10261934.62,1626514.6,352029594625.79,592.0,1.0,162.0,2.0,9.0,111.0,6.0,82.0,0.0,7.0,14.0,1153.0,4.0,13.0,659.0,67.0,102.0,7.0,12.0,11.0,0.0,6.0,0.0,96.0,0.0,2.0,63.0,1.0,8.0,47.0,,55429927.21,1626514.6,66330462.480000004,9723222.21,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,63.0,0.0,4.0,3.0,5.0,44.0,6.0,1.0,0.0,0.0,323.0,,6.0,
2015_Floods,15f,2020,1,1,115,221928,112,59,316772227.49,153205429.87,9228789.74,708671.95,849867768.81,529.0,2.0,154.0,2.0,7.0,106.0,6.0,82.0,0.0,5.0,14.0,1105.0,3.0,12.0,548.0,63.0,101.0,7.0,13.0,13.0,0.0,5.0,0.0,89.0,0.0,4.0,59.0,1.0,8.0,45.0,,61786114.6,708671.95,61432201.730000004,8742233.25,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,59.0,0.0,4.0,2.0,5.0,41.0,6.0,1.0,0.0,0.0,126.0,,5.0,
2015_Floods,15f,2020,3,1,125,239978,122,64,302344942.74,187785345.0,1751985375343.05,4180782.43,848529762.7,623.0,2.0,165.0,2.0,6.0,109.0,6.0,88.0,0.0,9.0,18.0,1177.0,2.0,15.0,594.0,64.0,101.0,15.0,13.0,20.0,0.0,5.0,0.0,106.0,0.0,4.0,64.0,1.0,9.0,44.0,,60243864.06,4180782.43,62670387.02,1751984181775.57,,,,0.0,3.0,34.0,,,,,,,,,,,,,,,,0.0,0.0,64.0,0.0,5.0,3.0,7.0,42.0,6.0,1.0,0.0,0.0,323.0,,5.0,
2015_Floods,15f,2020,4,1,135,253358,132,66,264084160.92000002,159211389.69,30910348.31,4337335.91,964998298.78,568.0,2.0,233.0,2.0,8.0,110.0,6.0,92.0,0.0,8.0,16.0,1154.0,2.0,15.0,617.0,75.0,104.0,8.0,10.0,23.0,0.0,5.0,0.0,111.0,0.0,4.0,66.0,1.0,8.0,46.0,,45201833.48,4337335.91,42926236.97,28967256.12,,,,0.0,3.0,34.0,,,,,,,,,,,,,,,,0.0,0.0,66.0,0.0,5.0,5.0,7.0,42.0,6.0,1.0,0.0,0.0,323.0,,5.0,
2015_Floods,15f,2021,1,1,108,213431,104,52,263514000.12,139011300.24,1821795797725.71,2295779.61,900700328.55,528.0,1.0,162.0,2.0,5.0,103.0,6.0,76.0,0.0,6.0,16.0,915.0,2.0,14.0,542.0,77.0,109.0,8.0,10.0,22.0,0.0,5.0,0.0,101.0,0.0,2.0,52.0,1.0,8.0,43.0,,42179578.05,2295779.61,36922476.6,1821794525432.5,,,,0.0,3.0,27.0,,,,,,,,,,,,,,,,0.0,0.0,52.0,0.0,4.0,1.0,3.0,37.0,6.0,1.0,0.0,0.0,323.0,,5.0,
2015_Floods,15f,2021,2,1,132,270704,128,64,288604868.63,167717271.2,3440597282614.45,2069891.59,143102374162.7,687.0,3.0,187.0,2.0,8.0,108.0,5.0,81.0,0.0,6.0,15.0,1163.0,3.0,15.0,698.0,73.0,125.0,13.0,13.0,25.0,0.0,5.0,0.0,132.0,0.0,3.0,64.0,1.0,8.0,48.0,41.79,52852018.64,2069891.59,45683718.09,3440594600513.38,2451.0,4586.0,4586.0,0.0,11.0,35.0,,,,,,,,,,,,,,,,0.0,0.0,64.0,0.0,5.0,3.0,6.0,42.0,7.0,1.0,0.0,0.0,323.0,,5.0,
2015_Floods,15f,2021,3,1,114,236452,110,55,263847690.06,150981644.83,7021027738728.39,2494305.72,1023511574727.71,240.0,1.0,268.0,2.0,7.0,102.0,5.0,134.0,0.0,0.0,12.0,982.0,5.0,13.0,553.0,20.0,81.0,7.0,13.0,18.0,0.0,2.0,0.0,135.0,0.0,4.0,55.0,1.0,9.0,38.0,41.79,41732469.339999996,2494305.72,38883197.98,7021026827192.689,0.0,4586.0,4586.0,0.0,12.0,36.0,,,,,,,,,,,,,,,,0.0,0.0,55.0,0.0,4.0,3.0,4.0,37.0,6.0,1.0,0.0,0.0,,,2.0,
2015_Floods,15f,2021,4,1,103,219975,100,50,263043325.09,141641181.78,4015036770411.73,1261342.16,983214712.46,220.0,2.0,249.0,1.0,4.0,92.0,5.0,115.0,0.0,0.0,11.0,952.0,3.0,9.0,458.0,15.0,69.0,7.0,9.0,20.0,0.0,2.0,0.0,120.0,0.0,4.0,50.0,1.0,8.0,35.0,41.79,37818145.95,1261342.16,40221006.89,4015035717475.05,0.0,4586.0,4586.0,0.0,12.0,36.0,,,,,,,,,,,,,,,,0.0,1.0,49.0,0.0,5.0,0.0,5.0,33.0,6.0,1.0,0.0,0.02,,,2.0,
2015_Floods,15f,2022,1,1,91,276472,88,44,281131911.09,147311592.94,3394415962324.5,3972.2700000000004,989290805.99,199.0,1.0,290.0,1.0,4.0,78.0,5.0,86.0,0.0,0.0,9.0,823.0,2.0,4.0,436.0,15.0,68.0,7.0,10.0,16.0,0.0,2.0,0.0,113.0,0.0,3.0,44.0,1.0,8.0,29.0,,49973160.57,3972.2700000000004,41173062.94,3394412261513.28,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,43.0,0.0,4.0,2.0,3.0,28.0,6.0,1.0,0.0,0.022727272727272728,,,2.0,
