document_id,filename,category,disaster_code,year,quarter,page_count,file_size_bytes,processed_at,quarter_label,money_max_amount_usd_budget,money_max_amount_usd_drawdown,money_max_amount_usd_expended,money_max_amount_usd_obligated,money_max_amount_usd_unknown,money_n_mentions_budget,money_n_mentions_drawdown,money_n_mentions_expended,money_n_mentions_obligated,money_n_mentions_unknown,money_sum_amount_usd_budget,money_sum_amount_usd_drawdown,money_sum_amount_usd_expended,money_sum_amount_usd_obligated,money_sum_amount_usd_unknown,entity_CARDINAL,entity_DAMAGE_METRIC,entity_DATE,entity_DISASTER,entity_EVENT,entity_FAC,entity_FEMA_DECLARATION,entity_GPE,entity_LANGUAGE,entity_LAW,entity_LOC,entity_MONEY,entity_NORP,entity_ORDINAL,entity_ORG,entity_PERCENT,entity_PERSON,entity_PRODUCT,entity_PROGRAM,entity_QUANTITY,entity_QUARTER,entity_RAINFALL,entity_TIME,entity_TX_COUNTY,entity_WIND_SPEED,entity_WORK_OF_ART,n_activities,n_activity_pages,n_unique_activities
244,ike-2009-q3.pdf,Hurricane_Ike,ike,2009,3,21,41599,2026-01-29 19:38:52.400262,Q3 2009,457554494.2,587328615.0,15573399.78,3057991440.0,1528995720.0,47.0,77.0,60.0,2.0,33.0,508431045.2,716995819.37,28156818.49,3057991440.0,6019307967.31,37.0,1.0,81.0,27.0,0.0,0.0,2.0,39.0,0.0,1.0,2.0,242.0,2.0,2.0,102.0,6.0,28.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,16,17,16
245,ike-2009-q4.pdf,Hurricane_Ike,ike,2009,4,462,869147,2026-01-29 19:38:53.020669,Q4 2009,976512529.0,101482922.0,101482922.0,3057991440.0,1743001247.0,1061.0,1582.0,1370.0,49.0,153.0,2633548856.35,800368683.66,799209902.85,3057991440.0,7053936018.14,1177.0,12.0,1851.0,351.0,17.0,214.0,2.0,308.0,0.0,3.0,57.0,4368.0,28.0,29.0,884.0,105.0,269.0,9.0,2.0,146.0,0.0,41.0,2.0,185.0,0.0,247.0,356,458,356
246,ike-2010-q1.pdf,Hurricane_Ike,ike,2010,1,712,1210164,2026-01-29 19:38:53.870510,Q1 2010,1154529360.0,101482922.0,66510000.0,3057991440.0,1528995720.0,1336.0,1924.0,1735.0,46.0,1052.0,2733122125.84,955819861.58,195032169.61,3057991440.0,6451266717.2,1929.0,4.0,2428.0,314.0,27.0,372.0,2.0,646.0,0.0,80.0,104.0,6396.0,21.0,28.0,1651.0,85.0,414.0,9.0,0.0,223.0,0.0,62.0,4.0,456.0,0.0,303.0,458,708,458
247,ike-2010-q2.pdf,Hurricane_Ike,ike,2010,2,1113,1744181,2026-01-29 19:38:55.100323,Q2 2010,104729566.52,104729566.52,58834914.0,3057991440.0,29400000000.0,1711.0,1006.0,2212.0,1513.0,1412.0,2075506590.63,1118964328.63,314387204.29,3063448821.79,36497633939.49,3991.0,10.0,3065.0,445.0,35.0,513.0,2.0,726.0,0.0,84.0,129.0,7863.0,54.0,36.0,2314.0,226.0,562.0,24.0,0.0,461.0,0.0,247.0,1.0,595.0,2.0,351.0,553,1109,553
248,ike-2010-q3.pdf,Hurricane_Ike,ike,2010,3,1280,2040614,2026-01-29 19:38:56.548110,Q3 2010,106101296.0,1306786900.14,135756313.06,3057991440.0,29400000000.0,1979.0,1158.0,2448.0,1718.0,1697.0,2263879411.23,2321373002.87,542158055.98,3066921422.91,32855610396.48,3938.0,11.0,4109.0,535.0,37.0,580.0,2.0,784.0,0.0,86.0,143.0,9018.0,57.0,50.0,3316.0,227.0,627.0,26.0,1.0,503.0,0.0,254.0,27.0,754.0,2.0,143.0,636,1275,636
249,ike-2010-q4.pdf,Hurricane_Ike,ike,2010,4,1274,2116437,2026-01-29 19:38:58.106706,Q4 2010,106918264.0,40664476.0,67869007.01,3113472856.0,14506310000000.0,1984.0,1143.0,1920.0,1743.0,2399.0,2622176464.34,992901781.73,485235337.5,3252282973.52,24012567019069.3,3983.0,52.0,3980.0,614.0,44.0,738.0,4.0,1426.0,0.0,115.0,189.0,9212.0,84.0,53.0,5049.0,227.0,734.0,96.0,4.0,590.0,0.0,285.0,15.0,993.0,0.0,67.0,632,1269,632
250,ike-2011-q1.pdf,Hurricane_Ike,ike,2011,1,1279,2132695,2026-01-29 19:38:59.710317,Q1 2011,106918264.0,1494792090.69,105035658.3,3113472856.0,29400000000.0,1984.0,1140.0,1921.0,1692.0,2431.0,2562401649.26,2557443910.6,490831869.98,3290515748.62,40387962134.62,3987.0,49.0,3974.0,619.0,42.0,742.0,4.0,1434.0,0.0,117.0,187.0,9193.0,86.0,49.0,5104.0,212.0,746.0,95.0,4.0,591.0,0.0,276.0,15.0,1014.0,0.0,68.0,634,1273,634
251,ike-2011-q2.pdf,Hurricane_Ike,ike,2011,2,1283,2138928,2026-01-29 19:39:01.290339,Q2 2011,106918264.0,1494792090.69,69995541.03,3113472856.0,397561190000000.0,2015.0,1179.0,2021.0,1668.0,2420.0,2832297993.95,4069777147.61,558751083.91,3149817640.12,397597246126775.56,4624.0,50.0,4154.0,618.0,44.0,739.0,4.0,1455.0,0.0,117.0,190.0,9341.0,87.0,68.0,5096.0,207.0,738.0,95.0,4.0,590.0,0.0,277.0,20.0,1048.0,0.0,66.0,636,1277,636
252,ike-2011-q3.pdf,Hurricane_Ike,ike,2011,3,1289,2261360,2026-01-29 19:39:02.953533,Q3 2011,3113475856.0,106918264.0,29635555.54,3113472856.0,41852760000000.0,1402.0,3848.0,2455.0,1652.0,1326.0,4818973602.4,2130012156.42,417313537.08,3148895749.4,41885234291800.56,4463.0,48.0,3817.0,608.0,53.0,794.0,2.0,1474.0,0.0,117.0,207.0,10732.0,75.0,61.0,6917.0,236.0,750.0,26.0,4.0,669.0,0.0,278.0,15.0,1050.0,0.0,58.0,640,1284,640
309,rita1-2011-q3.pdf,Hurricane_Rita1,rita1,2011,3,170,317448,2026-01-29 19:40:44.786935,Q3 2011,74523000.0,74417745.9,22161136.93,74523000.0,3726150000000.0,178.0,544.0,330.0,220.0,192.0,123774795.54,285669404.89,47860761.09,74805643.84,3726286792631.94,1101.0,2.0,438.0,95.0,5.0,116.0,0.0,146.0,0.0,5.0,10.0,1467.0,3.0,1.0,983.0,37.0,103.0,3.0,0.0,244.0,0.0,17.0,2.0,99.0,7.0,2.0,83,166,83
