year,quarter,n_unique_activities,n_disasters,n_documents,n_counties,n_cities,sum_budget_usd,sum_obligated_usd,sum_drawdown_usd,sum_expended_usd,sum_benef_persons_this_period,sum_benef_persons_total_actual,sum_benef_persons_total_expected,sum_benef_households_this_period,sum_benef_households_total_actual,sum_benef_households_total_expected,sum_benef_owner_households_this_period,sum_benef_owner_households_total_actual,sum_benef_owner_households_total_expected,sum_benef_renter_households_this_period,sum_benef_renter_households_total_actual,sum_benef_renter_households_total_expected,sum_benef_jobs_created_this_period,sum_benef_jobs_created_total_actual,sum_benef_jobs_created_total_expected,sum_benef_jobs_retained_this_period,sum_benef_jobs_retained_total_actual,sum_benef_jobs_retained_total_expected,sum_benef_housing_units_this_period,sum_benef_housing_units_total_actual,sum_benef_housing_units_total_expected,n_status_cancelled,n_status_completed,n_status_under_way,n_status_unknown,n_type_acquisition_buyout,n_type_administration,n_type_housing,n_type_infrastructure,n_type_other,n_type_planning,n_type_unknown,completion_rate
2009,3,16,1,1,1,1,17128856.0,0.0,16022416.78,16022416.78,,,,,,,,,,,,,,,,,,,,,,0,0,16,0,0,4,0,0,0,12,0,0.0
2009,4,356,1,1,37,123,998976175.0,0.0,793044173.36,784031156.34,,,,,,,,,,,,,,,,,,,,,,0,0,356,0,55,31,11,209,32,18,0,0.0
2010,1,458,1,1,49,174,1039531602.15,0.0,912592887.78,185033732.16,,,,,,,,,,,,,,,,,,,,,,2,0,456,0,95,21,10,285,34,13,0,0.0
2010,2,553,1,1,51,222,1258122405.29,5457381.79,1108915734.63,260906327.52,,,,,,,,,,,,,,,,,,,,,,2,0,548,3,122,21,11,347,35,14,3,0.0
2010,3,636,1,1,52,250,1320669274.63,8929940.91,994771754.23,374172730.92,,,,,,,,,,,,,,,,,,,,,,1,0,626,9,141,31,12,380,36,27,9,0.0
2010,4,632,1,1,53,307,1337129658.19,19323307.12,924146593.02,320263657.59000003,,,,,,,,,,,,,,,,,,,,,,1,0,630,1,147,22,23,385,36,18,1,0.0
2011,1,634,1,1,53,305,1289629556.6,19346491.46,1020583692.49,235142322.51,,,,,,,,,,,,,,,,,,,,,,1,0,632,1,147,21,23,386,36,20,1,0.0
2011,2,636,1,1,53,309,1307134954.35,36341740.12,853578994.4,337641241.32,,,,,,,,,,,,,,,,,,,,,,0,0,633,3,144,22,23,386,36,22,3,0.0
2011,3,763,3,3,53,346,1743537110.76,41586212.58,1773244574.49,781016827.22,,,,,,,,,,,,,,,,,,,,,,2,77,678,6,177,27,33,448,50,22,6,0.10091743119266056
2011,4,864,3,3,53,413,1588947182.93,51057185.14,1830463654.02,824868957.45,,,,,,,,,,,,,,,,,,,,,,3,40,748,73,164,24,30,478,64,31,73,0.046296296296296294
2012,1,876,3,3,53,427,1534678902.25,31612916.77,1754236855.31,1016798591.89,,,,,,,,,,,,,,,,,,,,,,0,48,756,72,166,25,23,493,62,35,72,0.0547945205479452
2012,2,935,3,3,53,428,1904256921.6,55516213.0,1818536770.3,1028771822.6600001,,,,,,,,,,,,,,,,,,,,,,3,33,838,61,163,33,26,561,57,34,61,0.03529411764705882
2012,3,1162,3,3,54,500,1606952170.41,48340177.24,1820478026.08,1152090261.81,,,,,,,,,,,,,,,,,,,,,,1,66,979,116,175,24,25,727,45,50,116,0.05679862306368331
2012,4,1247,3,3,53,564,2248317816.54,60823794.75,2250746895.98,1369975820.39,,,,,,,,,,,,,,,,,,,,,,0,107,1095,45,182,52,43,811,57,57,45,0.08580593424218123
2013,1,1122,2,2,50,534,2198811302.02,32529171.17,2659825040.9,1736788252.84,,,,,,,,,,,,,,,,,,,,,,0,87,1026,9,174,42,25,772,56,44,9,0.07754010695187166
2013,2,1300,3,3,52,589,2509640796.91,25193668.14,3039285544.15,1625120237.3,,,,,,,,,,,,,,,,,,,,,,0,120,1150,30,184,59,41,842,67,77,30,0.09230769230769231
2013,3,1206,4,4,53,603,2378549540.79,40813793.25,2880462985.76,1302287223.17,,,,,,,,,,,,,,,,,,,,,,0,171,1026,9,181,36,42,829,58,51,9,0.1417910447761194
