year,quarter,programs_total,programs_completed,programs_in_progress,programs_cancelled,program_completion_rate,program_duration_quarters_mean,program_duration_quarters_n_obs,sum_budget_usd,sum_obligated_usd,sum_drawdown_usd,sum_expended_usd,admin_activity_count,admin_activity_budget_usd,admin_activity_obligated_usd,admin_activity_drawdown_usd,admin_activity_expended_usd,outcome_persons_total_actual,outcome_persons_total_expected,outcome_households_total_actual,outcome_households_total_expected,outcome_owner_households_total_actual,outcome_owner_households_total_expected,outcome_renter_households_total_actual,outcome_renter_households_total_expected,outcome_jobs_created_total_actual,outcome_jobs_created_total_expected,outcome_jobs_retained_total_actual,outcome_jobs_retained_total_expected,outcome_housing_units_total_actual,outcome_housing_units_total_expected,sem_signal_count,sem_signal_confidence_mean,admin_staff_count_sum,admin_staff_count_n_obs,admin_staff_count_confidence_mean,admin_payroll_usd_sum,admin_payroll_usd_n_obs,admin_payroll_usd_confidence_mean,affected_population_persons_sum,affected_population_persons_n_obs,affected_population_persons_confidence_mean,affected_population_households_sum,affected_population_households_n_obs,affected_population_households_confidence_mean,severity_deaths_count_sum,severity_deaths_count_n_obs,severity_deaths_count_confidence_mean,severity_economic_loss_usd_sum,severity_economic_loss_usd_n_obs,severity_economic_loss_usd_confidence_mean,severity_property_damage_usd_sum,severity_property_damage_usd_n_obs,severity_property_damage_usd_confidence_mean,severity_unmet_need_usd_sum,severity_unmet_need_usd_n_obs,severity_unmet_need_usd_confidence_mean
2009,3,16,0,16,0,0.0,,0,17128856.0,0.0,16022416.78,16022416.78,4,56250.0,0.0,56250.0,56250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,4,356,0,356,0,0.0,,0,998976175.0,0.0,793044173.36,784031156.34,31,58480093.0,0.0,50418466.08,49985240.7,,,,,,,,,,,,,,,1.0,0.76,,,,,,,,,,4700.0,1.0,0.76,,,,,,,,,,,,
2010,1,458,0,456,2,0.0,,0,1039531602.15,0.0,912592887.78,185033732.16,21,30087595.15,0.0,34688025.379999995,10077588.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,2,553,0,548,2,0.0,,0,1258122405.29,5457381.79,1108915734.63,260906327.52,21,55051515.15,1806127.6800000002,41768100.82,21983966.380000003,,,,,,,,,,,,,,,2.0,0.75,2010.0,1.0,0.74,,,,,,,4700.0,1.0,0.76,,,,,,,,,,,,
2010,3,636,0,626,1,0.0,,0,1320669274.63,8929940.91,994771754.23,374172730.92,31,54884550.0,1895144.94,41267673.67,19934339.87,,,,,,,,,,,,,,,1.0,0.76,,,,,,,,,,4700.0,1.0,0.76,,,,,,,,,,,,
2010,4,632,0,630,1,0.0,,0,1337129658.19,19323307.12,924146593.02,320263657.59000003,22,65737371.15,53504.759999999995,41256533.82,23650401.68,,,,,,,,,,,,,,,3.0,0.8133333333333334,,,,,,,,,,4700.0,1.0,0.76,,,,,,,,,,20229098.0,2.0,0.84
2011,1,634,0,632,1,0.0,,0,1289629556.6,19346491.46,1020583692.49,235142322.51,21,65736371.15,2151700.44,30744413.8,26984186.61,,,,,,,,,,,,,,,2.0,0.84,,,,,,,,,,,,,,,,,,,,,,20229098.0,2.0,0.84
2011,2,636,0,633,0,0.0,,0,1307134954.35,36341740.12,853578994.4,337641241.32,22,68788566.15,1043308.49,48909216.3,30991517.18,,,,,,,,,,,,,,,3.0,0.84,,,,,,,,,,,,,,,,,,,,,,40458196.0,3.0,0.84
2011,3,763,77,678,2,0.10091743119266056,,0,1743537110.76,41586212.58,1773244574.49,781016827.22,27,282537105.31,3918665.85,82218853.91,49297677.03,,,,,,,,,,,,,,466.0,1.0,0.76,,,,,,,100000.0,1.0,0.76,,,,,,,,,,,,,,,
2011,4,864,40,748,3,0.046296296296296294,,0,1588947182.93,51057185.14,1830463654.02,824868957.45,24,74694938.16,1087702.6400000001,68544594.33,41981047.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
