year,quarter,unit_level,unit_id,n_documents,programs_total,programs_completed,programs_in_progress,programs_cancelled,program_completion_rate,program_duration_quarters_mean,program_duration_quarters_n_obs,sum_budget_usd,sum_obligated_usd,sum_drawdown_usd,sum_expended_usd,admin_activity_count,admin_activity_budget_usd,admin_activity_obligated_usd,admin_activity_drawdown_usd,admin_activity_expended_usd,outcome_persons_total_actual,outcome_persons_total_expected,outcome_households_total_actual,outcome_households_total_expected,severity_rainfall_inches_max,severity_wind_speed_mph_max,sem_signal_count,sem_signal_confidence_mean,admin_staff_count_sum,admin_staff_count_n_obs,admin_payroll_usd_sum,admin_payroll_usd_n_obs,affected_population_persons_sum,affected_population_persons_n_obs,affected_population_households_sum,affected_population_households_n_obs,severity_deaths_count_sum,severity_deaths_count_n_obs,severity_unmet_need_usd_sum,severity_unmet_need_usd_n_obs,ratio_disbursed_to_obligated,ratio_expended_to_disbursed,duration_of_completion,timeliness,progress_rate,signal_density,has_admin_staff_signal,has_admin_payroll_signal,has_deaths_signal,has_unmet_need_signal
2009,3,state,texas_statewide,,16,0,16,0,0.0,,0,17128856.0,0.0,16022416.78,16022416.78,4,56250.0,0.0,56250.0,56250.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,False,False,False,False
2009,4,state,texas_statewide,,356,0,356,0,0.0,,0,998976175.0,0.0,793044173.36,784031156.34,31,58480093.0,0.0,50418466.08,49985240.7,,,,,,,1.0,0.76,,,,,,,4700.0,1.0,,,,,,0.9886349117454413,,,0.0,1.0,False,False,False,False
2010,1,state,texas_statewide,,458,0,456,2,0.0,,0,1039531602.15,0.0,912592887.78,185033732.16,21,30087595.15,0.0,34688025.379999995,10077588.29,,,,,,,,,,,,,,,,,,,,,,0.20275605326063678,,,0.0,,False,False,False,False
2010,2,state,texas_statewide,,553,0,548,2,0.0,,0,1258122405.29,5457381.79,1108915734.63,260906327.52,21,55051515.15,1806127.68,41768100.82,21983966.380000003,,,,,,,2.0,0.75,2010.0,1.0,,,,,4700.0,1.0,,,,,203.19555737550846,0.23528057125734067,,,0.0,2.0,True,False,False,False
2010,3,state,texas_statewide,,636,0,626,1,0.0,,0,1320669274.63,8929940.91,994771754.23,374172730.92,31,54884550.0,1895144.94,41267673.67,19934339.87,,,,,,,1.0,0.76,,,,,,,4700.0,1.0,,,,,111.39735013431348,0.37613927951706594,,,0.0,1.0,False,False,False,False
2010,4,state,texas_statewide,,632,0,630,1,0.0,,0,1337129658.19,19323307.12,924146593.02,320263657.59000003,22,65737371.15,53504.759999999995,41256533.82,23650401.68,,,,,,,3.0,0.8133333333333334,,,,,,,4700.0,1.0,,,20229098.0,2.0,47.82548801201271,0.3465507096048657,,,0.0,3.0,False,False,False,True
2011,1,state,texas_statewide,,634,0,632,1,0.0,,0,1289629556.6,19346491.46,1020583692.49,235142322.51,21,65736371.15,2151700.44,30744413.8,26984186.61,,,,,,,2.0,0.84,,,,,,,,,,,20229098.0,2.0,52.75290843304153,0.2303998429921062,,,0.0,2.0,False,False,False,True
2011,2,state,texas_statewide,,636,0,633,0,0.0,,0,1307134954.35,36341740.12,853578994.4,337641241.32,22,68788566.15,1043308.49,48909216.3,30991517.18,,,,,,,3.0,0.84,,,,,,,,,,,40458196.0,3.0,23.487565305940006,0.3955594544091794,,,0.0,3.0,False,False,False,True
2011,3,state,texas_statewide,,763,77,678,2,0.1009174311926605,,0,1743537110.76,41586212.58,1773244574.49,781016827.22,27,282537105.31,3918665.85,82218853.91,49297677.03,,,,,,,1.0,0.76,,,,,100000.0,1.0,,,,,,,42.64020367516719,0.4404450680158585,,,0.1009174311926605,1.0,False,False,False,False
2011,4,state,texas_statewide,,864,40,748,3,0.0462962962962962,,0,1588947182.93,51057185.14,1830463654.02,824868957.45,24,74694938.16,1087702.64,68544594.33,41981047.31,,,,,,,,,,,,,,,,,,,,,35.85124501087997,0.4506338902924687,,,0.0462962962962962,,False,False,False,False
2012,1,state,texas_statewide,,876,48,756,0,0.0547945205479452,,0,1534678902.25,31612916.77,1754236855.31,1016798591.89,25,84989091.66,1616833.03,77033545.42,50051264.8,,,,,,,,,,,,,,,,,,,,,55.49114205667774,0.5796244610938336,,,0.0547945205479452,,False,False,False,False
2012,2,state,texas_statewide,,935,33,838,3,0.0352941176470588,,0,1904256921.6,55516213.0,1818536770.3,1028771822.66,33,286461980.71,2139272.13,87395900.63,51906105.12,,,,,,,1.0,0.76,,,,,100000.0,1.0,,,,,,,32.75685915932342,0.5657140616905347,,,0.0352941176470588,1.0,False,False,False,False
2012,3,state,texas_statewide,,1162,66,979,1,0.0567986230636833,,0,1606952170.41,48340177.24,1820478026.08,1152090261.81,24,90042541.09,4118375.81,90464605.21,67285478.93,,,,,,,1.0,0.76,,,,,100000.0,1.0,,,,,,,37.659730063496966,0.632850408137457,,,0.0567986230636833,1.0,False,False,False,False
2012,4,state,texas_statewide,,1247,107,1095,0,0.0858059342421812,,0,2248317816.54,60823794.75,2250746895.98,1369975820.39,52,350347874.2,8071367.02,153508795.35999998,130890842.03,,,,,,,,,,,,,,,,,,,,,37.004381348304484,0.6086760900734232,,,0.0858059342421812,,False,False,False,False
2013,1,state,texas_statewide,,1122,87,1026,0,0.0775401069518716,,0,2198811302.02,32529171.17,2659825040.9,1736788252.84,42,156909955.53,4406445.08,174974098.44,97425426.73,,,,,,,1.0,0.78,,,1000000000.0,1.0,,,,,,,,,81.76737817879052,0.6529708631708822,,,0.0775401069518716,1.0,False,True,False,False
