LHS,Operator,RHS,Estimate,Std. Err,z-value,p-value
recovery_outcome,~,gov_cap,1.2281446694306865e-13,8.429020275658505e-16,0.1227110335640728,0.9023359263831348
Ratio_disbursed_to_obligated,~,gov_cap,1.0,-,-,-
Ratio_expended_to_disbursed,~,gov_cap,-1.6515318768214188e-09,1.8264866575675904e-26,-1651.5318768213888,0.0
Spending_CV,~,recovery_outcome,1.0,-,-,-
Completion_Pct,~,recovery_outcome,-0.1049895392382324,0.034823055343983264,-3.014943352848491,0.0025702725531706605
gov_cap,~~,gov_cap,0.05,1.0370431592341786e-27,49999999999.999954,0.0
recovery_outcome,~~,recovery_outcome,0.49258786248162667,0.06875396919515415,7.164500729787397,7.807088309164101e-13
Completion_Pct,~~,Completion_Pct,0.04352166521379523,0.004980504129738825,8.738405605405868,0.0
Ratio_disbursed_to_obligated,~~,Ratio_disbursed_to_obligated,3.250437676836551e+24,5.535393425545205e-55,3.250437676836551e+36,0.0
Ratio_expended_to_disbursed,~~,Ratio_expended_to_disbursed,23625697068.5289,1e-06,2.3625673442855456e+16,0.0
Spending_CV,~~,Spending_CV,1.0039962309535557,0.06980166170274407,14.383557732690804,0.0
