LHS,Operator,RHS,Estimate,Std. Err,z-value,p-value
Ratio_disbursed_to_obligated,~,gov_cap,1.0,-,-,-
Ratio_expended_to_disbursed,~,gov_cap,-1.6515318786010098e-09,7401724790983522.0,-2.231279769565113e-25,1.0
Spending_CV,~,gov_cap,4.3426592087458235e-13,70055354798.29657,6.1988968883952e-24,1.0
Completion_Pct,~,gov_cap,-4.242763615381417e-12,481883039665.53033,-8.80455061943303e-24,1.0
Progress_Rate,~,gov_cap,-4.242746797815595e-12,482039420827.56274,-8.80165939651091e-24,1.0
gov_cap,~~,gov_cap,0.05,8.683826969752362e+21,5.7578300643438384e-24,1.0
Completion_Pct,~~,Completion_Pct,0.048868471278663506,0.13182908047977526,0.37069568490079874,0.7108642046666591
Progress_Rate,~~,Progress_Rate,0.04882940141470539,0.13182791284712983,0.37040259805188974,0.7110825382929806
Ratio_disbursed_to_obligated,~~,Ratio_disbursed_to_obligated,3.250437676836551e+24,3.0062851435900153e+23,10.812140304678405,0.0
Ratio_expended_to_disbursed,~~,Ratio_expended_to_disbursed,23625697068.5289,2184196808.589128,10.816652133005272,0.0
Spending_CV,~~,Spending_CV,1.5032000288264906,0.1389945403083308,10.814813484624185,0.0
