LHS,Operator,RHS,Estimate,Std. Err,z-value,p-value
recovery_outcome,~,gov_cap,-1.0575131182080943e-13,35536724609258.55,-2.975831706033413e-27,1.0
Ratio_disbursed_to_obligated,~,gov_cap,1.0,-,-,-
Ratio_expended_to_disbursed,~,gov_cap,-1.6515318768916338e-09,4.2047516175431424e+17,-3.927775115184169e-27,1.0
Progress_Rate,~,recovery_outcome,1.0,-,-,-
Spending_CV,~,recovery_outcome,-1.1356452189105988,9245038.10561988,-1.2283834917027136e-07,0.9999999019891777
gov_cap,~~,gov_cap,0.05,1.6803834269142218e+25,2.975511374318758e-27,1.0
recovery_outcome,~~,recovery_outcome,0.04553956638752642,370727.6000947326,1.228383491703602e-07,0.9999999019891777
Progress_Rate,~~,Progress_Rate,0.003410442660964372,370727.60009500047,9.19932225194572e-09,0.9999999926600027
Ratio_disbursed_to_obligated,~~,Ratio_disbursed_to_obligated,3.250437676836551e+24,1.6806521003455575e+25,0.19340336266906347,0.8466430821245319
Ratio_expended_to_disbursed,~~,Ratio_expended_to_disbursed,23625697068.5289,2184677300.5961823,10.814273147838183,0.0
Spending_CV,~~,Spending_CV,1.438217235698639,478123.70200931473,3.008044214613355e-06,0.9999975999279629
